tiempo,azul,verde,amarillo,naranja,rojo
0,289,337,304,290,320
100,293,335,304,286,321
200,294,341,306,285,321
301,288,339,305,287,321
401,291,346,315,289,322
501,291,343,310,291,325
601,290,346,305,292,325
701,287,346,311,294,327
801,291,341,306,289,321
901,294,336,311,296,324
1001,291,351,315,293,330
1101,297,352,319,298,327
1201,299,349,315,298,331
1301,291,341,307,291,321
1401,293,350,306,293,329
1501,297,358,319,295,330
1601,292,353,323,295,328
1702,292,349,320,298,333
1802,298,359,304,300,329
1902,298,358,319,302,333
2002,300,352,321,301,334
2102,290,353,321,301,329
2203,303,359,319,298,335
2303,294,354,320,301,334
