run_id,family,variant,status,mode,created_at,pulse_count,webcam_frames,webcam_detected_frames,webcam_detection_events,op598_sample_count,op598_peak_adc,latency_avg_us,latency_failures,notes
random-train_20260522_112745,dual_experiments,current_setup,partial,random-train,20260522_112745,10,780,0,0,2862,0.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
train_20260522_112902,dual_experiments,current_setup,partial,train,20260522_112902,5,335,7,5,686,0.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_113049,dual_experiments,current_setup_fixed,partial,random-train,20260522_113049,10,780,13,10,2809,0.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
train_20260522_113033,dual_experiments,current_setup_fixed,partial,train,20260522_113033,5,335,6,5,686,0.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_154927,dual_experiments,phase2_statistical_reconstruction,valid,random-train,20260522_154927,10,785,0,0,2683,3793.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_155022,dual_experiments,phase2_statistical_reconstruction,valid,random-train,2026-05-22T15:50:53,10,785,0,0,2628,3949.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_155311,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T15:53:42,10,785,161,116,2687,3867.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_155351,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T15:54:22,10,785,77,61,2614,3293.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_155431,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T15:55:02,10,785,0,0,2676,3809.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_162539,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T16:29:42,120,904,36,34,33417,3945.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_162947,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T16:30:18,10,780,25,21,2674,3857.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_163706,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T16:37:37,10,780,23,18,2716,3905.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_172025,dual_experiments,phase2_statistical_reconstruction_matrix,valid,random-train,2026-05-22T17:20:56,10,780,16,15,2701,3941.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_155151,dual_experiments,phase2_statistical_reconstruction_probe,valid,random-train,2026-05-22T15:52:11,5,470,11,11,1212,3865.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
random-train_20260522_155230,dual_experiments,phase2_statistical_reconstruction_probe,valid,random-train,2026-05-22T15:52:50,5,470,94,65,1229,3873.0,,,Resumen normalizado desde dual_summary.csv y manifest.json
destello_latency_results_20260430_174041,latency_runs,.,valid,latency,20260430_174041,,,,,,,,5,Resumen opcional de latencia
destello_latency_results_20260430_174118,latency_runs,.,valid,latency,20260430_174118,,,,,,,,5,Resumen opcional de latencia
destello_latency_results_20260430_174211,latency_runs,.,valid,latency,20260430_174211,,,,,,,248.200000,0,Resumen opcional de latencia
latency_results_20260430_121104,latency_runs,.,valid,latency,20260430_121104,,,,,,,675.580017,0,Resumen opcional de latencia
latency_results_20260430_122215,latency_runs,.,invalid_empty,latency,20260430_122215,,,,,,,,,Resumen opcional de latencia
latency_results_20260430_122246,latency_runs,.,invalid_empty,latency,20260430_122246,,,,,,,,,Resumen opcional de latencia
latency_results_20260430_122511,latency_runs,.,valid,latency,20260430_122511,,,,,,,1069.959961,0,Resumen opcional de latencia
latency_results_20260430_122532,latency_runs,.,valid,latency,20260430_122532,,,,,,,1129.760010,0,Resumen opcional de latencia
latency_results_20260430_122545,latency_runs,.,invalid_empty,latency,20260430_122545,,,,,,,1185.479980,0,Resumen opcional de latencia
latency_results_20260430_122707,latency_runs,.,invalid_empty,latency,20260430_122707,,,,,,,1832.459961,0,Resumen opcional de latencia
latency_results_20260430_122843,latency_runs,.,invalid_empty,latency,20260430_122843,,,,,,,1945.160034,0,Resumen opcional de latencia
latency_results_20260430_122907,latency_runs,.,invalid_empty,latency,20260430_122907,,,,,,,1819.819946,0,Resumen opcional de latencia
latency_results_20260430_122919,latency_runs,.,invalid_empty,latency,20260430_122919,,,,,,,1945.420044,0,Resumen opcional de latencia
latency_results_20260430_122932,latency_runs,.,invalid_empty,latency,20260430_122932,,,,,,,1974.760010,0,Resumen opcional de latencia
latency_results_20260430_162158,latency_runs,.,invalid_empty,latency,20260430_162158,,,,,,,,0,Resumen opcional de latencia
latency_results_20260430_170139,latency_runs,.,invalid_empty,latency,20260430_170139,,,,,,,,0,Resumen opcional de latencia
latency_results_20260430_170425,latency_runs,.,invalid_empty,latency,20260430_170425,,,,,,,,0,Resumen opcional de latencia
