run_id,family,variant,source_path,status,kind,created_at,mode,primary_artifact,manifest_path,notes
random-train_20260522_112745,dual_experiments,current_setup,data/dual_experiments/current_setup/random-train_20260522_112745,partial,run_directory,20260522_112745,random-train,data/dual_experiments/current_setup/random-train_20260522_112745/dual_summary.csv,,Corrida dual correlacionando webcam y OP598
train_20260522_112902,dual_experiments,current_setup,data/dual_experiments/current_setup/train_20260522_112902,partial,run_directory,20260522_112902,train,data/dual_experiments/current_setup/train_20260522_112902/dual_summary.csv,,Corrida dual correlacionando webcam y OP598
random-train_20260522_113049,dual_experiments,current_setup_fixed,data/dual_experiments/current_setup_fixed/random-train_20260522_113049,partial,run_directory,20260522_113049,random-train,data/dual_experiments/current_setup_fixed/random-train_20260522_113049/dual_summary.csv,,Corrida dual correlacionando webcam y OP598
train_20260522_113033,dual_experiments,current_setup_fixed,data/dual_experiments/current_setup_fixed/train_20260522_113033,partial,run_directory,20260522_113033,train,data/dual_experiments/current_setup_fixed/train_20260522_113033/dual_summary.csv,,Corrida dual correlacionando webcam y OP598
random-train_20260522_154927,dual_experiments,phase2_statistical_reconstruction,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927,valid,run_directory,20260522_154927,random-train,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927/dual_summary.csv,,Corrida dual correlacionando webcam y OP598
random-train_20260522_155022,dual_experiments,phase2_statistical_reconstruction,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022,valid,run_directory,2026-05-22T15:50:53,random-train,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/manifest.json,Corrida dual correlacionando webcam y OP598
random-train_20260522_155311,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311,valid,run_directory,2026-05-22T15:53:42,random-train,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/manifest.json,Corrida dual correlacionando webcam y OP598
random-train_20260522_155351,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351,valid,run_directory,2026-05-22T15:54:22,random-train,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/manifest.json,Corrida dual correlacionando webcam y OP598
random-train_20260522_155431,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431,valid,run_directory,2026-05-22T15:55:02,random-train,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/manifest.json,Corrida dual correlacionando webcam y OP598
random-train_20260522_162539,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539,valid,run_directory,2026-05-22T16:29:42,random-train,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/manifest.json,Corrida dual correlacionando webcam y OP598
