run_id,family,variant,source_path,normalized_status,normalization_policy,primary_artifact,created_at,webcam_rows,perf_counter_s_inferred_from_timestamp,linked_artifacts,unrecoverable_reason
random-train_20260522_112745,dual_experiments,current_setup,data/dual_experiments/current_setup/random-train_20260522_112745,partial,perf_counter_s_inferred_from_timestamp,data/dual_experiments/current_setup/random-train_20260522_112745/webcam_metrics.csv,20260522_112745,780,true,,pulse_events.csv;coincidence_table.csv
random-train_20260522_113049,dual_experiments,current_setup_fixed,data/dual_experiments/current_setup_fixed/random-train_20260522_113049,partial,perf_counter_s_inferred_from_timestamp,data/dual_experiments/current_setup_fixed/random-train_20260522_113049/webcam_metrics.csv,20260522_113049,780,true,,pulse_events.csv;coincidence_table.csv
random-train_20260522_154927,dual_experiments,phase2_statistical_reconstruction,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927/webcam_metrics.csv,20260522_154927,785,false,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927/coincidence_table.csv,
random-train_20260522_155022,dual_experiments,phase2_statistical_reconstruction,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/webcam_metrics.csv,20260522_155022,785,false,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/coincidence_table.csv,
random-train_20260522_155151,dual_experiments,phase2_statistical_reconstruction_probe,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155151,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155151/webcam_metrics.csv,20260522_155151,470,false,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155151/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155151/coincidence_table.csv,
random-train_20260522_155230,dual_experiments,phase2_statistical_reconstruction_probe,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155230,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155230/webcam_metrics.csv,20260522_155230,470,false,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155230/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155230/coincidence_table.csv,
random-train_20260522_155311,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/webcam_metrics.csv,20260522_155311,785,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/coincidence_table.csv,
random-train_20260522_155351,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/webcam_metrics.csv,20260522_155351,785,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/coincidence_table.csv,
random-train_20260522_155431,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/webcam_metrics.csv,20260522_155431,785,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/coincidence_table.csv,
random-train_20260522_162539,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/webcam_metrics.csv,20260522_162539,904,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/coincidence_table.csv,
random-train_20260522_162947,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162947,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162947/webcam_metrics.csv,20260522_162947,780,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162947/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162947/coincidence_table.csv,
random-train_20260522_163706,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_163706,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_163706/webcam_metrics.csv,20260522_163706,780,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_163706/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_163706/coincidence_table.csv,
random-train_20260522_172025,dual_experiments,phase2_statistical_reconstruction_matrix,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_172025,valid,current_schema,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_172025/webcam_metrics.csv,20260522_172025,780,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_172025/pulse_events.csv;data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_172025/coincidence_table.csv,
train_20260522_112902,dual_experiments,current_setup,data/dual_experiments/current_setup/train_20260522_112902,partial,perf_counter_s_inferred_from_timestamp,data/dual_experiments/current_setup/train_20260522_112902/webcam_metrics.csv,20260522_112902,335,true,,pulse_events.csv;coincidence_table.csv
train_20260522_113033,dual_experiments,current_setup_fixed,data/dual_experiments/current_setup_fixed/train_20260522_113033,partial,perf_counter_s_inferred_from_timestamp,data/dual_experiments/current_setup_fixed/train_20260522_113033/webcam_metrics.csv,20260522_113033,335,true,,pulse_events.csv;coincidence_table.csv
latency_results_20260430_122215,latency_runs,.,data/latency_runs/latency_results_20260430_122215.csv,invalid_empty,empty_latency_csv_preserve_companions,data/latency_runs/latency_results_20260430_122215.csv,20260430_122215,,false,data/latency_runs/latency_summary_20260430_122215.csv;data/latency_runs/latency_log_20260430_122215.txt,latency results csv is empty
latency_results_20260430_122246,latency_runs,.,data/latency_runs/latency_results_20260430_122246.csv,invalid_empty,empty_latency_csv_preserve_companions,data/latency_runs/latency_results_20260430_122246.csv,20260430_122246,,false,data/latency_runs/latency_summary_20260430_122246.csv;data/latency_runs/latency_log_20260430_122246.txt,latency results csv is empty
latency_results_20260430_122545,latency_runs,.,data/latency_runs/latency_results_20260430_122545.csv,invalid_empty,empty_latency_csv_preserve_companions,data/latency_runs/latency_results_20260430_122545.csv,20260430_122545,,false,data/latency_runs/latency_summary_20260430_122545.csv;data/latency_runs/latency_log_20260430_122545.txt,latency results csv is empty
