run_id,variant,campaign_id,mount_context,run_intent,dark_control_ref,run_index,duty,duration_ms,command_count,pulse_count_table,covered_pulses,coverage_fraction,detected_windows,matched_detected,coincidence_success_rate_windowed,coincidence_success_rate_all_pulses,mean_offset_ms_windowed,median_offset_ms_windowed,mean_offset_ms_detected,median_offset_ms_detected,limited_coverage,source_summary,source_coincidence,eligible_for_reconstruction,selected_for_reconstruction,selection_rank,selection_reason
random-train_20260526_165547,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,10,1023,40,60,60,60,1.0,60,60,1.0,1.0,45.086826,44.580798,45.086826,44.580798,false,data/dual_experiments/random-train_20260526_165547/dual_summary.csv,data/dual_experiments/random-train_20260526_165547/coincidence_table.csv,True,True,1,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses;selected_for_aggregate
random-train_20260526_165322,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,9,1023,40,60,60,60,1.0,60,60,1.0,1.0,50.968421,51.321193,50.968421,51.321193,false,data/dual_experiments/random-train_20260526_165322/dual_summary.csv,data/dual_experiments/random-train_20260526_165322/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_165057,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,8,1023,40,60,60,60,1.0,60,60,1.0,1.0,46.274107,47.898923,46.274107,47.898923,false,data/dual_experiments/random-train_20260526_165057/dual_summary.csv,data/dual_experiments/random-train_20260526_165057/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_164832,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,7,1023,40,60,60,60,1.0,60,60,1.0,1.0,51.688867,51.503734,51.688867,51.503734,false,data/dual_experiments/random-train_20260526_164832/dual_summary.csv,data/dual_experiments/random-train_20260526_164832/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_164608,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,6,1023,40,60,60,60,1.0,60,60,1.0,1.0,46.791416,45.23552,46.791416,45.23552,false,data/dual_experiments/random-train_20260526_164608/dual_summary.csv,data/dual_experiments/random-train_20260526_164608/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_164119,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,4,1023,40,60,60,60,1.0,60,60,1.0,1.0,52.069591,53.40904,52.069591,53.40904,false,data/dual_experiments/random-train_20260526_164119/dual_summary.csv,data/dual_experiments/random-train_20260526_164119/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_163854,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,3,1023,40,60,60,60,1.0,60,60,1.0,1.0,53.033436,52.7283,53.033436,52.7283,false,data/dual_experiments/random-train_20260526_163854/dual_summary.csv,data/dual_experiments/random-train_20260526_163854/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_163629,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,2,1023,40,60,60,60,1.0,60,60,1.0,1.0,45.332412,43.647425,45.332412,43.647425,false,data/dual_experiments/random-train_20260526_163629/dual_summary.csv,data/dual_experiments/random-train_20260526_163629/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_163403,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,1,1023,40,60,60,60,1.0,60,60,1.0,1.0,49.94001,48.357322,49.94001,48.357322,false,data/dual_experiments/random-train_20260526_163403/dual_summary.csv,data/dual_experiments/random-train_20260526_163403/coincidence_table.csv,True,False,,full_video_coverage;perfect_windowed_coincidence;10_matched_pulses
random-train_20260526_164343,dual_experiments,new-camera-mount-20260526-camera0-extra10,new-camera-mount,production,random-train_20260526_163121,5,1023,40,60,60,60,1.0,59,59,0.983333,0.983333,49.141539,49.369417,49.984351,49.435913,false,data/dual_experiments/random-train_20260526_164343/dual_summary.csv,data/dual_experiments/random-train_20260526_164343/coincidence_table.csv,True,False,,full_video_coverage;10_matched_pulses
