group_type,group_id,run_id,variant,phase_offset,phase_label,frame_count,matched_pulses,effective_sample_size,covered_pulses,coverage_fraction,coincidence_success_rate_windowed,coincidence_success_ci_low,coincidence_success_ci_high,mean_offset_ms_detected,offset_std_ms_detected,frame_mean_gray,frame_p95_gray,delta_mean_gray_vs_before,delta_abs_mean_gray_vs_before,positive_delta_fraction_vs_before,preview_path
pooled,pooled,,selected_runs_pool,-2,before,30,30,3.0,30,1.0,1.0,0.886483,1.0,36.984543,10.074621,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/pooled/phase_-2_before.png
pooled,pooled,,selected_runs_pool,-1,approach,30,30,3.0,30,1.0,1.0,0.886483,1.0,36.984543,10.074621,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/pooled/phase_-1_approach.png
pooled,pooled,,selected_runs_pool,0,hit,30,30,3.0,30,1.0,1.0,0.886483,1.0,36.984543,10.074621,0.370902,0.333333,0.037568,0.038588,0.005745,data/derived/reconstruction/phase_averages/pooled/phase_+0_hit.png
pooled,pooled,,selected_runs_pool,1,decay,30,30,3.0,30,1.0,1.0,0.886483,1.0,36.984543,10.074621,0.342382,0.333333,0.009048,0.010092,0.004284,data/derived/reconstruction/phase_averages/pooled/phase_+1_decay.png
pooled,pooled,,selected_runs_pool,2,after,30,30,3.0,30,1.0,1.0,0.886483,1.0,36.984543,10.074621,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/pooled/phase_+2_after.png
run,random-train_20260522_162947,random-train_20260522_162947,phase2_statistical_reconstruction_matrix,-2,before,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.397036,7.257881,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_162947/phase_-2_before.png
run,random-train_20260522_162947,random-train_20260522_162947,phase2_statistical_reconstruction_matrix,-1,approach,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.397036,7.257881,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_162947/phase_-1_approach.png
run,random-train_20260522_162947,random-train_20260522_162947,phase2_statistical_reconstruction_matrix,0,hit,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.397036,7.257881,0.371776,0.333333,0.038443,0.038508,0.003363,data/derived/reconstruction/phase_averages/random-train_20260522_162947/phase_+0_hit.png
run,random-train_20260522_162947,random-train_20260522_162947,phase2_statistical_reconstruction_matrix,1,decay,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.397036,7.257881,0.339781,0.333333,0.006447,0.006678,0.001839,data/derived/reconstruction/phase_averages/random-train_20260522_162947/phase_+1_decay.png
run,random-train_20260522_162947,random-train_20260522_162947,phase2_statistical_reconstruction_matrix,2,after,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.397036,7.257881,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_162947/phase_+2_after.png
run,random-train_20260522_163706,random-train_20260522_163706,phase2_statistical_reconstruction_matrix,-2,before,10,10,10.0,10,1.0,1.0,0.72246,1.0,32.111678,11.291369,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_163706/phase_-2_before.png
run,random-train_20260522_163706,random-train_20260522_163706,phase2_statistical_reconstruction_matrix,-1,approach,10,10,10.0,10,1.0,1.0,0.72246,1.0,32.111678,11.291369,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_163706/phase_-1_approach.png
run,random-train_20260522_163706,random-train_20260522_163706,phase2_statistical_reconstruction_matrix,0,hit,10,10,10.0,10,1.0,1.0,0.72246,1.0,32.111678,11.291369,0.368479,0.333333,0.035145,0.035358,0.003167,data/derived/reconstruction/phase_averages/random-train_20260522_163706/phase_+0_hit.png
run,random-train_20260522_163706,random-train_20260522_163706,phase2_statistical_reconstruction_matrix,1,decay,10,10,10.0,10,1.0,1.0,0.72246,1.0,32.111678,11.291369,0.354585,0.333333,0.021252,0.02161,0.002477,data/derived/reconstruction/phase_averages/random-train_20260522_163706/phase_+1_decay.png
run,random-train_20260522_163706,random-train_20260522_163706,phase2_statistical_reconstruction_matrix,2,after,10,10,10.0,10,1.0,1.0,0.72246,1.0,32.111678,11.291369,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_163706/phase_+2_after.png
run,random-train_20260522_172025,random-train_20260522_172025,phase2_statistical_reconstruction_matrix,-2,before,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.444915,10.358632,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_172025/phase_-2_before.png
run,random-train_20260522_172025,random-train_20260522_172025,phase2_statistical_reconstruction_matrix,-1,approach,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.444915,10.358632,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_172025/phase_-1_approach.png
run,random-train_20260522_172025,random-train_20260522_172025,phase2_statistical_reconstruction_matrix,0,hit,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.444915,10.358632,0.379559,0.333333,0.046226,0.046343,0.003522,data/derived/reconstruction/phase_averages/random-train_20260522_172025/phase_+0_hit.png
run,random-train_20260522_172025,random-train_20260522_172025,phase2_statistical_reconstruction_matrix,1,decay,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.444915,10.358632,0.336951,0.333333,0.003618,0.004136,0.001722,data/derived/reconstruction/phase_averages/random-train_20260522_172025/phase_+1_decay.png
run,random-train_20260522_172025,random-train_20260522_172025,phase2_statistical_reconstruction_matrix,2,after,10,10,10.0,10,1.0,1.0,0.72246,1.0,39.444915,10.358632,0.333333,0.333333,0.0,0.0,0.0,data/derived/reconstruction/phase_averages/random-train_20260522_172025/phase_+2_after.png
