run_id,variant,campaign_id,mount_context,run_intent,dark_control_ref,run_index,duty,duration_ms,command_count,pulse_count_table,covered_pulses,coverage_fraction,detected_windows,matched_detected,coincidence_success_rate_windowed,coincidence_success_rate_all_pulses,mean_offset_ms_windowed,median_offset_ms_windowed,mean_offset_ms_detected,median_offset_ms_detected,limited_coverage,source_summary,source_coincidence
random-train_20260526_155231,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,1,1023,40,60,60,60,1.0,60,60,1.0,1.0,47.777769,47.124492,47.777769,47.124492,false,data/dual_experiments/random-train_20260526_155231/dual_summary.csv,data/dual_experiments/random-train_20260526_155231/coincidence_table.csv
random-train_20260526_155455,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,2,1023,40,60,60,60,1.0,60,60,1.0,1.0,48.803207,47.793768,48.803207,47.793768,false,data/dual_experiments/random-train_20260526_155455/dual_summary.csv,data/dual_experiments/random-train_20260526_155455/coincidence_table.csv
random-train_20260526_155719,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,3,1023,40,60,60,60,1.0,60,60,1.0,1.0,47.944955,47.397129,47.944955,47.397129,false,data/dual_experiments/random-train_20260526_155719/dual_summary.csv,data/dual_experiments/random-train_20260526_155719/coincidence_table.csv
random-train_20260526_155943,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,4,1023,40,60,60,60,1.0,60,60,1.0,1.0,54.367538,52.88001,54.367538,52.88001,false,data/dual_experiments/random-train_20260526_155943/dual_summary.csv,data/dual_experiments/random-train_20260526_155943/coincidence_table.csv
random-train_20260526_160207,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,5,1023,40,60,60,60,1.0,60,60,1.0,1.0,49.497447,47.822728,49.497447,47.822728,false,data/dual_experiments/random-train_20260526_160207/dual_summary.csv,data/dual_experiments/random-train_20260526_160207/coincidence_table.csv
random-train_20260526_160431,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,6,1023,40,60,60,60,1.0,60,60,1.0,1.0,48.320788,48.989021,48.320788,48.989021,false,data/dual_experiments/random-train_20260526_160431/dual_summary.csv,data/dual_experiments/random-train_20260526_160431/coincidence_table.csv
random-train_20260526_160655,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,7,1023,40,60,60,60,1.0,60,60,1.0,1.0,46.447234,44.694428,46.447234,44.694428,false,data/dual_experiments/random-train_20260526_160655/dual_summary.csv,data/dual_experiments/random-train_20260526_160655/coincidence_table.csv
random-train_20260526_160919,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,8,1023,40,60,60,60,1.0,60,60,1.0,1.0,53.411653,54.339651,53.411653,54.339651,false,data/dual_experiments/random-train_20260526_160919/dual_summary.csv,data/dual_experiments/random-train_20260526_160919/coincidence_table.csv
random-train_20260526_161144,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,9,1023,40,60,60,60,1.0,60,60,1.0,1.0,49.2702,50.146086,49.2702,50.146086,false,data/dual_experiments/random-train_20260526_161144/dual_summary.csv,data/dual_experiments/random-train_20260526_161144/coincidence_table.csv
random-train_20260526_161408,dual_experiments,new-camera-mount-20260526-camera0,new-camera-mount,production,random-train_20260526_155001,10,1023,40,60,60,60,1.0,60,60,1.0,1.0,49.655601,48.431663,49.655601,48.431663,false,data/dual_experiments/random-train_20260526_161408/dual_summary.csv,data/dual_experiments/random-train_20260526_161408/coincidence_table.csv
