campaign_id,camera_index,duty,pulse_index,block_id,block_order,is_dark_control,is_positive_control
camera0-intensity-threshold-20260526-camera0-run01,0,3,1,1,1,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,2,1,1,2,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,32,1,1,3,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,48,1,1,4,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,7,1,1,5,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,1,1,6,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,64,1,1,7,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,24,1,1,8,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,5,1,1,9,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,16,1,1,10,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,8,1,1,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,1,1,1,12,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,0,1,1,13,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,128,1,1,14,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,6,1,1,15,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,4,1,1,16,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,1,1,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,2,2,1,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,128,2,2,2,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,5,2,2,3,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,64,2,2,4,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,32,2,2,5,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,24,2,2,6,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,4,2,2,7,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,16,2,2,8,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,3,2,2,9,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,48,2,2,10,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,10,2,2,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,0,2,2,12,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,6,2,2,13,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,8,2,2,14,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,1,2,2,15,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,7,2,2,16,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,2,2,2,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,7,3,3,1,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,48,3,3,2,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,3,3,3,3,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,16,3,3,4,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,5,3,3,5,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,3,3,6,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,0,3,3,7,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,32,3,3,8,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,24,3,3,9,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,128,3,3,10,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,64,3,3,11,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,1,3,3,12,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,8,3,3,13,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,2,3,3,14,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,6,3,3,15,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,3,3,16,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,4,3,3,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,64,4,4,1,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,16,4,4,2,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,0,4,4,3,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,48,4,4,4,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,128,4,4,5,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,32,4,4,6,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,4,4,4,7,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,24,4,4,8,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,5,4,4,9,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,6,4,4,10,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,8,4,4,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,4,4,12,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,7,4,4,13,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,3,4,4,14,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,4,4,15,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,1,4,4,16,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,2,4,4,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,64,5,5,1,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,6,5,5,2,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,5,5,3,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,48,5,5,4,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,3,5,5,5,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,24,5,5,6,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,0,5,5,7,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,1,5,5,8,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,32,5,5,9,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,16,5,5,10,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,5,5,5,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,128,5,5,12,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,8,5,5,13,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,4,5,5,14,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,5,5,15,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,2,5,5,16,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,7,5,5,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,24,6,6,1,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,2,6,6,2,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,48,6,6,3,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,7,6,6,4,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,6,6,6,5,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,3,6,6,6,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,4,6,6,7,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,16,6,6,8,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,128,6,6,9,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,5,6,6,10,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,6,6,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,8,6,6,12,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,1,6,6,13,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,6,6,14,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,0,6,6,15,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,32,6,6,16,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,64,6,6,17,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,6,7,7,1,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,128,7,7,2,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,24,7,7,3,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,48,7,7,4,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,2,7,7,5,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,3,7,7,6,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,5,7,7,7,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,32,7,7,8,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,7,7,7,9,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,7,7,10,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,4,7,7,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,0,7,7,12,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,1,7,7,13,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,12,7,7,14,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,16,7,7,15,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,64,7,7,16,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,8,7,7,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,16,8,8,1,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,12,8,8,2,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,128,8,8,3,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,1,8,8,4,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,32,8,8,5,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,10,8,8,6,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,48,8,8,7,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,8,8,8,8,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,6,8,8,9,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,24,8,8,10,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,2,8,8,11,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,4,8,8,12,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,64,8,8,13,False,True
camera0-intensity-threshold-20260526-camera0-run01,0,0,8,8,14,True,False
camera0-intensity-threshold-20260526-camera0-run01,0,7,8,8,15,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,3,8,8,16,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,5,8,8,17,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,7,9,9,1,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,2,9,9,2,False,False
camera0-intensity-threshold-20260526-camera0-run01,0,10,9,9,3,False,False
