run_id,variant,duty,duration_ms,command_count,pulse_count_table,covered_pulses,coverage_fraction,detected_windows,matched_detected,coincidence_success_rate_windowed,coincidence_success_rate_all_pulses,mean_offset_ms_windowed,median_offset_ms_windowed,mean_offset_ms_detected,median_offset_ms_detected,limited_coverage,source_summary,source_coincidence
random-train_20260522_154927,phase2_statistical_reconstruction,32,40,10,10,10,1.0,0,0,0.0,0.0,4.28509,4.427451,,,false,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_154927/coincidence_table.csv
random-train_20260522_155022,phase2_statistical_reconstruction,32,40,10,10,10,1.0,0,0,0.0,0.0,-2.524963,-3.663418,,,false,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction/random-train_20260522_155022/coincidence_table.csv
random-train_20260522_155311,phase2_statistical_reconstruction_matrix,32,40,10,10,10,1.0,5,5,0.5,0.5,-6.690803,-4.899068,-14.849808,-13.37596,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155311/coincidence_table.csv
random-train_20260522_155351,phase2_statistical_reconstruction_matrix,8,40,10,10,10,1.0,6,6,0.6,0.6,8.024082,-5.858166,19.335576,24.256385,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155351/coincidence_table.csv
random-train_20260522_155431,phase2_statistical_reconstruction_matrix,32,20,10,10,10,1.0,0,0,0.0,0.0,2.513873,6.860613,,,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_155431/coincidence_table.csv
random-train_20260522_162539,phase2_statistical_reconstruction_matrix,32,40,120,120,15,0.125,5,5,0.333333,0.041667,-13.138781,-10.64013,-41.594841,-32.596076,true,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162539/coincidence_table.csv
random-train_20260522_162947,phase2_statistical_reconstruction_matrix,32,40,10,10,10,1.0,10,10,1.0,1.0,39.397036,38.780203,39.397036,38.780203,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162947/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_162947/coincidence_table.csv
random-train_20260522_163706,phase2_statistical_reconstruction_matrix,32,40,10,10,10,1.0,10,10,1.0,1.0,32.111678,29.074299,32.111678,29.074299,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_163706/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_163706/coincidence_table.csv
random-train_20260522_172025,phase2_statistical_reconstruction_matrix,32,40,10,10,10,1.0,10,10,1.0,1.0,39.444915,37.663568,39.444915,37.663568,false,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_172025/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_matrix/random-train_20260522_172025/coincidence_table.csv
random-train_20260522_155151,phase2_statistical_reconstruction_probe,32,40,5,5,5,1.0,0,0,0.0,0.0,2.5039,3.796378,,,false,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155151/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155151/coincidence_table.csv
random-train_20260522_155230,phase2_statistical_reconstruction_probe,32,40,5,5,5,1.0,4,4,0.8,0.8,-7.029364,-11.746778,-10.927491,-19.65294,false,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155230/dual_summary.csv,data/dual_experiments/phase2_statistical_reconstruction_probe/random-train_20260522_155230/coincidence_table.csv
