run_id,command,command_type,duration_ms,duty,period_ms,count,sample_count,baseline_adc,peak_adc,peak_minus_baseline,pulse_width_ms,rise_time_ms,fall_time_ms,threshold_crossing_ms,sample_interval_avg_ms,saturation_flag,source_summary
op598_pulse_profile_20260522_152355,sensor pulse_profile 400 1023 80 150 1000,pulse_profile,400,1023,,1,98,2987.6428571428573,4095.0,1107.357143,400.594,,,83.467,6.529,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152355_summary.csv
op598_pulse_profile_20260522_152358,sensor pulse_profile 100 1023 80 120 1000,pulse_profile,100,1023,,1,47,2989.230769230769,4095.0,1105.769231,100.14699999999999,83.888,12.340000000000003,84.007,6.5256304347826095,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152358_summary.csv
op598_pulse_profile_20260522_152400,sensor pulse_profile 30 1023 80 120 1000,pulse_profile,30,1023,,1,37,2968.6428571428573,4095.0,1126.357143,27.53800000000001,,12.465999999999994,86.314,6.387222222222222,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152400_summary.csv
op598_pulse_profile_20260522_152402,sensor pulse_profile 200 1023 80 120 1000,pulse_profile,200,1023,,1,63,2912.6923076923076,4095.0,1182.307692,206.31099999999998,,3.6820000000000164,83.911,6.552725806451613,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152402_summary.csv
op598_pulse_profile_20260522_152404,sensor pulse_profile 200 512 80 120 1000,pulse_profile,200,512,,1,62,2860.153846153846,4095.0,1234.846154,199.92200000000003,,92.511,83.928,6.55711475409836,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152404_summary.csv
op598_pulse_profile_20260522_152407,sensor pulse_profile 200 128 80 120 1000,pulse_profile,200,128,,1,62,2918.0,4095.0,1177.0,197.902,,179.996,83.979,6.5580491803278695,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152407_summary.csv
op598_pulse_profile_20260522_152409,sensor pulse_profile 200 32 80 120 1000,pulse_profile,200,32,,1,62,2979.076923076923,3915.0,935.923077,16.185000000000002,12.507999999999996,184.05,83.967,6.557754098360656,false,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152409_summary.csv
op598_pulse_profile_20260522_152412,sensor pulse_profile 200 8 80 120 1000,pulse_profile,200,8,,1,62,2980.846153846154,3307.0,326.153846,140.063,96.503,83.99099999999999,80.311,6.559803278688525,false,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_pulse_profile_20260522_152412_summary.csv
op598_sample_20260522_152335,sensor sample 200 5ms,sample,,,,200,200,2973.55,3141.0,167.45,8.741,,,0.019,8.621150753768843,false,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_sample_20260522_152335_summary.csv
op598_train_profile_20260522_152414,sensor train_profile 6 120 30 1023 80 150 1000,train_profile,30,1023,120,6,136,2993.0714285714284,4095.0,1101.928571,23.891000000000005,,3.7489999999999952,95.72,6.411703703703705,true,/home/juanm/SensorArray-for-laser-Lissajous-curves/data/op598/op598_train_profile_20260522_152414_summary.csv
