duty,replicates,mean_detection_probability,median_detection_probability,detected_runs,expected_total_pulses,detected_total_events,bounded_detected_total,mean_detected_frames
1,1,0.0,0.0,0,3,0,0,0.0
2,1,0.0,0.0,0,3,0,0,0.0
4,1,0.0,0.0,0,3,0,0,0.0
6,1,1.0,1.0,1,3,3,3,14.0
8,3,1.0,1.0,3,9,9,9,17.667
10,1,1.0,1.0,1,3,3,3,18.0
12,1,1.0,1.0,1,3,3,3,18.0
16,3,1.0,1.0,3,9,9,9,18.0
24,3,1.0,1.0,3,9,9,9,18.0
32,3,1.0,1.0,3,9,9,9,18.0
48,2,1.0,1.0,2,6,6,6,18.5
64,2,1.0,1.0,2,6,6,6,18.0
96,2,1.0,1.0,2,6,6,6,18.0
128,2,1.0,1.0,2,6,6,6,18.0
192,2,1.0,1.0,2,6,6,6,18.0
256,2,1.0,1.0,2,6,6,6,18.5
384,2,1.0,1.0,2,6,6,6,18.0
512,2,1.0,1.0,2,6,6,6,18.0
768,2,1.0,1.0,2,6,6,6,18.0
1023,2,1.0,1.0,2,6,6,6,18.5
