study_family,source_run,duty,intensity_percent,expected_pulses,detection_events,bounded_detected_pulses,detected_frames,detection_probability,detected_any,event_overcount_flag,measured_fps,metrics_csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,1,0.09775171065493646,3,0,0,0,0.0,false,false,29.86,data/webcam/webcam_flash_metrics_20260521_115919.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,2,0.19550342130987292,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_115929.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,4,0.39100684261974583,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_115940.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,6,0.5865102639296188,3,3,3,14,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_115950.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,8,0.7820136852394917,3,3,3,18,1.0,true,false,29.87,data/webcam/webcam_flash_metrics_20260521_120001.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,10,0.9775171065493646,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120011.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,12,1.1730205278592376,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120022.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,16,1.5640273704789833,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120032.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,24,2.346041055718475,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120043.csv
webcam_intensity_sweep,led_intensity_low_sweep_20260521,32,3.1280547409579667,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120053.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,8,,3,3,3,18,1.0,true,false,29.86,data/webcam/webcam_flash_metrics_20260521_114216.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,16,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114227.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,24,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114238.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,32,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114248.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,48,,3,3,3,19,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114258.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,64,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114309.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,96,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114319.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,128,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114330.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,192,,3,3,3,18,1.0,true,false,29.87,data/webcam/webcam_flash_metrics_20260521_114340.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,256,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114351.csv
webcam_intensity_sweep,led_intensity_sweep_20260521_114216,384,,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114401.csv
