tiempo,azul,verde,amarillo,naranja,rojo
0.00,0,0,0,0,0
0.00,0,0,0,0,0
0.00,0,0,0,0,0
0.00,0,0,0,0,0
0.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,2,0,0,0,0
5.00,0,0,0,0,0
5.00,10,0,0,0,0
6.00,19,0,0,0,0
6.00,69,0,0,0,0
6.00,132,0,0,0,0
6.00,315,0,0,0,0
6.00,395,0,0,0,0
6.00,511,0,0,0,0
7.00,629,0,11,0,0
7.00,667,0,32,0,0
7.00,666,0,39,0,0
7.00,640,0,37,18,0
7.00,619,0,48,26,0
7.00,576,0,64,45,0
8.00,551,0,97,55,0
8.00,473,0,144,116,0
8.00,342,0,208,215,0
8.00,191,0,295,365,0
8.00,111,0,368,495,0
8.00,49,0,312,432,35
8.00,0,0,112,241,151
9.00,0,0,29,90,309
9.00,0,0,0,74,478
9.00,0,0,0,18,496
9.00,0,0,0,0,265
9.00,0,0,0,0,64
9.00,0,0,0,0,0
10.00,0,0,0,0,0
10.00,0,0,0,0,0
10.00,0,0,0,0,0
10.00,0,0,0,0,0
11.00,0,0,0,0,0
11.00,0,0,0,0,0
11.00,0,0,0,0,0
11.00,0,0,0,0,0
12.00,0,0,0,0,58
12.00,0,0,0,0,394
12.00,0,0,0,0,682
12.00,0,0,0,0,608
12.00,0,0,138,0,335
12.00,0,0,592,205,89
13.00,400,0,449,87,0
13.00,703,0,135,0,0
13.00,219,0,0,0,0
13.00,17,0,0,0,0
13.00,0,0,0,0,0
13.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,36,0,0,0,0
14.00,375,0,9,0,0
14.00,533,0,203,27,0
15.00,13,0,447,339,4
15.00,0,0,0,76,400
15.00,0,0,0,0,406
15.00,0,0,0,0,16
15.00,0,0,0,0,0
15.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,315
16.00,0,0,0,0,592
17.00,0,0,247,223,129
17.00,304,0,383,58,0
17.00,379,0,43,0,0
17.00,48,0,0,0,0
17.00,0,0,0,0,0
17.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,80,0,0,0,0
19.00,593,0,51,0,0
19.00,326,0,422,149,0
19.00,0,0,302,318,113
19.00,0,0,0,0,623
19.00,0,0,0,0,400
19.00,0,0,0,0,37
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
21.00,0,0,0,0,640
21.00,0,0,476,215,48
21.00,562,0,73,0,0
22.00,23,0,0,0,0
22.00,599,0,84,0,0
22.00,113,0,527,77,0
22.00,0,0,148,54,285
23.00,0,0,0,0,622
23.00,0,0,0,0,76
23.00,0,0,0,0,0
23.00,0,0,0,0,0
23.00,0,0,0,0,0
23.00,0,0,0,0,0
24.00,0,0,0,0,0
24.00,0,0,0,0,0
24.00,0,0,0,0,0
24.00,0,0,0,0,0
24.00,0,0,0,0,0
24.00,0,0,0,0,0
25.00,0,0,0,0,0
25.00,0,0,0,0,0
25.00,0,0,0,0,0
25.00,0,0,0,0,42
25.00,0,0,0,0,303
26.00,0,0,0,0,656
26.00,0,0,222,94,207
26.00,10,0,639,115,29
26.00,451,0,383,25,0
26.00,528,0,44,0,0
27.00,106,0,0,0,0
27.00,48,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
28.00,157,0,0,0,0
28.00,816,0,115,2,0
28.00,65,0,590,144,0
28.00,0,0,129,128,287
28.00,0,0,0,0,656
29.00,0,0,0,0,59
29.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,0,0,0,0,0
30.00,0,0,0,0,0
30.00,0,0,0,0,0
30.00,0,0,0,0,629
30.00,347,0,399,116,0
30.00,154,0,0,0,0
30.00,0,0,0,0,0
31.00,0,0,0,0,0
31.00,0,0,0,0,0
31.00,0,0,0,0,0
31.00,762,0,28,0,0
31.00,0,0,459,366,79
32.00,0,0,0,0,510
32.00,0,0,0,0,0
32.00,0,0,0,0,0
32.00,0,0,0,0,0
32.00,0,0,0,0,0
33.00,0,0,0,0,77
33.00,0,0,20,0,477
33.00,651,0,133,36,0
34.00,315,0,0,0,0
34.00,67,0,511,195,0
34.00,0,0,0,0,592
34.00,0,0,0,0,34
35.00,0,0,0,0,0
35.00,0,0,0,0,0
35.00,0,0,0,0,0
35.00,0,0,0,0,0
35.00,0,0,0,0,528
36.00,380,0,403,63,0
36.00,214,0,0,0,0
36.00,0,0,0,0,0
36.00,0,0,0,0,0
36.00,0,0,0,0,0
37.00,0,0,0,0,0
37.00,0,0,0,0,0
37.00,704,0,55,0,0
37.00,0,0,74,15,282
37.00,0,0,0,0,16
37.00,0,0,0,0,0
38.00,0,0,0,0,0
38.00,0,0,0,0,0
38.00,0,0,0,0,302
38.00,688,0,65,0,0
38.00,0,0,0,0,0
39.00,0,0,0,0,0
39.00,0,0,0,0,0
39.00,0,0,0,0,0
39.00,580,0,0,0,0
39.00,0,0,70,10,210
40.00,0,0,0,0,26
40.00,0,0,0,0,0
40.00,0,0,0,0,0
40.00,0,0,0,0,0
40.00,0,0,0,0,0
41.00,14,0,418,77,0
41.00,0,0,0,0,0
41.00,0,0,0,0,0
41.00,0,0,0,0,0
41.00,0,0,0,0,0
42.00,293,0,401,48,0
42.00,0,0,0,0,631
42.00,0,0,0,0,0
42.00,0,0,0,0,0
42.00,0,0,0,0,0
43.00,0,0,0,0,0
43.00,0,0,0,0,77
43.00,49,80,616,52,0
43.00,0,0,0,0,0
43.00,0,0,0,0,0
44.00,0,0,0,0,0
44.00,227,0,0,0,0
44.00,38,0,580,208,0
44.00,0,0,0,0,499
44.00,0,0,0,0,0
45.00,0,0,0,0,0
45.00,0,0,0,0,0
45.00,0,0,0,0,0
45.00,0,0,0,0,0
45.00,0,0,0,0,304
45.00,0,0,111,223,199
46.00,0,0,0,0,0
46.00,0,0,0,0,0
47.00,0,0,0,0,0
47.00,0,0,0,0,0
47.00,0,0,0,0,0
47.00,414,0,0,0,0
47.00,249,0,460,121,0
47.00,0,0,165,158,188
47.00,0,0,0,0,598
48.00,0,0,0,0,69
48.00,0,0,0,0,0
48.00,0,0,0,0,0
48.00,0,0,0,0,0
48.00,0,0,0,0,0
48.00,0,0,0,0,135
49.00,0,0,81,270,202
49.00,544,0,160,77,0
49.00,403,0,0,0,0
49.00,0,0,0,0,0
49.00,0,0,0,0,0
49.00,0,0,0,0,0
50.00,103,0,0,0,0
50.00,592,0,135,42,0
50.00,0,0,240,336,98
50.00,0,0,0,0,453
50.00,0,0,0,0,55
50.00,0,0,0,0,0
50.00,0,0,0,0,128
51.00,0,0,238,288,129
51.00,664,0,29,0,0
51.00,0,0,0,0,0
51.00,0,0,0,0,0
51.00,0,0,0,0,0
51.00,194,0,0,0,0
52.00,71,0,533,224,0
52.00,0,0,0,0,668
52.00,0,0,0,0,0
52.00,0,0,0,0,0
52.00,0,0,0,0,0
52.00,0,0,0,0,72
53.00,0,0,126,283,181
53.00,694,0,41,0,0
53.00,9,0,0,0,0
53.00,0,0,0,0,0
53.00,0,0,0,0,0
53.00,0,0,0,0,0
53.00,159,0,0,0,0
54.00,44,0,539,112,0
54.00,0,0,0,0,599
54.00,0,0,0,0,23
54.00,0,0,0,0,46
54.00,0,0,0,0,448
54.00,0,0,325,240,37
55.00,256,0,0,0,0
55.00,0,0,0,0,0
55.00,0,0,0,0,0
55.00,0,0,0,0,0
55.00,0,0,0,0,0
55.00,343,0,16,0,0
