index,t_us,t_ms,adc,led,phase,pulse_index
0,123,0.123,0,0,pre,-1
1,3932,3.932,0,0,pre,-1
2,15485,15.485,0,0,pre,-1
3,19139,19.139,0,0,pre,-1
4,22785,22.785,0,0,pre,-1
5,26445,26.445,0,0,pre,-1
6,35486,35.486,0,0,pre,-1
7,39153,39.153,0,0,pre,-1
8,45485,45.485,0,1,pulse,0
9,49297,49.297,0,1,pulse,0
10,55486,55.486,0,1,pulse,0
11,65486,65.486,0,1,pulse,0
12,69154,69.154,0,1,pulse,0
13,75485,75.485,0,1,pulse,0
14,85473,85.473,0,0,gap,0
15,89352,89.352,0,0,gap,0
16,93094,93.094,0,0,gap,0
17,96835,96.835,0,0,gap,0
18,105490,105.49,0,0,gap,0
19,110885,110.885,0,0,gap,0
20,114568,114.568,0,0,gap,0
21,125490,125.49,0,0,gap,0
22,129173,129.173,0,0,gap,0
23,132862,132.862,0,0,gap,0
24,145490,145.49,0,0,gap,0
25,149198,149.198,0,0,gap,0
26,152897,152.897,0,0,gap,0
27,156607,156.607,0,0,gap,0
28,165490,165.49,0,0,gap,0
29,169214,169.214,0,0,gap,0
30,175493,175.493,0,0,gap,0
31,185489,185.489,0,0,gap,0
32,189218,189.218,0,0,gap,0
33,192950,192.95,0,0,gap,0
34,205490,205.49,0,0,gap,0
35,209241,209.241,0,0,gap,0
36,212972,212.972,0,0,gap,0
37,216724,216.724,0,0,gap,0
38,225490,225.49,0,0,gap,0
39,229255,229.255,0,0,gap,0
40,235489,235.489,0,0,gap,0
41,245489,245.489,0,0,gap,0
42,249249,249.249,0,0,gap,0
43,253016,253.016,0,0,gap,0
44,265489,265.489,0,0,gap,0
45,269271,269.271,0,0,gap,0
46,273044,273.044,0,0,gap,0
47,276828,276.828,0,0,gap,0
48,285490,285.49,0,0,gap,0
49,289282,289.282,0,0,gap,0
50,295489,295.489,0,0,gap,0
51,305493,305.493,0,0,gap,0
52,309295,309.295,0,0,gap,0
53,313100,313.1,0,0,gap,0
54,325489,325.489,0,0,gap,0
55,329305,329.305,0,0,gap,0
56,333112,333.112,0,0,gap,0
57,336933,336.933,0,0,gap,0
58,345489,345.489,0,0,gap,0
59,349316,349.316,0,0,gap,0
60,355489,355.489,0,0,gap,0
61,365489,365.489,0,0,gap,0
62,369325,369.325,0,0,gap,0
63,373169,373.169,0,0,gap,0
64,385489,385.489,0,0,gap,0
65,389350,389.35,0,0,gap,0
66,393211,393.211,0,0,gap,0
67,397083,397.083,0,0,gap,0
68,405489,405.489,0,0,gap,0
69,409369,409.369,0,0,gap,0
70,415489,415.489,0,0,gap,0
71,425489,425.489,0,0,gap,0
72,429385,429.385,0,0,gap,0
73,433280,433.28,0,0,gap,0
74,445489,445.489,0,0,gap,0
75,449395,449.395,0,0,gap,0
76,453291,453.291,0,0,gap,0
77,457201,457.201,0,0,gap,0
78,465493,465.493,0,0,gap,0
79,469416,469.416,0,0,gap,0
80,475489,475.489,0,0,gap,0
81,485489,485.489,0,0,gap,0
82,489413,489.413,0,0,gap,0
83,493341,493.341,0,0,gap,0
84,505489,505.489,0,0,gap,0
85,509427,509.427,0,0,gap,0
86,513356,513.356,0,0,gap,0
87,517302,517.302,0,0,gap,0
88,525489,525.489,0,0,gap,0
89,531078,531.078,0,0,gap,0
90,534767,534.767,0,0,gap,0
91,545490,545.49,0,0,gap,0
92,549173,549.173,0,0,gap,0
93,552859,552.859,0,0,gap,0
94,565494,565.494,0,0,gap,0
95,569202,569.202,0,0,gap,0
96,572901,572.901,0,0,gap,0
97,576611,576.611,0,0,gap,0
98,585490,585.49,0,0,gap,0
99,589215,589.215,0,0,gap,0
100,595489,595.489,0,0,gap,0
101,605489,605.489,0,0,gap,0
102,609220,609.22,0,0,gap,0
103,612955,612.955,0,0,gap,0
104,625489,625.489,0,0,gap,0
105,629239,629.239,0,0,gap,0
106,632980,632.98,0,0,gap,0
107,636727,636.727,0,0,gap,0
108,645490,645.49,0,0,gap,0
109,649249,649.249,0,0,gap,0
110,655494,655.494,0,0,gap,0
111,665489,665.489,0,0,gap,0
112,669259,669.259,0,0,gap,0
113,673025,673.025,0,0,gap,0
114,685490,685.49,0,0,gap,0
115,689274,689.274,0,0,gap,0
116,693045,693.045,0,0,gap,0
117,696829,696.829,0,0,gap,0
118,705490,705.49,0,0,gap,0
119,709287,709.287,0,0,gap,0
120,715490,715.49,0,0,gap,0
121,725490,725.49,0,0,gap,0
122,729290,729.29,0,0,gap,0
123,733089,733.089,0,0,gap,0
124,745490,745.49,0,0,gap,0
125,749304,749.304,0,0,gap,0
126,753113,753.113,0,0,gap,0
127,756936,756.936,0,0,gap,0
128,765490,765.49,0,0,gap,0
129,769319,769.319,0,0,gap,0
130,775490,775.49,0,0,gap,0
131,785494,785.494,0,0,gap,0
132,789332,789.332,0,0,gap,0
133,793174,793.174,0,0,gap,0
134,805490,805.49,0,0,gap,0
135,809357,809.357,0,0,gap,0
136,813228,813.228,0,0,gap,0
137,825489,825.489,0,0,gap,0
138,829366,829.366,0,0,gap,0
139,833252,833.252,0,0,gap,0
140,837145,837.145,0,0,gap,0
141,845490,845.49,0,0,gap,0
142,849390,849.39,0,0,gap,0
143,855490,855.49,0,0,gap,0
144,865489,865.489,0,0,gap,0
145,869404,869.404,0,0,gap,0
