field,value
mode,random-train
webcam.frames,780
webcam.detected_frames,13
webcam.detection_events,10
op598.baseline_adc,0.0
op598.command,sensor random_train_profile 10 1800 2100 40 1023 40 120 1000
op598.fall_time_ms,
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,1023
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2809
op598.peak_adc,0.0
op598.peak_time_ms,0.111
op598.pulse_count,10
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,2809
op598.sample_interval_avg_ms,6.329111823361823
op598.sample_interval_max_ms,16.06999999999971
op598.sample_interval_min_ms,3.6479999999999997
op598.threshold_adc,
op598.threshold_crossing_ms,
