index,t_us,t_ms,adc,led,phase,pulse_index
0,111,0.111,0,0,pre,-1
1,3936,3.936,0,0,pre,-1
2,14713,14.713,0,0,pre,-1
3,18367,18.367,0,0,pre,-1
4,22015,22.015,0,0,pre,-1
5,34713,34.713,0,0,pre,-1
6,38381,38.381,0,0,pre,-1
7,42059,42.059,0,1,pulse,0
8,45886,45.886,0,1,pulse,0
9,54714,54.714,0,1,pulse,0
10,58395,58.395,0,1,pulse,0
11,64713,64.713,0,1,pulse,0
12,74713,74.713,0,1,pulse,0
13,78408,78.408,0,1,pulse,0
14,82099,82.099,0,0,gap,0
15,94722,94.722,0,0,gap,0
16,98484,98.484,0,0,gap,0
17,102229,102.229,0,0,gap,0
18,105981,105.981,0,0,gap,0
19,114718,114.718,0,0,gap,0
20,118481,118.481,0,0,gap,0
21,124717,124.717,0,0,gap,0
22,134717,134.717,0,0,gap,0
23,138494,138.494,0,0,gap,0
24,142267,142.267,0,0,gap,0
25,154717,154.717,0,0,gap,0
26,158496,158.496,0,0,gap,0
27,162274,162.274,0,0,gap,0
28,166058,166.058,0,0,gap,0
29,174722,174.722,0,0,gap,0
30,178518,178.518,0,0,gap,0
31,183982,183.982,0,0,gap,0
32,194718,194.718,0,0,gap,0
33,198402,198.402,0,0,gap,0
34,202079,202.079,0,0,gap,0
35,214717,214.717,0,0,gap,0
36,218415,218.415,0,0,gap,0
37,222108,222.108,0,0,gap,0
38,225810,225.81,0,0,gap,0
39,234718,234.718,0,0,gap,0
40,238438,238.438,0,0,gap,0
41,244717,244.717,0,0,gap,0
42,254717,254.717,0,0,gap,0
43,258439,258.439,0,0,gap,0
44,262166,262.166,0,0,gap,0
45,274721,274.721,0,0,gap,0
46,278458,278.458,0,0,gap,0
47,282191,282.191,0,0,gap,0
48,285934,285.934,0,0,gap,0
49,294718,294.718,0,0,gap,0
50,298472,298.472,0,0,gap,0
51,304717,304.717,0,0,gap,0
52,314717,314.717,0,0,gap,0
53,318478,318.478,0,0,gap,0
54,322243,322.243,0,0,gap,0
55,334717,334.717,0,0,gap,0
56,338496,338.496,0,0,gap,0
57,342259,342.259,0,0,gap,0
58,346035,346.035,0,0,gap,0
59,354718,354.718,0,0,gap,0
60,358506,358.506,0,0,gap,0
61,364721,364.721,0,0,gap,0
62,374717,374.717,0,0,gap,0
63,378512,378.512,0,0,gap,0
64,382307,382.307,0,0,gap,0
65,394717,394.717,0,0,gap,0
66,398522,398.522,0,0,gap,0
67,402331,402.331,0,0,gap,0
68,406156,406.156,0,0,gap,0
69,414718,414.718,0,0,gap,0
70,418551,418.551,0,0,gap,0
71,424717,424.717,0,0,gap,0
72,434717,434.717,0,0,gap,0
73,438565,438.565,0,0,gap,0
74,442410,442.41,0,0,gap,0
75,454717,454.717,0,0,gap,0
76,458583,458.583,0,0,gap,0
77,462455,462.455,0,0,gap,0
78,466327,466.327,0,0,gap,0
79,474717,474.717,0,0,gap,0
80,478600,478.6,0,0,gap,0
81,484717,484.717,0,0,gap,0
82,494717,494.717,0,0,gap,0
83,498613,498.613,0,0,gap,0
84,502497,502.497,0,0,gap,0
85,514717,514.717,0,0,gap,0
86,518615,518.615,0,0,gap,0
87,522516,522.516,0,0,gap,0
88,526425,526.425,0,0,gap,0
89,534717,534.717,0,0,gap,0
90,538628,538.628,0,0,gap,0
91,544717,544.717,0,0,gap,0
92,554717,554.717,0,0,gap,0
93,558646,558.646,0,0,gap,0
94,562566,562.566,0,0,gap,0
95,574717,574.717,0,0,gap,0
96,578652,578.652,0,0,gap,0
97,582581,582.581,0,0,gap,0
98,586514,586.514,0,0,gap,0
99,594717,594.717,0,0,gap,0
100,600334,600.334,0,0,gap,0
101,604036,604.036,0,0,gap,0
102,614718,614.718,0,0,gap,0
103,618410,618.41,0,0,gap,0
104,622101,622.101,0,0,gap,0
105,634718,634.718,0,0,gap,0
106,638423,638.423,0,0,gap,0
107,642127,642.127,0,0,gap,0
108,645835,645.835,0,0,gap,0
109,654722,654.722,0,0,gap,0
110,658440,658.44,0,0,gap,0
111,664718,664.718,0,0,gap,0
112,674718,674.718,0,0,gap,0
113,678456,678.456,0,0,gap,0
114,682182,682.182,0,0,gap,0
115,694718,694.718,0,0,gap,0
116,698463,698.463,0,0,gap,0
117,702206,702.206,0,0,gap,0
118,705955,705.955,0,0,gap,0
119,714718,714.718,0,0,gap,0
120,718481,718.481,0,0,gap,0
121,724718,724.718,0,0,gap,0
122,734718,734.718,0,0,gap,0
123,738491,738.491,0,0,gap,0
124,742251,742.251,0,0,gap,0
125,754722,754.722,0,0,gap,0
126,758497,758.497,0,0,gap,0
127,762275,762.275,0,0,gap,0
128,774717,774.717,0,0,gap,0
129,778506,778.506,0,0,gap,0
130,782287,782.287,0,0,gap,0
131,786083,786.083,0,0,gap,0
132,794718,794.718,0,0,gap,0
133,798521,798.521,0,0,gap,0
134,804718,804.718,0,0,gap,0
135,814717,814.717,0,0,gap,0
136,818550,818.55,0,0,gap,0
137,822383,822.383,0,0,gap,0
138,834718,834.718,0,0,gap,0
139,838559,838.559,0,0,gap,0
140,842396,842.396,0,0,gap,0
141,846239,846.239,0,0,gap,0
142,854718,854.718,0,0,gap,0
143,858581,858.581,0,0,gap,0
144,864718,864.718,0,0,gap,0
145,874718,874.718,0,0,gap,0
146,878602,878.602,0,0,gap,0
147,882482,882.482,0,0,gap,0
148,894718,894.718,0,0,gap,0
149,898612,898.612,0,0,gap,0
150,902497,902.497,0,0,gap,0
151,906397,906.397,0,0,gap,0
152,914718,914.718,0,0,gap,0
153,918625,918.625,0,0,gap,0
154,924718,924.718,0,0,gap,0
155,934718,934.718,0,0,gap,0
156,938635,938.635,0,0,gap,0
157,942547,942.547,0,0,gap,0
158,954718,954.718,0,0,gap,0
159,958645,958.645,0,0,gap,0
160,962567,962.567,0,0,gap,0
161,974705,974.705,0,0,gap,0
162,978637,978.637,0,0,gap,0
163,982569,982.569,0,0,gap,0
164,986506,986.506,0,0,gap,0
165,994718,994.718,0,0,gap,0
166,998667,998.667,0,0,gap,0
167,1004717,1004.717,0,0,gap,0
168,1014717,1014.717,0,0,gap,0
169,1020301,1020.301,0,0,gap,0
170,1024017,1024.017,0,0,gap,0
171,1034717,1034.717,0,0,gap,0
172,1038409,1038.409,0,0,gap,0
173,1042104,1042.104,0,0,gap,0
174,1054717,1054.717,0,0,gap,0
175,1058434,1058.434,0,0,gap,0
176,1062139,1062.139,0,0,gap,0
177,1065857,1065.857,0,0,gap,0
178,1074718,1074.718,0,0,gap,0
179,1078456,1078.456,0,0,gap,0
180,1084718,1084.718,0,0,gap,0
181,1094718,1094.718,0,0,gap,0
182,1098460,1098.46,0,0,gap,0
183,1104717,1104.717,0,0,gap,0
184,1114701,1114.701,0,0,gap,0
185,1118449,1118.449,0,0,gap,0
186,1122193,1122.193,0,0,gap,0
187,1134717,1134.717,0,0,gap,0
188,1138476,1138.476,0,0,gap,0
