index,t_us,t_ms,adc,led,phase,pulse_index
0,119,0.119,0,0,pre,-1
1,3911,3.911,0,0,pre,-1
2,15584,15.584,0,0,pre,-1
3,19230,19.23,0,0,pre,-1
4,22871,22.871,0,0,pre,-1
5,26522,26.522,0,0,pre,-1
6,35585,35.585,0,0,pre,-1
7,39243,39.243,0,0,pre,-1
8,45584,45.584,0,1,pulse,0
9,49387,49.387,0,1,pulse,0
10,55585,55.585,0,1,pulse,0
11,65581,65.581,0,1,pulse,0
12,69241,69.241,0,1,pulse,0
13,75580,75.58,0,1,pulse,0
14,85572,85.572,0,0,gap,0
15,89443,89.443,0,0,gap,0
16,93164,93.164,0,0,gap,0
17,105572,105.572,0,0,gap,0
18,109296,109.296,0,0,gap,0
19,113020,113.02,0,0,gap,0
20,116748,116.748,0,0,gap,0
21,125585,125.585,0,0,gap,0
22,130970,130.97,0,0,gap,0
23,134662,134.662,0,0,gap,0
24,145589,145.589,0,0,gap,0
25,149268,149.268,0,0,gap,0
26,152950,152.95,0,0,gap,0
27,165584,165.584,0,0,gap,0
28,169284,169.284,0,0,gap,0
29,172972,172.972,0,0,gap,0
30,176674,176.674,0,0,gap,0
31,185585,185.585,0,0,gap,0
32,189301,189.301,0,0,gap,0
33,195584,195.584,0,0,gap,0
34,205588,205.588,0,0,gap,0
35,209317,209.317,0,0,gap,0
36,213038,213.038,0,0,gap,0
37,225584,225.584,0,0,gap,0
38,229319,229.319,0,0,gap,0
39,233053,233.053,0,0,gap,0
40,236794,236.794,0,0,gap,0
41,245585,245.585,0,0,gap,0
42,249333,249.333,0,0,gap,0
43,255584,255.584,0,0,gap,0
44,265588,265.588,0,0,gap,0
45,269347,269.347,0,0,gap,0
46,273106,273.106,0,0,gap,0
47,285584,285.584,0,0,gap,0
48,289357,289.357,0,0,gap,0
49,293121,293.121,0,0,gap,0
50,296894,296.894,0,0,gap,0
51,305589,305.589,0,0,gap,0
52,309376,309.376,0,0,gap,0
53,315584,315.584,0,0,gap,0
54,325588,325.588,0,0,gap,0
55,329381,329.381,0,0,gap,0
56,333177,333.177,0,0,gap,0
57,345584,345.584,0,0,gap,0
58,349391,349.391,0,0,gap,0
59,353190,353.19,0,0,gap,0
60,357002,357.002,0,0,gap,0
61,365585,365.585,0,0,gap,0
62,369406,369.406,0,0,gap,0
63,375584,375.584,0,0,gap,0
64,385588,385.588,0,0,gap,0
65,389415,389.415,0,0,gap,0
66,393246,393.246,0,0,gap,0
67,405588,405.588,0,0,gap,0
68,409434,409.434,0,0,gap,0
69,413289,413.289,0,0,gap,0
70,417156,417.156,0,0,gap,0
71,425584,425.584,0,0,gap,0
72,429466,429.466,0,0,gap,0
73,435584,435.584,0,0,gap,0
74,445588,445.588,0,0,gap,0
75,449476,449.476,0,0,gap,0
76,453359,453.359,0,0,gap,0
77,465584,465.584,0,0,gap,0
78,469486,469.486,0,0,gap,0
79,473382,473.382,0,0,gap,0
80,477284,477.284,0,0,gap,0
81,485584,485.584,0,0,gap,0
82,489495,489.495,0,0,gap,0
83,495588,495.588,0,0,gap,0
84,505588,505.588,0,0,gap,0
85,509508,509.508,0,0,gap,0
86,513424,513.424,0,0,gap,0
87,525584,525.584,0,0,gap,0
88,529518,529.518,0,0,gap,0
89,533451,533.451,0,0,gap,0
90,537386,537.386,0,0,gap,0
91,545584,545.584,0,0,gap,0
92,551165,551.165,0,0,gap,0
93,554841,554.841,0,0,gap,0
94,565593,565.593,0,0,gap,0
95,569273,569.273,0,0,gap,0
96,572957,572.957,0,0,gap,0
97,585585,585.585,0,0,gap,0
98,589281,589.281,0,0,gap,0
99,592977,592.977,0,0,gap,0
100,596675,596.675,0,0,gap,0
101,605585,605.585,0,0,gap,0
102,609300,609.3,0,0,gap,0
103,615584,615.584,0,0,gap,0
104,625588,625.588,0,0,gap,0
105,629319,629.319,0,0,gap,0
106,633046,633.046,0,0,gap,0
107,645585,645.585,0,0,gap,0
108,649321,649.321,0,0,gap,0
109,653053,653.053,0,0,gap,0
110,656798,656.798,0,0,gap,0
111,665585,665.585,0,0,gap,0
112,669339,669.339,0,0,gap,0
113,675585,675.585,0,0,gap,0
