field,value
command,sensor train_profile 5 1000 40 1023 40 120 1000
metadata.count,5
metadata.duration_ms,40
metadata.duty,1023
metadata.period_ms,1000
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,686
baseline_adc,0.0
fall_time_ms,
peak_adc,0.0
peak_time_ms,0.119
pulse_count,5
pulse_width_ms,
rise_time_ms,
sample_count,686
sample_interval_avg_ms,6.139354744525548
sample_interval_max_ms,12.642000000000053
sample_interval_min_ms,3.6409999999999982
threshold_adc,
threshold_crossing_ms,
