field,value
command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
metadata.count,10
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,9147.661579888
metadata.host_capture_finished_wall_time_s,1779482991.407256603
metadata.host_command_sent_perf_counter_s,9129.817719393
metadata.host_command_sent_wall_time_s,1779482973.563398600
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,2683
baseline_adc,2914.714285714286
fall_time_ms,7.817000000000917
peak_adc,3793.0
peak_time_ms,13722.221
pulse_count,10
pulse_width_ms,13688.801
rise_time_ms,32.479000000000006
sample_count,2683
sample_interval_avg_ms,6.636926547352722
sample_interval_max_ms,12.644999999999996
sample_interval_min_ms,3.6729999999999983
threshold_adc,3353.857142857143
threshold_crossing_ms,45.954
