pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,42.125,78.433,36.30800000000001,45.954,78.433,3786,2904.3033333333333,2887.534706331045,3336.7673531655228,300,True
1,1988.642,2024.753,36.110999999999876,1992.603,2028.587,3717,2895.356466876972,2887.534706331045,3302.2673531655228,317,True
2,4094.757,4122.189,27.432000000000244,4094.757,4114.753,3605,2898.5079365079364,2887.534706331045,3246.2673531655228,315,True
3,6184.748,6212.513,27.765000000000327,6188.773,6212.513,3568,2894.845588235294,2887.534706331045,3227.7673531655228,272,True
4,7994.757,8022.511,27.754000000000815,7998.784,8022.511,3457,2891.116666666667,2887.534706331045,3172.2673531655228,300,True
5,9994.757,10022.146,27.389000000001033,9998.607,10002.292,3775,2898.1721611721614,2887.534706331045,3331.2673531655228,273,True
6,11814.757,11844.753,29.996000000001004,11820.492,11824.224,3753,2899.744680851064,2887.534706331045,3320.2673531655228,282,True
7,13694.758,13722.221,27.462999999999738,13698.634,13722.221,3793,2909.1414790996782,2887.534706331045,3340.2673531655228,311,True
8,15762.605,15798.649,36.04399999999987,15774.762,15782.518,3730,2897.0106382978724,2887.534706331045,3308.7673531655228,282,True
9,17642.696,17678.682,35.986000000000786,17654.762,17662.596,3667,3078.125,2887.534706331045,3277.2673531655228,24,True
