pulse_index,op598_anchor_ms,op598_start_ms,op598_end_ms,op598_peak_adc,op598_threshold_adc,anchor_perf_counter_s,nearest_frame_index,nearest_frame_dt_ms,matched_frame_index,matched_frame_dt_ms,window_frame_count,detected_frame_count,detected_in_window,matched_frame_detected,matched_frame_max,matched_frame_p99,matched_frame_threshold
0,54.705,42.047,78.368,3904,3394.5453660436137,9185.220949973,59,-12.973261000297498,59,-12.973261000297498,6,0,False,False,105.0,24.0,136.75824175824175
1,1872.313,1868.466,1904.708,3796,3340.5453660436137,9187.038557973,114,-2.5693899988255,114,-2.5693899988255,6,0,False,False,108.0,24.0,136.75824175824175
2,3718.587,3714.716,3742.129,3883,3384.0453660436137,9188.884831972999,170,15.376517001641332,170,15.376517001641332,6,0,False,False,111.0,26.0,136.75824175824175
3,5698.669,5694.72,5722.33,3744,3314.5453660436137,9190.864913972999,229,-4.636579998987145,229,-4.636579998987145,6,0,False,False,103.0,23.0,136.75824175824175
4,7568.606,7568.606,7604.708,3826,3355.5453660436137,9192.734850973,285,-10.718806999648223,285,-10.718806999648223,6,0,False,False,103.0,26.0,136.75824175824175
5,9548.788,9544.716,9573.925,3807,3346.0453660436137,9194.715032973,345,1.3010900001972914,345,1.3010900001972914,6,0,False,False,107.0,24.0,136.75824175824175
6,11388.803,11384.716,11413.946,3949,3417.0453660436137,9196.555047973,400,-6.7625779993250035,400,-6.7625779993250035,6,0,False,False,113.0,27.0,136.75824175824175
7,13488.672,13484.712,13512.354,3689,3287.0453660436137,9198.654916972999,463,-14.670325997940381,463,-14.670325997940381,6,0,False,False,117.0,24.0,136.75824175824175
8,15408.74,15404.712,15432.488,3653,3269.0453660436137,9200.574984973,521,-2.6902560002781684,521,-2.6902560002781684,6,0,False,False,108.0,26.0,136.75824175824175
9,17288.77,17284.712,17312.546,3583,3234.0453660436137,9202.455014972998,578,13.093956002194318,578,13.093956002194318,6,0,False,False,111.0,26.0,136.75824175824175
