field,value
mode,random-train
webcam.frames,785
webcam.detected_frames,0
webcam.detection_events,0
webcam.measured_fps,30.07044582554952
op598.pulse_events,10
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,-2.5249634991268977
coincidence.abs_mean_offset_ms,8.479276099933486
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2838.1428571428573
op598.command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
op598.fall_time_ms,39.64300000000003
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,9202.653840645
op598.metadata.host_capture_finished_wall_time_s,1779483046.399519205
op598.metadata.host_command_sent_perf_counter_s,9185.166244973
op598.metadata.host_command_sent_wall_time_s,1779483028.911923647
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2628
op598.peak_adc,3949.0
op598.peak_time_ms,11388.803
op598.pulse_count,10
op598.pulse_width_ms,11338.018
op598.rise_time_ms,0.0
op598.sample_count,2628
op598.sample_interval_avg_ms,6.6404971450323576
op598.sample_interval_max_ms,14.384000000000015
op598.sample_interval_min_ms,3.645000000000003
op598.threshold_adc,3393.5714285714284
op598.threshold_crossing_ms,54.705
