index,t_us,t_ms,adc,led,phase,pulse_index
0,118,0.118,2879,0,pre,-1
1,3949,3.949,2839,0,pre,-1
2,14712,14.712,2814,0,pre,-1
3,18367,18.367,2834,0,pre,-1
4,22016,22.016,2825,0,pre,-1
5,34709,34.709,2845,0,pre,-1
6,38376,38.376,2831,0,pre,-1
7,42047,42.047,2836,1,pulse,0
8,54705,54.705,3904,1,pulse,0
9,58373,58.373,3373,1,pulse,0
10,62018,62.018,3583,1,pulse,0
11,74708,74.708,3763,1,pulse,0
12,78368,78.368,3391,1,pulse,0
13,82036,82.036,3549,0,gap,0
14,85908,85.908,3054,0,gap,0
15,94713,94.713,2862,0,gap,0
16,98448,98.448,2854,0,gap,0
17,104713,104.713,2864,0,gap,0
18,114717,114.717,2800,0,gap,0
19,118470,118.47,2855,0,gap,0
20,124716,124.716,2769,0,gap,0
21,134712,134.712,2858,0,gap,0
22,138464,138.464,2825,0,gap,0
23,142224,142.224,2843,0,gap,0
24,154717,154.717,2839,0,gap,0
25,158491,158.491,2850,0,gap,0
26,162248,162.248,2802,0,gap,0
27,174712,174.712,2834,0,gap,0
28,178484,178.484,2800,0,gap,0
29,182264,182.264,2837,0,gap,0
30,186041,186.041,2805,0,gap,0
31,194713,194.713,2816,0,gap,0
32,198504,198.504,2800,0,gap,0
33,204713,204.713,2835,0,gap,0
34,214717,214.717,2814,0,gap,0
35,218534,218.534,2851,0,gap,0
36,224716,224.716,2785,0,gap,0
37,234712,234.712,2845,0,gap,0
38,238538,238.538,2815,0,gap,0
39,242371,242.371,2851,0,gap,0
40,254717,254.717,2845,0,gap,0
41,258561,258.561,2846,0,gap,0
42,262396,262.396,2813,0,gap,0
43,274712,274.712,2832,0,gap,0
44,278557,278.557,2801,0,gap,0
45,282410,282.41,2819,0,gap,0
46,286259,286.259,2822,0,gap,0
47,294713,294.713,2803,0,gap,0
48,298575,298.575,2795,0,gap,0
49,304713,304.713,2830,0,gap,0
50,314717,314.717,2799,0,gap,0
51,318601,318.601,2818,0,gap,0
52,324716,324.716,2777,0,gap,0
53,334712,334.712,2832,0,gap,0
54,338594,338.594,2806,0,gap,0
55,342479,342.479,2807,0,gap,0
56,354717,354.717,2807,0,gap,0
57,358616,358.616,2842,0,gap,0
58,362499,362.499,2815,0,gap,0
59,374712,374.712,2799,0,gap,0
60,378613,378.613,2782,0,gap,0
61,382522,382.522,2809,0,gap,0
62,386421,386.421,2800,0,gap,0
63,394712,394.712,2789,0,gap,0
64,404700,404.7,2791,0,gap,0
65,408389,408.389,2794,0,gap,0
66,412068,412.068,2785,0,gap,0
67,424712,424.712,2795,0,gap,0
68,428413,428.413,2781,0,gap,0
69,432118,432.118,2823,0,gap,0
70,444700,444.7,2747,0,gap,0
71,448427,448.427,2800,0,gap,0
72,452145,452.145,2798,0,gap,0
73,455879,455.879,2811,0,gap,0
74,464717,464.717,2773,0,gap,0
75,468455,468.455,2832,0,gap,0
76,474717,474.717,2758,0,gap,0
77,484717,484.717,2819,0,gap,0
78,488457,488.457,2822,0,gap,0
79,494712,494.712,2802,0,gap,0
80,504716,504.716,2814,0,gap,0
81,508478,508.478,2822,0,gap,0
82,512224,512.224,2783,0,gap,0
83,524713,524.713,2786,0,gap,0
84,528470,528.47,2793,0,gap,0
85,532242,532.242,2813,0,gap,0
86,544716,544.716,2755,0,gap,0
87,548502,548.502,2813,0,gap,0
88,552272,552.272,2769,0,gap,0
89,556060,556.06,2807,0,gap,0
90,564717,564.717,2782,0,gap,0
91,568518,568.518,2827,0,gap,0
92,574717,574.717,2766,0,gap,0
93,584717,584.717,2830,0,gap,0
94,588512,588.512,2800,0,gap,0
95,594712,594.712,2799,0,gap,0
96,604716,604.716,2788,0,gap,0
97,608533,608.533,2815,0,gap,0
98,612333,612.333,2789,0,gap,0
99,624713,624.713,2778,0,gap,0
100,628529,628.529,2768,0,gap,0
101,632348,632.348,2786,0,gap,0
102,644716,644.716,2764,0,gap,0
103,648554,648.554,2815,0,gap,0
104,652388,652.388,2778,0,gap,0
105,664700,664.7,2826,0,gap,0
106,668544,668.544,2787,0,gap,0
107,672404,672.404,2845,0,gap,0
108,676262,676.262,2784,0,gap,0
109,684717,684.717,2835,0,gap,0
110,694716,694.716,2757,0,gap,0
111,698600,698.6,2801,0,gap,0
112,702472,702.472,2802,0,gap,0
113,714712,714.712,2815,0,gap,0
114,718599,718.599,2787,0,gap,0
115,722492,722.492,2814,0,gap,0
116,734716,734.716,2795,0,gap,0
117,738615,738.615,2835,0,gap,0
118,742507,742.507,2795,0,gap,0
119,746415,746.415,2811,0,gap,0
120,754717,754.717,2800,0,gap,0
121,764712,764.712,2823,0,gap,0
122,768624,768.624,2803,0,gap,0
123,772535,772.535,2800,0,gap,0
124,784716,784.716,2818,0,gap,0
125,788646,788.646,2842,0,gap,0
126,792563,792.563,2786,0,gap,0
127,804712,804.712,2832,0,gap,0
128,808644,808.644,2801,0,gap,0
129,812575,812.575,2819,0,gap,0
130,816510,816.51,2809,0,gap,0
131,824713,824.713,2809,0,gap,0
132,830328,830.328,2786,0,gap,0
133,844712,844.712,2790,0,gap,0
134,848390,848.39,2794,0,gap,0
135,852082,852.082,2822,0,gap,0
136,864716,864.716,2773,0,gap,0
137,868433,868.433,2798,0,gap,0
138,872138,872.138,2805,0,gap,0
