pulse_index,op598_anchor_ms,op598_start_ms,op598_end_ms,op598_peak_adc,op598_threshold_adc,anchor_perf_counter_s,nearest_frame_index,nearest_frame_dt_ms,matched_frame_index,matched_frame_dt_ms,window_frame_count,detected_frame_count,detected_in_window,matched_frame_detected,matched_frame_max,matched_frame_p99,matched_frame_threshold
0,45.926,42.13,78.482,3200,3036.6132001566784,9394.475868425001,59,-13.035576001129812,58,-44.97455900127534,6,2,True,True,163.0,60.0,160.55555555555554
1,1992.596,1988.655,2024.81,3245,3059.1132001566784,9396.422538425,118,4.273937000107253,120,72.32416899933014,6,1,True,True,163.0,58.0,160.55555555555554
2,3868.8,3864.818,3892.458,3225,3049.1132001566784,9398.298742425,174,-12.084153000614606,174,-12.084153000614606,6,0,False,False,153.0,57.0,160.55555555555554
3,5768.823,5764.802,5792.536,3219,3046.1132001566784,9400.198765425,231,-16.03476400123327,233,51.93458499888948,6,1,True,True,162.0,58.0,160.55555555555554
4,7612.767,7608.739,7644.806,3200,3036.6132001566784,9402.042709425,287,4.361513998446753,287,4.361513998446753,6,3,True,True,165.0,58.0,160.55555555555554
5,9412.748,9408.725,9444.806,3191,3032.1132001566784,9403.842690425001,341,0.06523199954244774,341,0.06523199954244774,6,0,False,False,153.0,56.0,160.55555555555554
6,11428.68,11424.815,11452.243,3223,3048.1132001566784,9405.858622425001,402,12.17750999967393,403,44.151255999167915,6,2,True,True,164.0,61.0,160.55555555555554
7,13448.776,13444.81,13472.45,3293,3083.1132001566784,9407.878718425,462,-11.972147998676519,462,-11.972147998676519,6,0,False,False,157.0,58.0,160.55555555555554
8,15308.808,15304.814,15332.503,3289,3081.1132001566784,9409.738750425,518,-11.78351099952124,518,-11.78351099952124,6,2,True,True,162.0,58.0,160.55555555555554
9,17204.811,17192.702,17228.72,3222,3047.6132001566784,9411.634753425,575,-11.78156400055741,575,-11.78156400055741,6,0,False,False,152.0,58.0,160.55555555555554
