pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,42.119,58.431,16.311999999999998,45.928,58.431,3794,2900.690789473684,2887.3886578449906,3340.6943289224955,304,True
1,2022.459,2038.579,16.11999999999989,2022.459,2038.579,3738,2909.6701388888887,2887.3886578449906,3312.6943289224955,288,True
2,3938.683,3954.769,16.085999999999785,3942.668,3942.668,3809,2896.565916398714,2887.3886578449906,3348.1943289224955,311,True
3,6008.536,6024.769,16.233000000000175,6012.407,6012.407,3531,2887.6013289036546,2887.3886578449906,3209.1943289224955,301,True
4,8014.773,8022.561,7.787999999999556,8018.738,8022.561,3549,2898.8215488215487,2887.3886578449906,3218.1943289224955,297,True
5,9994.773,10002.736,7.963000000001557,9998.836,10002.736,3495,2894.3166666666666,2887.3886578449906,3191.1943289224955,300,True
6,11994.773,12002.429,7.656000000000859,11998.688,11998.688,3714,2893.5412186379926,2887.3886578449906,3300.6943289224955,279,True
7,13854.773,13862.466,7.6930000000011205,13858.693,13862.466,3728,2843.956678700361,2887.3886578449906,3307.6943289224955,277,True
8,15698.611,15714.769,16.157999999999447,15702.544,15702.544,3792,2901.3310344827587,2887.3886578449906,3339.6943289224955,290,True
9,17634.773,17642.612,7.838999999999942,17638.78,17642.612,3769,3012.590909090909,2887.3886578449906,3328.1943289224955,22,True
