field,value
command,sensor random_train_profile 120 1800 2100 40 32 40 120 1000
metadata.count,120
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,11535.445651238
metadata.host_capture_finished_wall_time_s,1779485379.191328764
metadata.host_command_sent_perf_counter_s,11302.520096055
metadata.host_command_sent_wall_time_s,1779485146.265776873
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,33417
baseline_adc,2868.1428571428573
fall_time_ms,
peak_adc,3945.0
peak_time_ms,88067.312
pulse_count,120
pulse_width_ms,
rise_time_ms,
sample_count,33417
sample_interval_avg_ms,6.968733570744553
sample_interval_max_ms,16.197000000000116
sample_interval_min_ms,3.6389999999999993
threshold_adc,3406.5714285714284
threshold_crossing_ms,
