field,value
mode,random-train
webcam.frames,780
webcam.detected_frames,25
webcam.detection_events,21
webcam.measured_fps,29.873972437688167
op598.pulse_events,10
coincidence.detected_windows,10
coincidence.matched_detected,10
coincidence.mean_offset_ms,39.39703559935879
coincidence.abs_mean_offset_ms,39.39703559935879
visuals.representative_frames,10
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2615.4285714285716
op598.command,sensor random_train_profile 10 1800 2100 40 32 40 120 1000
op598.fall_time_ms,
op598.metadata.count,10
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,11568.013872190
op598.metadata.host_capture_finished_wall_time_s,1779485411.759553432
op598.metadata.host_command_sent_perf_counter_s,11550.209242446
op598.metadata.host_command_sent_wall_time_s,1779485393.954921246
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,2674
op598.peak_adc,3857.0
op598.peak_time_ms,15644.476
op598.pulse_count,10
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,2674
op598.sample_interval_avg_ms,6.645851851851853
op598.sample_interval_max_ms,14.416000000000054
op598.sample_interval_min_ms,3.617000000000189
op598.threshold_adc,3236.214285714286
op598.threshold_crossing_ms,
