index,t_us,t_ms,adc,led,phase,pulse_index
0,87,0.087,2800,0,pre,-1
1,4082,4.082,2530,0,pre,-1
2,14652,14.652,2549,0,pre,-1
3,18329,18.329,2531,0,pre,-1
4,22017,22.017,2537,0,pre,-1
5,34641,34.641,2553,0,pre,-1
6,38340,38.34,2533,0,pre,-1
7,42022,42.022,2867,1,pulse,0
8,45862,45.862,3487,1,pulse,0
9,54641,54.641,3419,1,pulse,0
10,58325,58.325,3781,1,pulse,0
11,64641,64.641,3645,1,pulse,0
12,74653,74.653,3565,1,pulse,0
13,78341,78.341,3839,1,pulse,0
14,84652,84.652,3503,0,gap,0
15,94657,94.657,2751,0,gap,0
16,98428,98.428,2740,0,gap,0
17,102186,102.186,2753,0,gap,0
18,114653,114.653,2699,0,gap,0
19,118431,118.431,2686,0,gap,0
20,122204,122.204,2640,0,gap,0
21,134644,134.644,2659,0,gap,0
22,138428,138.428,2637,0,gap,0
23,142213,142.213,2621,0,gap,0
24,146010,146.01,2601,0,gap,0
25,154645,154.645,2581,0,gap,0
26,158444,158.444,2578,0,gap,0
27,164645,164.645,2559,0,gap,0
28,174653,174.653,2527,0,gap,0
29,178470,178.47,2531,0,gap,0
30,184652,184.652,2526,0,gap,0
31,194644,194.644,2513,0,gap,0
32,198467,198.467,2512,0,gap,0
33,202281,202.281,2523,0,gap,0
34,214653,214.653,2531,0,gap,0
35,218485,218.485,2545,0,gap,0
36,222336,222.336,2527,0,gap,0
37,234644,234.644,2551,0,gap,0
38,238513,238.513,2534,0,gap,0
39,242378,242.378,2544,0,gap,0
40,246253,246.253,2491,0,gap,0
41,254645,254.645,2499,0,gap,0
42,258524,258.524,2511,0,gap,0
43,264645,264.645,2480,0,gap,0
44,274653,274.653,2480,0,gap,0
45,278545,278.545,2495,0,gap,0
46,284652,284.652,2510,0,gap,0
47,294644,294.644,2512,0,gap,0
48,298546,298.546,2472,0,gap,0
49,302439,302.439,2495,0,gap,0
50,314653,314.653,2498,0,gap,0
51,318564,318.564,2514,0,gap,0
52,322472,322.472,2507,0,gap,0
53,334644,334.644,2512,0,gap,0
54,338565,338.565,2512,0,gap,0
55,342482,342.482,2513,0,gap,0
56,346410,346.41,2494,0,gap,0
57,354645,354.645,2483,0,gap,0
58,358575,358.575,2474,0,gap,0
59,364645,364.645,2482,0,gap,0
60,374653,374.653,2477,0,gap,0
61,378597,378.597,2463,0,gap,0
62,384384,384.384,2458,0,gap,0
63,394644,394.644,2480,0,gap,0
64,398360,398.36,2464,0,gap,0
65,402068,402.068,2482,0,gap,0
66,414653,414.653,2469,0,gap,0
67,418398,418.398,2480,0,gap,0
68,422137,422.137,2502,0,gap,0
69,434644,434.644,2502,0,gap,0
70,438402,438.402,2491,0,gap,0
71,442154,442.154,2492,0,gap,0
72,445921,445.921,2495,0,gap,0
73,454645,454.645,2494,0,gap,0
74,458417,458.417,2480,0,gap,0
75,464645,464.645,2465,0,gap,0
76,474653,474.653,2477,0,gap,0
77,478435,478.435,2482,0,gap,0
78,484652,484.652,2487,0,gap,0
79,494644,494.644,2480,0,gap,0
80,498436,498.436,2471,0,gap,0
81,502224,502.224,2479,0,gap,0
82,514653,514.653,2478,0,gap,0
83,518459,518.459,2501,0,gap,0
84,522253,522.253,2480,0,gap,0
85,534644,534.644,2506,0,gap,0
86,538452,538.452,2509,0,gap,0
87,542255,542.255,2508,0,gap,0
88,546079,546.079,2482,0,gap,0
89,554645,554.645,2495,0,gap,0
90,558476,558.476,2474,0,gap,0
91,564645,564.645,2459,0,gap,0
92,574653,574.653,2458,0,gap,0
93,578486,578.486,2463,0,gap,0
94,584652,584.652,2445,0,gap,0
95,594644,594.644,2480,0,gap,0
96,598495,598.495,2448,0,gap,0
97,602333,602.333,2480,0,gap,0
98,614653,614.653,2480,0,gap,0
99,618507,618.507,2481,0,gap,0
100,622360,622.36,2475,0,gap,0
101,634644,634.644,2485,0,gap,0
102,638512,638.512,2496,0,gap,0
103,642379,642.379,2478,0,gap,0
104,646266,646.266,2477,0,gap,0
