field,value
mode,random-train
webcam.frames,470
webcam.detected_frames,11
webcam.detection_events,11
webcam.measured_fps,30.07123553249223
op598.pulse_events,5
coincidence.detected_windows,0
coincidence.matched_detected,0
coincidence.mean_offset_ms,2.503899600560544
coincidence.abs_mean_offset_ms,6.357425200258149
visuals.representative_frames,5
visuals.average_frame_written,True
visuals.heatmap_written,True
visuals.pulse_strip_written,True
op598.baseline_adc,2886.8571428571427
op598.command,sensor random_train_profile 5 1800 2100 40 32 40 120 1000
op598.fall_time_ms,
op598.metadata.count,5
op598.metadata.duration_ms,40
op598.metadata.duty,32
op598.metadata.host_capture_finished_perf_counter_s,9282.081087104
op598.metadata.host_capture_finished_wall_time_s,1779483125.826764822
op598.metadata.host_command_sent_perf_counter_s,9274.039272072
op598.metadata.host_command_sent_wall_time_s,1779483117.784950733
op598.metadata.max_period_ms,2100
op598.metadata.min_period_ms,1800
op598.metadata.post_ms,120
op598.metadata.pre_ms,40
op598.metadata.sample_us,1000
op598.metadata.samples,1212
op598.peak_adc,3865.0
op598.peak_time_ms,7872.731
op598.pulse_count,5
op598.pulse_width_ms,
op598.rise_time_ms,
op598.sample_count,1212
op598.sample_interval_avg_ms,6.61040132122213
op598.sample_interval_max_ms,14.388000000000034
op598.sample_interval_min_ms,3.6449999999999996
op598.threshold_adc,3375.9285714285716
op598.threshold_crossing_ms,
