index,t_us,t_ms,adc,led,phase,pulse_index
0,119,0.119,2949,0,pre,-1
1,3947,3.947,2928,0,pre,-1
2,15244,15.244,2845,0,pre,-1
3,18906,18.906,2916,0,pre,-1
4,22566,22.566,2895,0,pre,-1
5,35240,35.24,2919,0,pre,-1
6,38915,38.915,2901,0,pre,-1
7,42593,42.593,2864,1,pulse,0
8,46395,46.395,3873,1,pulse,0
9,55245,55.245,3377,1,pulse,0
10,58905,58.905,3456,1,pulse,0
11,65241,65.241,3399,1,pulse,0
12,75245,75.245,3280,1,pulse,0
13,78924,78.924,3490,1,pulse,0
14,85244,85.244,3339,0,gap,0
15,95253,95.253,2903,0,gap,0
16,99001,99.001,2846,0,gap,0
17,102745,102.745,2945,0,gap,0
18,115249,115.249,2849,0,gap,0
19,119008,119.008,2925,0,gap,0
20,122750,122.75,2891,0,gap,0
21,135244,135.244,2896,0,gap,0
22,139000,139.0,2901,0,gap,0
23,142764,142.764,2873,0,gap,0
24,146534,146.534,2870,0,gap,0
25,155245,155.245,2928,0,gap,0
26,159015,159.015,2851,0,gap,0
27,165245,165.245,2914,0,gap,0
28,175249,175.249,2845,0,gap,0
29,180650,180.65,2881,0,gap,0
30,184354,184.354,2902,0,gap,0
31,195245,195.245,2841,0,gap,0
32,198922,198.922,2883,0,gap,0
33,202606,202.606,2928,0,gap,0
34,215249,215.249,2881,0,gap,0
35,218959,218.959,2934,0,gap,0
36,222649,222.649,2923,0,gap,0
37,235244,235.244,2923,0,gap,0
38,238945,238.945,2905,0,gap,0
39,242658,242.658,2896,0,gap,0
40,255232,255.232,2912,0,gap,0
41,258962,258.962,2906,0,gap,0
42,262677,262.677,2881,0,gap,0
43,275232,275.232,2885,0,gap,0
44,278963,278.963,2867,0,gap,0
45,282696,282.696,2898,0,gap,0
46,286433,286.433,2917,0,gap,0
47,295245,295.245,2867,0,gap,0
48,298993,298.993,2881,0,gap,0
49,305245,305.245,2923,0,gap,0
50,315249,315.249,2851,0,gap,0
51,319015,319.015,2933,0,gap,0
52,325248,325.248,2832,0,gap,0
53,335244,335.244,2914,0,gap,0
54,339013,339.013,2918,0,gap,0
55,342784,342.784,2899,0,gap,0
56,355249,355.249,2911,0,gap,0
57,359039,359.039,2874,0,gap,0
58,362814,362.814,2864,0,gap,0
59,375244,375.244,2853,0,gap,0
60,379029,379.029,2870,0,gap,0
61,382821,382.821,2928,0,gap,0
62,386614,386.614,2915,0,gap,0
63,395245,395.245,2864,0,gap,0
64,399048,399.048,2886,0,gap,0
65,405245,405.245,2933,0,gap,0
66,415249,415.249,2862,0,gap,0
67,419074,419.074,2926,0,gap,0
68,425248,425.248,2836,0,gap,0
69,435244,435.244,2914,0,gap,0
70,439070,439.07,2879,0,gap,0
71,442907,442.907,2886,0,gap,0
72,455249,455.249,2899,0,gap,0
73,459109,459.109,2880,0,gap,0
74,462951,462.951,2874,0,gap,0
75,475244,475.244,2874,0,gap,0
76,479105,479.105,2845,0,gap,0
77,482978,482.978,2938,0,gap,0
78,486847,486.847,2923,0,gap,0
79,495245,495.245,2863,0,gap,0
80,499124,499.124,2864,0,gap,0
81,505245,505.245,2939,0,gap,0
82,515249,515.249,2834,0,gap,0
83,519154,519.154,2930,0,gap,0
84,525248,525.248,2833,0,gap,0
