field,value
command,sensor random_train_profile 5 1800 2100 40 32 40 120 1000
metadata.count,5
metadata.duration_ms,40
metadata.duty,32
metadata.host_capture_finished_perf_counter_s,9321.132438046
metadata.host_capture_finished_wall_time_s,1779483164.878116608
metadata.host_command_sent_perf_counter_s,9312.970419743
metadata.host_command_sent_wall_time_s,1779483156.716098547
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,1229
baseline_adc,2907.5714285714284
fall_time_ms,
peak_adc,3873.0
peak_time_ms,46.395
pulse_count,5
pulse_width_ms,
rise_time_ms,
sample_count,1229
sample_interval_avg_ms,6.608411237785015
sample_interval_max_ms,12.785000000000082
sample_interval_min_ms,3.6130000000000564
threshold_adc,3390.285714285714
threshold_crossing_ms,
