pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
0,40.39,76.712,36.322,46.726,46.726,4095,2445.4620060790276,2453.4780357246755,3274.2390178623377,329,True
1,2184.253,2220.425,36.172000000000025,2196.717,2196.717,4095,2466.082191780822,2453.4780357246755,3274.2390178623377,292,True
2,4136.704,4166.705,30.001000000000204,4143.517,4143.517,4095,2485.5457875457873,2453.4780357246755,3274.2390178623377,273,True
3,5956.708,5984.15,27.442000000000007,5960.578,5960.578,4095,2479.7482517482517,2453.4780357246755,3274.2390178623377,286,True
4,7854.541,7890.583,36.04199999999946,7866.725,7866.725,4095,2476.2721088435374,2453.4780357246755,3274.2390178623377,294,True
5,9816.708,9844.298,27.590000000000146,9820.662,9820.662,4095,2486.3122807017544,2453.4780357246755,3274.2390178623377,285,True
6,11706.717,11736.705,29.987999999999374,11710.566,11710.566,4095,2488.452768729642,2453.4780357246755,3274.2390178623377,307,True
7,13746.709,13776.713,30.003999999998996,13750.559,13750.559,4095,2488.5655172413794,2453.4780357246755,3274.2390178623377,290,True
8,15670.628,15706.713,36.08499999999913,15674.643,15674.643,4095,2474.2831325301204,2453.4780357246755,3274.2390178623377,332,True
9,17876.708,17906.714,30.006000000001222,17883.639,17883.639,4095,2492.941935483871,2453.4780357246755,3274.2390178623377,310,True
10,19936.708,19966.696,29.988000000001193,19940.804,19940.804,4095,2482.3228840125394,2453.4780357246755,3274.2390178623377,319,True
11,22056.718,22084.193,27.474999999998545,22056.718,22056.718,4095,2487.76357827476,2453.4780357246755,3274.2390178623377,313,True
12,24146.709,24176.713,30.004000000000815,24150.615,24150.615,4095,2499.611721611722,2453.4780357246755,3274.2390178623377,273,True
13,25964.504,26000.561,36.0570000000007,25976.718,25976.718,4095,2480.656765676568,2453.4780357246755,3274.2390178623377,303,True
14,27976.709,28010.518,33.809000000001106,27986.727,27986.727,4095,2487.676470588235,2453.4780357246755,3274.2390178623377,272,True
15,29796.709,29826.713,30.004000000000815,29800.776,29800.776,4095,2493.888111888112,2453.4780357246755,3274.2390178623377,286,True
16,31706.713,31734.372,27.65899999999965,31710.69,31710.69,4095,2488.411149825784,2453.4780357246755,3274.2390178623377,287,True
17,33610.752,33646.706,35.953999999997905,33614.869,33614.869,4095,2490.775,2453.4780357246755,3274.2390178623377,280,True
18,35476.717,35510.575,33.858000000000175,35486.723,35486.723,4095,2479.021739130435,2453.4780357246755,3274.2390178623377,322,True
19,37630.669,37666.705,36.03600000000006,37630.669,37630.669,4095,2477.173252279635,2453.4780357246755,3274.2390178623377,329,True
20,39824.799,39860.713,35.91400000000431,39836.727,39836.727,4095,2474.1569230769232,2453.4780357246755,3274.2390178623377,325,True
21,42000.813,42036.705,35.891999999999825,42004.989,42004.989,4095,2473.9539473684213,2453.4780357246755,3274.2390178623377,304,True
22,44026.716,44060.743,34.02700000000186,44036.718,44036.718,4095,2483.6560283687945,2453.4780357246755,3274.2390178623377,282,True
23,45910.682,45946.705,36.02300000000105,45914.738,45914.738,4095,2474.0730158730157,2453.4780357246755,3274.2390178623377,315,True
24,48010.706,48046.696,35.99000000000524,48016.726,48016.726,4095,2479.029304029304,2453.4780357246755,3274.2390178623377,273,True
25,49836.717,49866.705,29.98800000000483,49840.901,49840.901,4095,2472.1294498381876,2453.4780357246755,3274.2390178623377,309,True
26,51896.708,51926.713,30.005000000004657,51900.885,51900.885,4095,2487.4225352112676,2453.4780357246755,3274.2390178623377,284,True
27,53790.692,53826.713,36.02100000000064,53794.764,53794.764,4095,2474.9863481228667,2453.4780357246755,3274.2390178623377,293,True
28,55746.718,55770.814,24.09599999999773,55750.962,55750.962,4095,2488.751851851852,2453.4780357246755,3274.2390178623377,270,True
29,57550.71,57586.705,35.99500000000262,57554.79,57554.79,4095,2476.777027027027,2453.4780357246755,3274.2390178623377,296,True
30,59525.068,59560.838,35.770000000004075,59536.721,59536.721,4095,2489.868131868132,2453.4780357246755,3274.2390178623377,273,True
31,61356.709,61390.693,33.98399999999674,61366.727,61366.727,4095,2474.690476190476,2453.4780357246755,3274.2390178623377,294,True
32,63335.143,63362.018,26.875,63346.725,63346.725,4095,2476.226480836237,2453.4780357246755,3274.2390178623377,287,True
33,65266.716,65294.848,28.131999999997788,65266.716,65270.925,4095,2480.596875,2453.4780357246755,3274.2390178623377,320,True
34,67416.718,67446.705,29.987000000008265,67420.984,67420.984,4095,2484.928802588997,2453.4780357246755,3274.2390178623377,309,True
35,69506.696,69540.833,34.137000000002445,69516.726,69516.726,4095,2481.94,2453.4780357246755,3274.2390178623377,300,True
36,71546.709,71574.863,28.153999999994994,71546.709,71550.935,4095,2476.48125,2453.4780357246755,3274.2390178623377,320,True
37,73716.71,73740.821,24.110999999989872,73720.972,73720.972,4095,2476.4515050167224,2453.4780357246755,3274.2390178623377,299,True
38,75746.717,75774.848,28.130999999993946,75750.939,75750.939,4095,2491.158088235294,2453.4780357246755,3274.2390178623377,272,True
39,77590.929,77626.705,35.77599999999802,77595.237,77595.237,4095,2487.608695652174,2453.4780357246755,3274.2390178623377,276,True
40,79464.893,79500.76,35.86699999999837,79476.718,79476.718,4095,2459.5586419753085,2453.4780357246755,3274.2390178623377,324,True
41,81666.721,81694.893,28.171999999991385,81670.953,81670.953,4095,2478.923076923077,2453.4780357246755,3274.2390178623377,299,True
42,83696.709,83724.829,28.119999999995343,83700.921,83700.921,4095,2474.6296296296296,2453.4780357246755,3274.2390178623377,297,True
43,85706.717,85730.964,24.247000000003027,85711.112,85711.112,4095,2475.0485074626868,2453.4780357246755,3274.2390178623377,268,True
44,87524.976,87560.801,35.82500000001164,87536.722,87536.722,4095,2472.375438596491,2453.4780357246755,3274.2390178623377,285,True
45,89455.246,89490.955,35.70900000000256,89466.727,89466.727,4095,2472.2318339100348,2453.4780357246755,3274.2390178623377,289,True
