field,value
command,sensor random_train_profile 60 1800 2200 40 0 40 120 1000
metadata.count,60
metadata.duration_ms,40
metadata.duty,0
metadata.host_capture_finished_perf_counter_s,173858.379155348
metadata.host_capture_finished_wall_time_s,1779828365.395788193
metadata.host_command_sent_perf_counter_s,173739.555114007
metadata.host_command_sent_wall_time_s,1779828246.571749926
metadata.max_period_ms,2200
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,17803
baseline_adc,2299.8571428571427
fall_time_ms,
peak_adc,2423.0
peak_time_ms,0.107
pulse_count,60
pulse_width_ms,
rise_time_ms,
sample_count,17803
sample_interval_avg_ms,6.671561229075385
sample_interval_max_ms,16.175000000000068
sample_interval_min_ms,3.6230000000000047
threshold_adc,2361.4285714285716
threshold_crossing_ms,
