pulse_index,op598_anchor_ms,op598_start_ms,op598_end_ms,op598_peak_adc,op598_threshold_adc,anchor_perf_counter_s,nearest_frame_index,nearest_frame_dt_ms,matched_frame_index,matched_frame_dt_ms,window_frame_count,detected_frame_count,detected_in_window,matched_frame_detected,matched_frame_max,matched_frame_p99,matched_frame_threshold
0,46.475,40.128,76.449,4095,2511.8874022589052,174540.23824731802,76,-10.838094021892175,78,53.17904497496784,6,1,True,True,254.0,16.0,39.98148148148148
1,2026.475,2020.159,2056.462,4095,2511.8874022589052,174542.218247318,136,17.154787987237796,137,49.14325798745267,6,1,True,True,254.0,16.0,39.98148148148148
2,3970.432,3966.458,3994.105,4095,2511.8874022589052,174544.162204318,194,13.122642994858325,195,45.04050797550008,6,1,True,True,254.0,16.0,39.98148148148148
3,6160.279,6156.458,6183.8,4095,2511.8874022589052,174546.352051318,259,-0.722905999282375,261,67.27037599193864,6,1,True,True,254.0,16.0,39.98148148148148
4,8066.474,8054.196,8090.288,4095,2511.8874022589052,174548.258246318,316,1.0676349920686334,317,33.05524098686874,6,2,True,True,254.0,16.0,39.98148148148148
5,9990.326,9986.465,10013.901,4095,2511.8874022589052,174550.182098318,373,-14.770355017390102,375,53.225699986796826,6,1,True,True,254.0,16.0,39.98148148148148
6,12034.076,12030.226,12066.455,4095,2511.8874022589052,174552.22584831802,435,17.504592979094014,436,49.47085099411197,6,1,True,True,254.0,16.0,39.98148148148148
7,13934.387,13930.385,13966.454,4095,2511.8874022589052,174554.126159318,491,-10.65189199289307,493,57.17056299909018,6,1,True,True,254.0,16.0,39.98148148148148
8,16086.474,16074.377,16106.466,4095,2511.8874022589052,174556.27824631802,556,13.10340198688209,557,49.19423797400668,6,1,True,True,254.0,16.0,39.98148148148148
9,18240.343,18236.467,18263.92,4095,2511.8874022589052,174558.43211531802,620,3.3116309787146747,621,35.168800968676805,6,2,True,True,254.0,9.0,39.98148148148148
10,20124.415,20120.396,20156.454,4095,2511.8874022589052,174560.316187318,676,-4.789408994838595,678,59.15724000078626,6,1,True,True,254.0,16.0,39.98148148148148
11,22014.208,22010.289,22046.462,4095,2511.8874022589052,174562.20598031802,733,13.481084984960034,734,45.43753099278547,6,2,True,True,254.0,16.0,39.98148148148148
12,23840.495,23836.457,23864.241,4095,2511.8874022589052,174564.03226731802,787,-4.7110270243138075,789,59.130756970262155,6,1,True,True,254.0,16.0,39.98148148148148
13,25686.458,25686.458,25716.462,4095,2511.8874022589052,174565.87823031802,842,-10.654596029780805,844,57.274217979284,6,1,True,True,254.0,16.0,39.98148148148148
14,27846.476,27834.185,27870.285,4095,2511.8874022589052,174568.03824831801,907,5.319639982189983,908,37.27700698073022,6,2,True,True,254.0,16.0,39.98148148148148
15,29880.414,29876.466,29906.458,4095,2511.8874022589052,174570.07218631802,968,11.35642797453329,969,47.38608899060637,6,2,True,True,254.0,16.0,39.98148148148148
16,31790.569,31786.461,31814.381,4095,2511.8874022589052,174571.982341318,1025,9.190908982418478,1026,45.215923979412764,6,2,True,True,254.0,16.0,39.98148148148148
17,33640.438,33636.467,33666.453,4095,2511.8874022589052,174573.832210318,1080,3.352161991642788,1082,67.330759979086,5,1,True,True,254.0,16.0,39.98148148148148
18,35570.604,35566.465,35594.452,4095,2511.8874022589052,174575.76237631802,1138,13.140477996785194,1139,45.19611498108134,6,1,True,True,254.0,16.0,39.98148148148148
19,37580.495,37580.495,37616.454,4095,2511.8874022589052,174577.772267318,1198,11.319882003590465,1199,43.23941498296335,6,2,True,True,254.0,16.0,39.98148148148148
20,39400.453,39396.458,39426.462,4095,2511.8874022589052,174579.59222531802,1252,-0.627363013336435,1254,67.33519499539398,6,1,True,True,254.0,16.0,39.98148148148148
21,41436.466,41431.594,41456.463,4095,2511.8874022589052,174581.62823831802,1313,3.29208598122932,1314,39.357235975330696,6,2,True,True,254.0,16.0,39.98148148148148
22,43466.474,43454.645,43490.512,4095,2511.8874022589052,174583.658246318,1373,-14.67634498840198,1375,49.30876300204545,6,1,True,True,254.0,16.0,39.98148148148148
23,45570.677,45566.465,45596.461,4095,2511.8874022589052,174585.76244931802,1436,-10.849593032617122,1438,53.14018396893516,6,1,True,True,254.0,16.0,39.98148148148148
24,47736.468,47724.353,47760.363,4095,2511.8874022589052,174587.928240318,1501,-0.643843988655135,1502,31.387218012241647,6,2,True,True,254.0,16.0,39.98148148148148
25,49716.466,49704.728,49736.462,4095,2511.8874022589052,174589.90823831802,1560,-8.638446015538648,1562,59.38490998232737,6,1,True,True,254.0,16.0,39.98148148148148
26,51580.589,51576.458,51604.406,4095,2511.8874022589052,174591.772361318,1616,3.320657997392118,1617,35.292656015371904,6,2,True,True,254.0,11.0,39.98148148148148
27,53580.551,53576.467,53600.401,4095,2511.8874022589052,174593.772323318,1676,11.325208004564047,1677,47.413752996362746,6,1,True,True,254.0,16.0,39.98148148148148
28,55776.47,55764.564,55800.465,4095,2511.8874022589052,174595.96824231802,1741,-8.520038012648001,1743,59.485281992238015,6,1,True,True,254.0,16.0,39.98148148148148
29,57810.594,57806.466,57834.438,4095,2511.8874022589052,174598.00236631802,1802,1.4147059700917453,1804,65.31571998493746,6,1,True,True,254.0,16.0,39.98148148148148
30,59940.631,59936.465,59964.496,4095,2511.8874022589052,174600.132403318,1866,11.43765400047414,1867,47.4081699794624,6,2,True,True,254.0,16.0,39.98148148148148
31,62096.466,62084.728,62120.554,4095,2511.8874022589052,174602.288238318,1930,-0.4833290004171431,1931,31.53770201606676,6,2,True,True,254.0,16.0,39.98148148148148
32,64180.694,64176.457,64204.656,4095,2511.8874022589052,174604.37246631802,1992,-8.70866802870296,1994,55.25083499378525,6,1,True,True,254.0,16.0,39.98148148148148
33,66204.771,66200.573,66236.454,4095,2511.8874022589052,174606.396543318,2053,7.2949909954331815,2054,39.257869007997215,6,2,True,True,254.0,16.0,39.98148148148148
34,68380.738,68376.459,68406.466,4095,2511.8874022589052,174608.57251031802,2118,7.239595986902714,2119,39.21951798838563,6,2,True,True,254.0,16.0,39.98148148148148
35,70396.474,70384.687,70420.538,4095,2511.8874022589052,174610.58824631802,2178,-0.5106010066810995,2179,35.55552099714987,6,2,True,True,254.0,16.0,39.98148148148148
36,72316.466,72307.602,72340.452,4095,2511.8874022589052,174612.508238318,2235,-12.504323007306084,2237,55.559088999871165,6,1,True,True,254.0,16.0,39.98148148148148
37,74136.475,74126.457,74160.539,4095,2511.8874022589052,174614.32824731802,2290,7.57132499711588,2291,43.61289498046972,6,1,True,True,254.0,16.0,39.98148148148148
38,76146.466,76134.629,76170.492,4095,2511.8874022589052,174616.338238318,2350,9.579535981174558,2351,41.571060981368646,6,1,True,True,254.0,16.0,39.98148148148148
39,78170.853,78166.465,78200.466,4095,2511.8874022589052,174618.362625318,2410,-6.807730009313673,2412,57.1589210012462,6,1,True,True,254.0,16.0,39.98148148148148
40,80060.737,80056.458,80080.585,4095,2511.8874022589052,174620.252509318,2467,11.405077995732427,2468,43.32488198997453,6,2,True,True,254.0,16.0,39.98148148148148
41,82000.658,81996.466,82020.516,4095,2511.8874022589052,174622.192430318,2525,11.464416980743408,2526,43.372512998757884,6,1,True,True,254.0,16.0,39.98148148148148
42,84150.701,84146.465,84174.636,4095,2511.8874022589052,174624.342473318,2589,5.423568974947557,2590,37.35903598135337,6,2,True,True,254.0,13.0,39.98148148148148
43,85990.786,85986.465,86014.869,4095,2511.8874022589052,174626.18255831802,2644,5.331449996447191,2645,37.31938297278248,6,2,True,True,254.0,15.0,39.98148148148148
44,88065.027,88060.695,88096.462,4095,2511.8874022589052,174628.256799318,2706,7.027425977867097,2707,39.11467897705734,6,2,True,True,254.0,16.0,39.98148148148148
45,89925.252,89920.817,89954.581,4095,2511.8874022589052,174630.117024318,2761,-13.082527002552524,2763,54.89187201601453,6,1,True,True,254.0,16.0,39.98148148148148
46,91786.466,91774.891,91810.628,4095,2511.8874022589052,174631.978238318,2817,1.7398929921910167,2818,33.7259320076555,6,2,True,True,254.0,16.0,39.98148148148148
47,93655.24,93650.795,93686.462,4095,2511.8874022589052,174633.847012318,2873,4.907480004476383,2874,40.96024698810652,6,2,True,True,254.0,16.0,39.98148148148148
48,95820.715,95816.465,95844.655,4095,2511.8874022589052,174636.01248731802,2938,15.448264981387183,2939,51.49988699122332,6,1,True,True,254.0,16.0,39.98148148148148
49,97735.118,97730.752,97766.454,4095,2511.8874022589052,174637.92689031802,2995,9.173248981824145,2996,45.26576597709209,6,2,True,True,254.0,16.0,39.98148148148148
50,99850.857,99846.449,99875.009,4095,2511.8874022589052,174640.04262931802,3058,1.406882976880297,3059,37.44872097740881,6,2,True,True,254.0,12.0,39.98148148148148
51,101706.468,101696.466,101726.463,4095,2511.8874022589052,174641.898240318,3113,-10.151571012102067,3115,57.84414600930177,6,1,True,True,254.0,16.0,39.98148148148148
52,103810.975,103806.458,103830.828,4095,2511.8874022589052,174644.002747318,3176,-6.669035996310413,3178,61.35873298626393,6,1,True,True,254.0,16.0,39.98148148148148
53,105786.475,105775.096,105810.736,4095,2511.8874022589052,174645.978247318,3235,-6.20777701260522,3237,57.83063097624108,6,1,True,True,254.0,16.0,39.98148148148148
54,107630.98,107626.458,107650.833,4095,2511.8874022589052,174647.822752318,3290,-10.696751007344574,3292,57.31932198978029,6,1,True,True,254.0,16.0,39.98148148148148
55,109485.087,109480.733,109516.455,4095,2511.8874022589052,174649.67685931802,3346,11.207497969735414,3347,43.193323974264786,6,2,True,True,254.0,16.0,39.98148148148148
56,111650.843,111646.457,111674.936,4095,2511.8874022589052,174651.84261531802,3410,-14.568417012924328,3412,53.49597297026776,6,1,True,True,254.0,16.0,39.98148148148148
