index,t_us,t_ms,adc,led,phase,pulse_index
0,115,0.115,828,0,pre,-1
1,3954,3.954,710,0,pre,-1
2,17857,17.857,746,0,pre,-1
3,21514,21.514,713,0,pre,-1
4,25162,25.162,699,0,pre,-1
5,28822,28.822,688,0,pre,-1
6,37862,37.862,727,0,pre,-1
7,41536,41.536,679,1,pulse,0
8,47866,47.866,4095,1,pulse,0
9,57849,57.849,4095,1,pulse,0
10,61515,61.515,4095,1,pulse,0
11,67848,67.848,4095,1,pulse,0
12,77844,77.844,4095,1,pulse,0
13,81531,81.531,4095,0,gap,0
14,85419,85.419,3015,0,gap,0
15,97853,97.853,2800,0,gap,0
16,101606,101.606,2774,0,gap,0
17,105355,105.355,2735,0,gap,0
18,109109,109.109,2717,0,gap,0
19,117854,117.854,2688,0,gap,0
20,121617,121.617,2654,0,gap,0
21,127854,127.854,2624,0,gap,0
22,137862,137.862,2610,0,gap,0
23,141638,141.638,2585,0,gap,0
24,147861,147.861,2544,0,gap,0
25,157853,157.853,2529,0,gap,0
26,161635,161.635,2525,0,gap,0
27,165412,165.412,2507,0,gap,0
28,177861,177.861,2478,0,gap,0
29,181657,181.657,2450,0,gap,0
30,185441,185.441,2441,0,gap,0
31,197852,197.852,2401,0,gap,0
32,201658,201.658,2397,0,gap,0
33,205451,205.451,2353,0,gap,0
34,209255,209.255,2349,0,gap,0
35,217854,217.854,2333,0,gap,0
36,224468,224.468,2302,0,gap,0
37,228183,228.183,2288,0,gap,0
38,237862,237.862,2282,0,gap,0
39,241550,241.55,2251,0,gap,0
40,247861,247.861,2244,0,gap,0
41,257853,257.853,2222,0,gap,0
42,261566,261.566,2190,0,gap,0
43,265267,265.267,2175,0,gap,0
44,277862,277.862,2147,0,gap,0
45,281578,281.578,2131,0,gap,0
46,285292,285.292,2119,0,gap,0
47,297853,297.853,2097,0,gap,0
48,301587,301.587,2080,0,gap,0
49,305314,305.314,2047,0,gap,0
50,309050,309.05,2032,0,gap,0
51,317854,317.854,2013,0,gap,0
52,321603,321.603,1996,0,gap,0
53,327854,327.854,1981,0,gap,0
54,337862,337.862,1951,0,gap,0
55,341649,341.649,1930,0,gap,0
56,347861,347.861,1917,0,gap,0
57,357853,357.853,1907,0,gap,0
58,361648,361.648,1881,0,gap,0
59,365439,365.439,1872,0,gap,0
60,377862,377.862,1857,0,gap,0
61,381671,381.671,1827,0,gap,0
62,385471,385.471,1825,0,gap,0
63,397852,397.852,1784,0,gap,0
64,401675,401.675,1783,0,gap,0
65,405489,405.489,1758,0,gap,0
66,409317,409.317,1750,0,gap,0
67,417854,417.854,1732,0,gap,0
68,421691,421.691,1712,0,gap,0
69,427854,427.854,1694,0,gap,0
70,437862,437.862,1682,0,gap,0
71,441713,441.713,1649,0,gap,0
72,447861,447.861,1645,0,gap,0
73,457853,457.853,1621,0,gap,0
74,461730,461.73,1600,0,gap,0
75,465594,465.594,1587,0,gap,0
76,477861,477.861,1575,0,gap,0
77,481744,481.744,1561,0,gap,0
78,485622,485.622,1531,0,gap,0
79,497852,497.852,1523,0,gap,0
80,501753,501.753,1510,0,gap,0
81,505640,505.64,1488,0,gap,0
82,509537,509.537,1473,0,gap,0
83,517854,517.854,1455,0,gap,0
84,521763,521.763,1439,0,gap,0
85,527854,527.854,1429,0,gap,0
86,537862,537.862,1410,0,gap,0
87,541777,541.777,1408,0,gap,0
88,547861,547.861,1392,0,gap,0
89,557853,557.853,1361,0,gap,0
90,561782,561.782,1360,0,gap,0
91,565702,565.702,1333,0,gap,0
92,577861,577.861,1328,0,gap,0
93,581792,581.792,1311,0,gap,0
94,585726,585.726,1296,0,gap,0
95,597852,597.852,1294,0,gap,0
96,601805,601.805,1274,0,gap,0
97,605740,605.74,1254,0,gap,0
98,609690,609.69,1231,0,gap,0
99,616401,616.401,1229,0,gap,0
100,627861,627.861,1219,0,gap,0
101,631554,631.554,1208,0,gap,0
102,635234,635.234,1199,0,gap,0
103,647853,647.853,1184,0,gap,0
104,651558,651.558,1161,0,gap,0
105,655264,655.264,1153,0,gap,0
106,667864,667.864,1147,0,gap,0
107,671581,671.581,1133,0,gap,0
108,675289,675.289,1106,0,gap,0
109,687852,687.852,1094,0,gap,0
110,691583,691.583,1088,0,gap,0
111,695314,695.314,1066,0,gap,0
112,707860,707.86,1062,0,gap,0
113,711605,711.605,1046,0,gap,0
114,715342,715.342,1040,0,gap,0
115,727852,727.852,1038,0,gap,0
116,731637,731.637,1010,0,gap,0
117,735412,735.412,1008,0,gap,0
118,747848,747.848,1003,0,gap,0
119,751640,751.64,986,0,gap,0
120,755430,755.43,977,0,gap,0
121,759224,759.224,948,0,gap,0
122,767866,767.866,961,0,gap,0
123,771667,771.667,938,0,gap,0
124,777862,777.862,933,0,gap,0
125,787854,787.854,942,0,gap,0
126,791675,791.675,897,0,gap,0
127,797853,797.853,912,0,gap,0
128,807861,807.861,901,0,gap,0
129,811690,811.69,866,0,gap,0
130,815510,815.51,862,0,gap,0
131,827854,827.854,883,0,gap,0
132,831692,831.692,840,0,gap,0
133,835534,835.534,848,0,gap,0
134,847860,847.86,846,0,gap,0
135,851721,851.721,832,0,gap,0
136,855588,855.588,802,0,gap,0
137,859468,859.468,801,0,gap,0
138,867866,867.866,827,0,gap,0
139,871756,871.756,780,0,gap,0
140,877862,877.862,785,0,gap,0
141,887854,887.854,783,0,gap,0
142,891749,891.749,756,0,gap,0
143,897853,897.853,775,0,gap,0
144,907861,907.861,759,0,gap,0
145,911774,911.774,720,0,gap,0
146,915675,915.675,731,0,gap,0
147,927853,927.853,746,0,gap,0
148,931765,931.765,720,0,gap,0
149,935683,935.683,707,0,gap,0
150,947860,947.86,731,0,gap,0
151,951793,951.793,698,0,gap,0
152,955713,955.713,693,0,gap,0
153,959646,959.646,668,0,gap,0
154,967866,967.866,688,0,gap,0
155,971816,971.816,675,0,gap,0
156,987844,987.844,706,0,gap,0
157,991793,991.793,649,0,gap,0
158,995729,995.729,654,0,gap,0
159,999686,999.686,645,0,gap,0
160,1007861,1007.861,647,0,gap,0
161,1014597,1014.597,645,0,gap,0
162,1018313,1018.313,607,0,gap,0
163,1027854,1027.854,630,0,gap,0
164,1031548,1031.548,606,0,gap,0
165,1037853,1037.853,623,0,gap,0
