tiempo,azul,verde,amarillo,naranja,rojo
0.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,76,0,0,0,0
9.00,164,0,31,0,0
9.00,215,0,123,0,0
10.00,254,0,186,0,0
10.00,258,0,207,0,0
10.00,258,0,225,17,0
10.00,269,0,227,97,0
10.00,242,0,224,176,0
10.00,177,0,189,261,0
10.00,42,0,106,321,0
11.00,0,0,17,331,16
11.00,0,0,0,194,48
11.00,0,0,0,2,17
11.00,0,0,0,0,0
11.00,0,0,0,0,0
11.00,0,0,0,0,0
12.00,0,0,0,0,0
12.00,0,0,0,0,0
12.00,0,0,0,0,0
12.00,0,0,0,0,0
12.00,0,0,0,0,0
12.00,0,0,0,0,0
13.00,0,0,0,0,0
13.00,0,0,0,0,0
13.00,0,0,0,0,0
13.00,0,0,0,0,0
13.00,0,0,0,0,0
13.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,16
15.00,0,0,0,0,121
15.00,0,0,0,6,241
16.00,0,0,0,150,285
16.00,0,0,38,253,230
16.00,222,0,289,0,0
17.00,148,39,142,0,0
17.00,36,37,19,0,0
17.00,0,0,0,0,0
17.00,0,0,0,0,0
17.00,0,0,0,0,0
17.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
18.00,0,0,0,0,0
