trial,status,latency_us,freq_hz,adc,baseline_adc,threshold,dark_level,lit_level,contrast,direction,mode
1,ok,1010,990.098999,86,0,77,0,309,309,rising,threshold
2,ok,956,1046.025146,80,0,77,0,309,309,rising,threshold
3,ok,1023,977.517090,90,0,77,0,309,309,rising,threshold
4,ok,1028,972.762634,86,0,77,0,309,309,rising,threshold
5,ok,1017,983.284180,80,0,77,0,309,309,rising,threshold
6,ok,1028,972.762634,80,0,77,0,309,309,rising,threshold
7,ok,1016,984.251953,83,0,77,0,309,309,rising,threshold
8,ok,1028,972.762634,83,0,77,0,309,309,rising,threshold
9,ok,1016,984.251953,80,0,77,0,309,309,rising,threshold
10,ok,1029,971.817322,81,0,77,0,309,309,rising,threshold
11,ok,1099,909.918091,97,0,77,0,309,309,rising,threshold
12,ok,1108,902.527100,96,0,77,0,309,309,rising,threshold
13,ok,1027,973.709839,78,0,77,0,309,309,rising,threshold
14,ok,1107,903.342346,94,0,77,0,309,309,rising,threshold
15,ok,1092,915.750916,89,0,77,0,309,309,rising,threshold
16,ok,1028,972.762634,77,0,77,0,309,309,rising,threshold
17,ok,1016,984.251953,78,0,77,0,309,309,rising,threshold
18,ok,1107,903.342346,80,0,77,0,309,309,rising,threshold
19,ok,1013,987.166809,80,0,77,0,309,309,rising,threshold
20,ok,1107,903.342346,82,0,77,0,309,309,rising,threshold
21,ok,1092,915.750916,80,0,77,0,309,309,rising,threshold
22,ok,1107,903.342346,81,0,77,0,309,309,rising,threshold
23,ok,1099,909.918091,82,0,77,0,309,309,rising,threshold
24,ok,1107,903.342346,83,0,77,0,309,309,rising,threshold
25,ok,1092,915.750916,79,0,77,0,309,309,rising,threshold
26,ok,1107,903.342346,80,0,77,0,309,309,rising,threshold
27,ok,1092,915.750916,80,0,77,0,309,309,rising,threshold
28,ok,1107,903.342346,80,0,77,0,309,309,rising,threshold
29,ok,1092,915.750916,77,0,77,0,309,309,rising,threshold
30,ok,1108,902.527100,80,0,77,0,309,309,rising,threshold
31,ok,1099,909.918091,80,0,77,0,309,309,rising,threshold
32,ok,1107,903.342346,86,0,77,0,309,309,rising,threshold
33,ok,1098,910.746826,83,0,77,0,309,309,rising,threshold
34,ok,1100,909.090881,80,0,77,0,309,309,rising,threshold
35,ok,1099,909.918091,86,0,77,0,309,309,rising,threshold
36,ok,1029,971.817322,77,0,77,0,309,309,rising,threshold
37,ok,1020,980.392151,80,0,77,0,309,309,rising,threshold
38,ok,1108,902.527100,85,0,77,0,309,309,rising,threshold
39,ok,1099,909.918091,83,0,77,0,309,309,rising,threshold
40,ok,1114,897.666077,85,0,77,0,309,309,rising,threshold
41,ok,1100,909.090881,85,0,77,0,309,309,rising,threshold
42,ok,1103,906.618286,93,0,77,0,309,309,rising,threshold
43,ok,1092,915.750916,82,0,77,0,309,309,rising,threshold
44,ok,1028,972.762634,80,0,77,0,309,309,rising,threshold
45,ok,1095,913.242004,82,0,77,0,309,309,rising,threshold
46,ok,1100,909.090881,80,0,77,0,309,309,rising,threshold
47,ok,1020,980.392151,80,0,77,0,309,309,rising,threshold
48,ok,1028,972.762634,80,0,77,0,309,309,rising,threshold
49,ok,1095,913.242004,91,0,77,0,309,309,rising,threshold
50,ok,1106,904.159119,94,0,77,0,309,309,rising,threshold
