trial,latency_us,adc
50,2847,62
1,4252,65
2,2785,55
3,2859,55
4,2854,66
5,2859,57
6,2856,57
7,2866,62
8,2855,57
9,2859,60
10,2856,59
11,2859,63
12,2862,65
13,2859,60
14,2860,63
15,2858,62
16,2778,57
17,2860,66
18,2854,55
19,2942,64
20,2855,59
21,2858,58
22,2855,64
23,2859,57
24,2937,65
25,2858,57
26,2860,55
27,2859,64
28,2778,57
29,2942,67
30,2855,58
31,2865,66
32,2855,58
33,2858,61
34,2778,64
35,2935,64
36,2786,62
37,2858,62
38,2782,55
39,2858,67
40,2855,60
41,2867,61
42,2543,55
43,2866,64
44,2855,59
45,2859,64
46,2932,59
47,2782,56
48,2862,58
49,2859,59
50,2860,57
