index,t_us,t_ms,adc,led,phase,pulse_index
0,23,0.023,0,0,steady,-1
1,4760,4.76,0,0,steady,-1
2,9311,9.311,0,0,steady,-1
3,17665,17.665,0,0,steady,-1
4,22213,22.213,0,0,steady,-1
5,27665,27.665,0,0,steady,-1
6,37669,37.669,0,0,steady,-1
7,42207,42.207,0,0,steady,-1
8,46763,46.763,0,0,steady,-1
9,57665,57.665,0,0,steady,-1
10,62226,62.226,0,0,steady,-1
11,66770,66.77,0,0,steady,-1
12,71332,71.332,0,0,steady,-1
13,77665,77.665,0,0,steady,-1
14,87669,87.669,0,0,steady,-1
15,92220,92.22,0,0,steady,-1
16,96789,96.789,0,0,steady,-1
17,101344,101.344,0,0,steady,-1
18,107670,107.67,0,0,steady,-1
19,117666,117.666,0,0,steady,-1
20,122242,122.242,0,0,steady,-1
21,126808,126.808,0,0,steady,-1
22,137669,137.669,0,0,steady,-1
23,142236,142.236,0,0,steady,-1
24,146819,146.819,0,0,steady,-1
25,157665,157.665,0,0,steady,-1
26,162256,162.256,0,0,steady,-1
27,166825,166.825,0,0,steady,-1
28,171419,171.419,0,0,steady,-1
29,177665,177.665,0,0,steady,-1
30,187669,187.669,0,0,steady,-1
31,192244,192.244,0,0,steady,-1
32,196849,196.849,0,0,steady,-1
33,207665,207.665,0,0,steady,-1
34,212265,212.265,0,0,steady,-1
35,216850,216.85,0,0,steady,-1
36,221453,221.453,0,0,steady,-1
37,227665,227.665,0,0,steady,-1
38,237669,237.669,0,0,steady,-1
39,242302,242.302,0,0,steady,-1
40,246925,246.925,0,0,steady,-1
41,257665,257.665,0,0,steady,-1
42,262295,262.295,0,0,steady,-1
43,266908,266.908,0,0,steady,-1
44,271537,271.537,0,0,steady,-1
45,277665,277.665,0,0,steady,-1
46,287670,287.67,0,0,steady,-1
47,292288,292.288,0,0,steady,-1
48,296924,296.924,0,0,steady,-1
49,307665,307.665,0,0,steady,-1
50,312304,312.304,0,0,steady,-1
51,316929,316.929,0,0,steady,-1
52,327653,327.653,0,0,steady,-1
53,332292,332.292,0,0,steady,-1
54,336938,336.938,0,0,steady,-1
55,341568,341.568,0,0,steady,-1
56,347669,347.669,0,0,steady,-1
57,357665,357.665,0,0,steady,-1
58,362317,362.317,0,0,steady,-1
59,366954,366.954,0,0,steady,-1
60,377669,377.669,0,0,steady,-1
61,382309,382.309,0,0,steady,-1
62,386967,386.967,0,0,steady,-1
63,391611,391.611,0,0,steady,-1
64,397669,397.669,0,0,steady,-1
65,407665,407.665,0,0,steady,-1
66,414158,414.158,0,0,steady,-1
67,418704,418.704,0,0,steady,-1
68,423246,423.246,0,0,steady,-1
69,437665,437.665,0,0,steady,-1
70,442218,442.218,0,0,steady,-1
71,446756,446.756,0,0,steady,-1
72,451308,451.308,0,0,steady,-1
73,457665,457.665,0,0,steady,-1
74,467673,467.673,0,0,steady,-1
75,472213,472.213,0,0,steady,-1
76,476779,476.779,0,0,steady,-1
77,487653,487.653,0,0,steady,-1
78,492223,492.223,0,0,steady,-1
79,496775,496.775,0,0,steady,-1
80,501348,501.348,0,0,steady,-1
81,507665,507.665,0,0,steady,-1
82,517669,517.669,0,0,steady,-1
83,522223,522.223,0,0,steady,-1
84,526803,526.803,0,0,steady,-1
85,537669,537.669,0,0,steady,-1
86,542252,542.252,0,0,steady,-1
87,546812,546.812,0,0,steady,-1
88,551399,551.399,0,0,steady,-1
89,557665,557.665,0,0,steady,-1
90,567669,567.669,0,0,steady,-1
91,572236,572.236,0,0,steady,-1
92,576829,576.829,0,0,steady,-1
93,587665,587.665,0,0,steady,-1
94,592261,592.261,0,0,steady,-1
95,596837,596.837,0,0,steady,-1
96,601437,601.437,0,0,steady,-1
97,607665,607.665,0,0,steady,-1
98,617669,617.669,0,0,steady,-1
99,622254,622.254,0,0,steady,-1
100,626857,626.857,0,0,steady,-1
101,637665,637.665,0,0,steady,-1
102,642272,642.272,0,0,steady,-1
103,646865,646.865,0,0,steady,-1
104,657669,657.669,0,0,steady,-1
105,662261,662.261,0,0,steady,-1
106,666882,666.882,0,0,steady,-1
107,671478,671.478,0,0,steady,-1
108,677669,677.669,0,0,steady,-1
109,687665,687.665,0,0,steady,-1
110,692289,692.289,0,0,steady,-1
111,696899,696.899,0,0,steady,-1
112,707669,707.669,0,0,steady,-1
113,712295,712.295,0,0,steady,-1
114,716935,716.935,0,0,steady,-1
115,727665,727.665,0,0,steady,-1
116,732309,732.309,0,0,steady,-1
117,736935,736.935,0,0,steady,-1
118,741581,741.581,0,0,steady,-1
119,747665,747.665,0,0,steady,-1
120,757670,757.67,0,0,steady,-1
121,762298,762.298,0,0,steady,-1
122,766952,766.952,0,0,steady,-1
123,777665,777.665,0,0,steady,-1
124,782321,782.321,0,0,steady,-1
125,786955,786.955,0,0,steady,-1
126,797669,797.669,0,0,steady,-1
127,802306,802.306,0,0,steady,-1
128,806973,806.973,0,0,steady,-1
129,811613,811.613,0,0,steady,-1
130,827653,827.653,0,0,steady,-1
131,832296,832.296,0,0,steady,-1
132,836966,836.966,0,0,steady,-1
133,841613,841.613,0,0,steady,-1
134,847669,847.669,0,0,steady,-1
135,857665,857.665,0,0,steady,-1
136,862356,862.356,0,0,steady,-1
137,867015,867.015,0,0,steady,-1
138,877677,877.677,0,0,steady,-1
139,883884,883.884,0,0,steady,-1
140,888503,888.503,0,0,steady,-1
141,893031,893.031,0,0,steady,-1
142,907673,907.673,0,0,steady,-1
143,912203,912.203,0,0,steady,-1
144,916763,916.763,0,0,steady,-1
145,921301,921.301,0,0,steady,-1
146,927673,927.673,0,0,steady,-1
147,937669,937.669,0,0,steady,-1
148,942235,942.235,0,0,steady,-1
149,946787,946.787,0,0,steady,-1
150,957673,957.673,0,0,steady,-1
151,962222,962.222,0,0,steady,-1
152,966798,966.798,0,0,steady,-1
