index,t_us,t_ms,adc,led,phase,pulse_index
0,21,0.021,0,0,steady,-1
1,4711,4.711,0,0,steady,-1
8,46737,46.737,0,0,steady,-1
9,57762,57.762,0,0,steady,-1
10,62259,62.259,0,0,steady,-1
11,66755,66.755,0,0,steady,-1
12,71256,71.256,0,0,steady,-1
13,77762,77.762,0,0,steady,-1
14,87762,87.762,0,0,steady,-1
15,92262,92.262,0,0,steady,-1
16,96769,96.769,0,0,steady,-1
17,101272,101.272,0,0,steady,-1
18,107763,107.763,0,0,steady,-1
19,117763,117.763,0,0,steady,-1
20,122276,122.276,0,0,steady,-1
21,126791,126.791,0,0,steady,-1
22,137762,137.762,0,0,steady,-1
23,142275,142.275,0,0,steady,-1
24,146795,146.795,0,0,steady,-1
25,157762,157.762,0,0,steady,-1
26,162285,162.285,0,0,steady,-1
27,166805,166.805,0,0,steady,-1
28,171331,171.331,0,0,steady,-1
29,177762,177.762,0,0,steady,-1
30,187762,187.762,0,0,steady,-1
31,193857,193.857,0,0,steady,-1
32,198403,198.403,0,0,steady,-1
33,202877,202.877,0,0,steady,-1
34,217762,217.762,0,0,steady,-1
35,222239,222.239,0,0,steady,-1
36,226718,226.718,0,0,steady,-1
37,231201,231.201,0,0,steady,-1
38,237762,237.762,0,0,steady,-1
39,247762,247.762,0,0,steady,-1
40,252247,252.247,0,0,steady,-1
41,256738,256.738,0,0,steady,-1
42,267765,267.765,0,0,steady,-1
43,272260,272.26,0,0,steady,-1
44,276755,276.755,0,0,steady,-1
45,281253,281.253,0,0,steady,-1
46,287762,287.762,0,0,steady,-1
47,297762,297.762,0,0,steady,-1
48,302262,302.262,0,0,steady,-1
49,306768,306.768,0,0,steady,-1
50,317762,317.762,0,0,steady,-1
51,322271,322.271,0,0,steady,-1
52,326783,326.783,0,0,steady,-1
53,331307,331.307,0,0,steady,-1
54,337762,337.762,0,0,steady,-1
55,347762,347.762,0,0,steady,-1
56,352275,352.275,0,0,steady,-1
57,356795,356.795,0,0,steady,-1
58,367762,367.762,0,0,steady,-1
59,372284,372.284,0,0,steady,-1
60,376805,376.805,0,0,steady,-1
61,381331,381.331,0,0,steady,-1
62,387762,387.762,0,0,steady,-1
63,397762,397.762,0,0,steady,-1
64,402293,402.293,0,0,steady,-1
65,406827,406.827,0,0,steady,-1
66,417762,417.762,0,0,steady,-1
67,422298,422.298,0,0,steady,-1
68,426831,426.831,0,0,steady,-1
69,437749,437.749,0,0,steady,-1
70,442286,442.286,0,0,steady,-1
71,446830,446.83,0,0,steady,-1
72,451372,451.372,0,0,steady,-1
73,457762,457.762,0,0,steady,-1
74,467766,467.766,0,0,steady,-1
75,472316,472.316,0,0,steady,-1
76,476868,476.868,0,0,steady,-1
77,487762,487.762,0,0,steady,-1
78,492323,492.323,0,0,steady,-1
79,496897,496.897,0,0,steady,-1
80,501460,501.46,0,0,steady,-1
81,507762,507.762,0,0,steady,-1
82,517762,517.762,0,0,steady,-1
83,522335,522.335,0,0,steady,-1
84,526906,526.906,0,0,steady,-1
85,537766,537.766,0,0,steady,-1
86,542339,542.339,0,0,steady,-1
87,546919,546.919,0,0,steady,-1
88,551495,551.495,0,0,steady,-1
89,557762,557.762,0,0,steady,-1
90,567762,567.762,0,0,steady,-1
91,572348,572.348,0,0,steady,-1
