index,t_us,t_ms,adc,led,phase,pulse_index
0,111,0.111,0,0,pre,-1
1,3910,3.91,0,0,pre,-1
2,16556,16.556,0,0,pre,-1
3,20216,20.216,0,0,pre,-1
4,23895,23.895,0,0,pre,-1
5,27572,27.572,0,0,pre,-1
6,36557,36.557,0,0,pre,-1
7,40250,40.25,0,0,pre,-1
8,46556,46.556,0,0,pre,-1
9,50255,50.255,0,0,pre,-1
10,56557,56.557,0,0,pre,-1
11,66553,66.553,0,0,pre,-1
12,70287,70.287,0,0,pre,-1
13,73992,73.992,0,0,pre,-1
14,86557,86.557,0,0,pre,-1
15,90277,90.277,0,0,pre,-1
16,94028,94.028,0,0,pre,-1
17,97748,97.748,0,0,pre,-1
18,106557,106.557,0,1,pulse,0
19,110425,110.425,0,1,pulse,0
20,116557,116.557,0,1,pulse,0
21,126553,126.553,0,1,pulse,0
22,130305,130.305,0,1,pulse,0
23,136544,136.544,0,1,pulse,0
24,146544,146.544,0,1,pulse,0
25,150281,150.281,0,1,pulse,0
26,154042,154.042,0,1,pulse,0
27,166552,166.552,0,1,pulse,0
28,170324,170.324,0,1,pulse,0
29,174066,174.066,0,1,pulse,0
30,177840,177.84,0,1,pulse,0
31,186557,186.557,0,1,pulse,0
32,191947,191.947,0,1,pulse,0
33,196552,196.552,0,1,pulse,0
34,206557,206.557,0,1,pulse,0
35,210202,210.202,0,1,pulse,0
36,216556,216.556,0,1,pulse,0
37,226544,226.544,0,1,pulse,0
38,230229,230.229,0,1,pulse,0
39,233891,233.891,0,1,pulse,0
40,246556,246.556,0,1,pulse,0
41,250230,250.23,0,1,pulse,0
42,253931,253.931,0,1,pulse,0
43,257612,257.612,0,1,pulse,0
44,266557,266.557,0,1,pulse,0
45,270248,270.248,0,1,pulse,0
46,276557,276.557,0,1,pulse,0
47,286557,286.557,0,1,pulse,0
48,290286,290.286,0,1,pulse,0
49,296552,296.552,0,1,pulse,0
50,306544,306.544,0,1,pulse,0
51,310259,310.259,0,1,pulse,0
52,313990,313.99,0,1,pulse,0
53,326552,326.552,0,1,pulse,0
54,330294,330.294,0,1,pulse,0
55,334019,334.019,0,1,pulse,0
56,337767,337.767,0,1,pulse,0
57,346553,346.553,0,1,pulse,0
58,350313,350.313,0,1,pulse,0
59,356553,356.553,0,1,pulse,0
60,366557,366.557,0,1,pulse,0
61,370307,370.307,0,1,pulse,0
62,376544,376.544,0,1,pulse,0
63,386548,386.548,0,1,pulse,0
64,390328,390.328,0,1,pulse,0
65,394084,394.084,0,1,pulse,0
66,406556,406.556,0,1,pulse,0
67,410327,410.327,0,1,pulse,0
68,414112,414.112,0,1,pulse,0
69,417891,417.891,0,1,pulse,0
70,426557,426.557,0,1,pulse,0
71,430351,430.351,0,1,pulse,0
72,436557,436.557,0,1,pulse,0
73,446553,446.553,0,1,pulse,0
74,450373,450.373,0,1,pulse,0
75,456544,456.544,0,1,pulse,0
76,466544,466.544,0,1,pulse,0
77,470373,470.373,0,1,pulse,0
78,474214,474.214,0,1,pulse,0
79,486556,486.556,0,1,pulse,0
80,490415,490.415,0,1,pulse,0
81,494254,494.254,0,1,pulse,0
82,498115,498.115,0,1,pulse,0
83,506553,506.553,0,1,pulse,0
84,510421,510.421,0,1,pulse,0
85,516553,516.553,0,1,pulse,0
86,526557,526.557,0,1,pulse,0
87,530423,530.423,0,1,pulse,0
88,536544,536.544,0,1,pulse,0
89,546544,546.544,0,1,pulse,0
90,550436,550.436,0,1,pulse,0
91,554303,554.303,0,1,pulse,0
92,566556,566.556,0,1,pulse,0
93,570437,570.437,0,1,pulse,0
94,574330,574.33,0,1,pulse,0
95,578221,578.221,0,1,pulse,0
96,586557,586.557,0,1,pulse,0
97,590451,590.451,0,1,pulse,0
98,596557,596.557,0,1,pulse,0
99,606553,606.553,0,0,post,0
100,610640,610.64,0,0,post,0
101,614506,614.506,0,0,post,0
102,626557,626.557,0,0,post,0
103,632058,632.058,0,0,post,0
104,635696,635.696,0,0,post,0
105,639307,639.307,0,0,post,0
106,646558,646.558,0,0,post,0
107,656549,656.549,0,0,post,0
108,660200,660.2,0,0,post,0
109,663819,663.819,0,0,post,0
110,676558,676.558,0,0,post,0
111,680195,680.195,0,0,post,0
112,683857,683.857,0,0,post,0
113,696552,696.552,0,0,post,0
114,700229,700.229,0,0,post,0
