index,t_us,t_ms,adc,led,phase,pulse_index
0,114,0.114,0,0,pre,-1
1,3929,3.929,0,0,pre,-1
2,14658,14.658,0,0,pre,-1
3,18322,18.322,0,0,pre,-1
4,21972,21.972,0,0,pre,-1
5,25647,25.647,0,0,pre,-1
6,34659,34.659,0,0,pre,-1
7,38342,38.342,0,0,pre,-1
8,44658,44.658,0,0,pre,-1
9,54658,54.658,0,0,pre,-1
10,58345,58.345,0,0,pre,-1
11,62043,62.043,0,0,pre,-1
12,74658,74.658,0,0,pre,-1
13,78368,78.368,0,0,pre,-1
14,82061,82.061,0,0,pre,-1
15,85773,85.773,0,0,pre,-1
16,94659,94.659,0,0,pre,-1
17,98381,98.381,0,0,pre,-1
18,104658,104.658,0,1,pulse,0
19,114667,114.667,0,1,pulse,0
20,118381,118.381,0,1,pulse,0
21,122098,122.098,0,1,pulse,0
22,134659,134.659,0,1,pulse,0
23,138392,138.392,0,1,pulse,0
24,142108,142.108,0,1,pulse,0
25,145839,145.839,0,1,pulse,0
26,154659,154.659,0,1,pulse,0
27,158401,158.401,0,1,pulse,0
28,164659,164.659,0,1,pulse,0
29,174659,174.659,0,1,pulse,0
30,178400,178.4,0,1,pulse,0
31,184662,184.662,0,1,pulse,0
32,194658,194.658,0,1,pulse,0
33,198421,198.421,0,1,pulse,0
34,202167,202.167,0,1,pulse,0
35,214658,214.658,0,1,pulse,0
36,218419,218.419,0,1,pulse,0
37,222191,222.191,0,1,pulse,0
38,225961,225.961,0,1,pulse,0
39,234659,234.659,0,1,pulse,0
40,238442,238.442,0,1,pulse,0
41,244659,244.659,0,1,pulse,0
42,254659,254.659,0,1,pulse,0
43,258452,258.452,0,1,pulse,0
44,264646,264.646,0,1,pulse,0
45,274650,274.65,0,1,pulse,0
46,278474,278.474,0,1,pulse,0
47,282301,282.301,0,1,pulse,0
48,294658,294.658,0,1,pulse,0
49,298491,298.491,0,1,pulse,0
50,302315,302.315,0,1,pulse,0
51,306148,306.148,0,1,pulse,0
52,314659,314.659,0,1,pulse,0
53,318509,318.509,0,1,pulse,0
54,324659,324.659,0,1,pulse,0
55,334659,334.659,0,1,pulse,0
56,338514,338.514,0,1,pulse,0
57,344650,344.65,0,1,pulse,0
58,354646,354.646,0,1,pulse,0
59,358515,358.515,0,1,pulse,0
60,362371,362.371,0,1,pulse,0
61,374658,374.658,0,1,pulse,0
62,378529,378.529,0,1,pulse,0
63,382407,382.407,0,1,pulse,0
64,386287,386.287,0,1,pulse,0
65,394659,394.659,0,1,pulse,0
66,398543,398.543,0,1,pulse,0
67,404659,404.659,0,1,pulse,0
68,414659,414.659,0,1,pulse,0
69,418561,418.561,0,1,pulse,0
70,424646,424.646,0,1,pulse,0
71,430204,430.204,0,1,pulse,0
72,444646,444.646,0,1,pulse,0
73,448294,448.294,0,1,pulse,0
74,451931,451.931,0,1,pulse,0
75,455584,455.584,0,1,pulse,0
76,464659,464.659,0,1,pulse,0
77,468324,468.324,0,1,pulse,0
78,474659,474.659,0,1,pulse,0
79,484663,484.663,0,1,pulse,0
80,488331,488.331,0,1,pulse,0
81,494658,494.658,0,1,pulse,0
82,504646,504.646,0,1,pulse,0
83,508340,508.34,0,1,pulse,0
84,512014,512.014,0,1,pulse,0
85,524658,524.658,0,1,pulse,0
86,528347,528.347,0,1,pulse,0
87,532046,532.046,0,1,pulse,0
88,535744,535.744,0,1,pulse,0
89,544659,544.659,0,1,pulse,0
90,548366,548.366,0,1,pulse,0
91,554659,554.659,0,1,pulse,0
92,564659,564.659,0,1,pulse,0
93,568384,568.384,0,1,pulse,0
94,574658,574.658,0,1,pulse,0
95,584654,584.654,0,1,pulse,0
96,588381,588.381,0,1,pulse,0
97,592111,592.111,0,1,pulse,0
98,604658,604.658,0,0,post,0
99,608566,608.566,0,0,post,0
100,612305,612.305,0,0,post,0
101,616042,616.042,0,0,post,0
102,624659,624.659,0,0,post,0
103,628409,628.409,0,0,post,0
104,634659,634.659,0,0,post,0
105,644655,644.655,0,0,post,0
106,648407,648.407,0,0,post,0
107,654642,654.642,0,0,post,0
108,664642,664.642,0,0,post,0
109,668408,668.408,0,0,post,0
110,672162,672.162,0,0,post,0
111,684654,684.654,0,0,post,0
112,688427,688.427,0,0,post,0
113,692203,692.203,0,0,post,0
114,695976,695.976,0,0,post,0
115,704655,704.655,0,0,post,0
