field,value
command,sensor pulse_profile 500 1023 100 100 2000
metadata.duration_ms,500
metadata.duty,1023
metadata.post_ms,100
metadata.pre_ms,100
metadata.sample_us,2000
metadata.samples,116
baseline_adc,0.0
fall_time_ms,
peak_adc,0.0
peak_time_ms,0.114
pulse_count,1
pulse_width_ms,
rise_time_ms,
sample_count,116
sample_interval_avg_ms,6.126443478260869
sample_interval_max_ms,14.442000000000007
sample_interval_min_ms,3.6370000000000005
threshold_adc,
threshold_crossing_ms,
