index,t_us,t_ms,adc,led,phase,pulse_index
0,119,0.119,3137,0,pre,-1
1,3895,3.895,3038,0,pre,-1
2,16510,16.51,2999,0,pre,-1
3,20163,20.163,3010,0,pre,-1
4,23815,23.815,2921,0,pre,-1
5,27474,27.474,2985,0,pre,-1
6,36511,36.511,2975,0,pre,-1
7,40177,40.177,2960,0,pre,-1
8,46511,46.511,2972,0,pre,-1
9,56511,56.511,2957,0,pre,-1
10,60192,60.192,2949,0,pre,-1
11,66510,66.51,3031,0,pre,-1
12,76510,76.51,2926,0,pre,-1
13,80197,80.197,3021,1,pulse,0
14,84007,84.007,4095,1,pulse,0
15,96515,96.515,4095,1,pulse,0
16,100193,100.193,4095,1,pulse,0
17,103860,103.86,4095,1,pulse,0
18,116510,116.51,4095,1,pulse,0
19,120192,120.192,4095,1,pulse,0
20,123882,123.882,4095,1,pulse,0
21,136510,136.51,4095,1,pulse,0
22,140214,140.214,4095,1,pulse,0
23,143905,143.905,4095,1,pulse,0
24,156510,156.51,4095,1,pulse,0
25,160220,160.22,4095,1,pulse,0
26,163953,163.953,4095,1,pulse,0
27,176510,176.51,4095,1,pulse,0
28,180253,180.253,4095,0,post,0
29,184154,184.154,3199,0,post,0
30,196494,196.494,2963,0,post,0
31,200236,200.236,3017,0,post,0
32,203985,203.985,2997,0,post,0
33,216506,216.506,3006,0,post,0
34,220269,220.269,2991,0,post,0
35,224012,224.012,2937,0,post,0
36,236510,236.51,2977,0,post,0
37,240267,240.267,2925,0,post,0
38,244036,244.036,2963,0,post,0
39,256506,256.506,2907,0,post,0
40,260290,260.29,2937,0,post,0
41,264051,264.051,3020,0,post,0
42,276510,276.51,2925,0,post,0
43,280289,280.289,2981,0,post,0
44,284079,284.079,3034,0,post,0
45,296494,296.494,2970,0,post,0
46,300298,300.298,3027,0,post,0
