index,t_us,t_ms,adc,led,phase,pulse_index
0,21,0.021,4095,0,steady,-1
1,4694,4.694,4095,0,steady,-1
2,17808,17.808,4095,0,steady,-1
3,22292,22.292,4095,0,steady,-1
4,26781,26.781,4095,0,steady,-1
5,31268,31.268,4095,0,steady,-1
6,37809,37.809,4095,0,steady,-1
7,47805,47.805,4095,0,steady,-1
8,52301,52.301,4095,0,steady,-1
9,56794,56.794,4095,0,steady,-1
10,67813,67.813,4095,0,steady,-1
11,72307,72.307,4095,0,steady,-1
12,76815,76.815,4095,0,steady,-1
13,87804,87.804,4095,0,steady,-1
14,92315,92.315,4095,0,steady,-1
15,96816,96.816,4095,0,steady,-1
16,101329,101.329,4095,0,steady,-1
17,107805,107.805,4095,0,steady,-1
18,117809,117.809,4095,0,steady,-1
19,122339,122.339,4095,0,steady,-1
20,127808,127.808,4095,0,steady,-1
21,137809,137.809,4095,0,steady,-1
22,142344,142.344,4095,0,steady,-1
23,146868,146.868,4095,0,steady,-1
24,157810,157.81,4095,0,steady,-1
25,162337,162.337,4095,0,steady,-1
26,166879,166.879,4095,0,steady,-1
27,177805,177.805,4095,0,steady,-1
28,182349,182.349,4095,0,steady,-1
29,186883,186.883,4095,0,steady,-1
30,197809,197.809,4095,0,steady,-1
31,202345,202.345,4095,0,steady,-1
32,206899,206.899,4095,0,steady,-1
33,217805,217.805,4095,0,steady,-1
34,222358,222.358,4095,0,steady,-1
35,226902,226.902,4095,0,steady,-1
36,237809,237.809,4095,0,steady,-1
37,242355,242.355,4095,0,steady,-1
38,246915,246.915,4095,0,steady,-1
39,257804,257.804,4095,0,steady,-1
40,262367,262.367,4095,0,steady,-1
41,266920,266.92,4095,0,steady,-1
42,271489,271.489,4095,0,steady,-1
43,287796,287.796,4095,0,steady,-1
44,292366,292.366,4095,0,steady,-1
45,298539,298.539,4095,0,steady,-1
46,303052,303.052,4095,0,steady,-1
47,307530,307.53,4095,0,steady,-1
48,317810,317.81,4095,0,steady,-1
49,322298,322.298,4095,0,steady,-1
50,327808,327.808,4095,0,steady,-1
51,337805,337.805,4095,0,steady,-1
52,342311,342.311,4095,0,steady,-1
53,346814,346.814,4095,0,steady,-1
54,357810,357.81,4095,0,steady,-1
55,362307,362.307,4095,0,steady,-1
56,366818,366.818,4095,0,steady,-1
57,377805,377.805,4095,0,steady,-1
58,382320,382.32,4095,0,steady,-1
59,386826,386.826,4095,0,steady,-1
60,397809,397.809,4095,0,steady,-1
61,402317,402.317,4095,0,steady,-1
62,406838,406.838,4095,0,steady,-1
63,417805,417.805,4095,0,steady,-1
64,422333,422.333,4095,0,steady,-1
65,426848,426.848,4095,0,steady,-1
66,437808,437.808,4095,0,steady,-1
67,442326,442.326,4095,0,steady,-1
68,446858,446.858,4095,0,steady,-1
69,457804,457.804,4095,0,steady,-1
70,462339,462.339,4095,0,steady,-1
71,466864,466.864,4095,0,steady,-1
72,471402,471.402,4095,0,steady,-1
73,487792,487.792,4095,0,steady,-1
74,492339,492.339,4095,0,steady,-1
75,496871,496.871,4095,0,steady,-1
76,501418,501.418,4095,0,steady,-1
77,507805,507.805,4095,0,steady,-1
78,517809,517.809,4095,0,steady,-1
79,522348,522.348,4095,0,steady,-1
80,527796,527.796,4095,0,steady,-1
81,537805,537.805,4095,0,steady,-1
82,542361,542.361,4095,0,steady,-1
83,546908,546.908,4095,0,steady,-1
84,557809,557.809,4095,0,steady,-1
85,562363,562.363,4095,0,steady,-1
86,566926,566.926,4095,0,steady,-1
87,577805,577.805,4095,0,steady,-1
88,582371,582.371,4095,0,steady,-1
89,586927,586.927,4095,0,steady,-1
90,597809,597.809,4095,0,steady,-1
91,602372,602.372,4095,0,steady,-1
92,606961,606.961,4095,0,steady,-1
93,617805,617.805,4095,0,steady,-1
94,622390,622.39,4095,0,steady,-1
95,626966,626.966,4095,0,steady,-1
96,637808,637.808,4095,0,steady,-1
97,642386,642.386,4095,0,steady,-1
98,646979,646.979,4095,0,steady,-1
99,657792,657.792,4095,0,steady,-1
100,662387,662.387,4095,0,steady,-1
101,666974,666.974,4095,0,steady,-1
102,671573,671.573,4095,0,steady,-1
103,687804,687.804,4095,0,steady,-1
104,692407,692.407,4095,0,steady,-1
105,697000,697.0,4095,0,steady,-1
106,701609,701.609,4095,0,steady,-1
107,707805,707.805,4095,0,steady,-1
108,717810,717.81,4095,0,steady,-1
109,722408,722.408,4095,0,steady,-1
110,727809,727.809,4095,0,steady,-1
111,737806,737.806,4095,0,steady,-1
112,742421,742.421,4095,0,steady,-1
113,747805,747.805,4095,0,steady,-1
114,757810,757.81,4095,0,steady,-1
115,762418,762.418,4095,0,steady,-1
116,767808,767.808,4095,0,steady,-1
117,777810,777.81,4095,0,steady,-1
118,782435,782.435,4095,0,steady,-1
119,788647,788.647,4095,0,steady,-1
120,797809,797.809,4095,0,steady,-1
121,802293,802.293,4095,0,steady,-1
122,807809,807.809,4095,0,steady,-1
123,817806,817.806,4095,0,steady,-1
124,822306,822.306,4095,0,steady,-1
125,827805,827.805,4095,0,steady,-1
126,837809,837.809,4095,0,steady,-1
127,842303,842.303,4095,0,steady,-1
128,847808,847.808,4095,0,steady,-1
129,857805,857.805,4095,0,steady,-1
130,862318,862.318,4095,0,steady,-1
