index,t_us,t_ms,adc,led,phase,pulse_index
0,107,0.107,2802,0,pre,-1
1,5331,5.331,2652,0,pre,-1
2,10531,10.531,2700,0,pre,-1
3,15840,15.84,2713,0,pre,-1
4,25840,25.84,2677,0,pre,-1
5,31052,31.052,2686,0,pre,-1
6,36253,36.253,2639,0,pre,-1
7,41465,41.465,2638,0,pre,-1
8,46666,46.666,2670,0,pre,-1
9,55840,55.84,2621,0,pre,-1
10,61064,61.064,2640,0,pre,-1
11,66264,66.264,2661,0,pre,-1
12,71476,71.476,2624,0,pre,-1
13,85844,85.844,2639,0,pre,-1
14,91064,91.064,2658,0,pre,-1
15,96264,96.264,2661,0,pre,-1
16,101607,101.607,2693,1,pulse,0
17,106823,106.823,4095,1,pulse,0
18,112031,112.031,4095,1,pulse,0
19,125844,125.844,4095,1,pulse,0
20,131072,131.072,4095,1,pulse,0
21,136277,136.277,4095,1,pulse,0
22,141493,141.493,4095,1,pulse,0
23,146700,146.7,4095,1,pulse,0
24,151916,151.916,4095,1,pulse,0
25,165844,165.844,4095,1,pulse,0
26,171068,171.068,4095,1,pulse,0
27,176274,176.274,4095,1,pulse,0
28,181491,181.491,4095,1,pulse,0
29,186696,186.696,4095,1,pulse,0
30,191912,191.912,4095,1,pulse,0
31,205844,205.844,4095,1,pulse,0
32,211068,211.068,4095,1,pulse,0
33,216273,216.273,4095,1,pulse,0
34,221489,221.489,4095,1,pulse,0
35,226695,226.695,4095,1,pulse,0
36,231915,231.915,4095,1,pulse,0
37,245844,245.844,4095,1,pulse,0
38,251068,251.068,4095,1,pulse,0
39,256273,256.273,4095,1,pulse,0
40,261489,261.489,4095,1,pulse,0
41,266694,266.694,4095,1,pulse,0
42,271910,271.91,4095,1,pulse,0
43,285844,285.844,4095,1,pulse,0
44,291068,291.068,4095,1,pulse,0
45,296273,296.273,4095,1,pulse,0
46,301489,301.489,4095,1,pulse,0
47,306693,306.693,4095,1,pulse,0
48,311909,311.909,4095,1,pulse,0
49,325844,325.844,4095,1,pulse,0
50,331068,331.068,4095,1,pulse,0
51,336273,336.273,4095,1,pulse,0
52,341494,341.494,4095,1,pulse,0
53,346699,346.699,4095,1,pulse,0
54,351915,351.915,4095,1,pulse,0
55,365844,365.844,4095,1,pulse,0
56,371068,371.068,4095,1,pulse,0
57,376272,376.272,4095,1,pulse,0
58,381488,381.488,4095,1,pulse,0
59,386693,386.693,4095,1,pulse,0
60,391909,391.909,4095,1,pulse,0
61,405844,405.844,4095,1,pulse,0
62,411068,411.068,4095,1,pulse,0
63,416273,416.273,4095,1,pulse,0
64,421489,421.489,4095,1,pulse,0
65,426693,426.693,4095,1,pulse,0
66,431910,431.91,4095,1,pulse,0
67,445844,445.844,4095,1,pulse,0
68,451072,451.072,4095,1,pulse,0
69,456277,456.277,4095,1,pulse,0
70,461493,461.493,4095,1,pulse,0
71,466698,466.698,4095,1,pulse,0
72,471914,471.914,4095,1,pulse,0
73,485844,485.844,4095,1,pulse,0
74,491068,491.068,4095,1,pulse,0
75,496273,496.273,4095,1,pulse,0
76,501489,501.489,4095,1,pulse,0
77,506693,506.693,4095,1,pulse,0
78,511909,511.909,4095,1,pulse,0
79,525844,525.844,4095,1,pulse,0
80,531068,531.068,4095,1,pulse,0
81,536273,536.273,4095,1,pulse,0
82,541489,541.489,4095,1,pulse,0
83,546693,546.693,4095,1,pulse,0
84,551913,551.913,4095,1,pulse,0
85,565844,565.844,4095,1,pulse,0
86,571346,571.346,4095,1,pulse,0
87,576562,576.562,4095,1,pulse,0
88,581766,581.766,4095,1,pulse,0
89,595840,595.84,4095,1,pulse,0
90,601064,601.064,4095,0,gap,0
91,606264,606.264,2911,0,gap,0
92,611476,611.476,2892,0,gap,0
93,616677,616.677,2849,0,gap,0
94,621894,621.894,2742,0,gap,0
95,635832,635.832,2683,0,gap,0
96,641052,641.052,2682,0,gap,0
97,646252,646.252,2698,0,gap,0
98,651464,651.464,2688,0,gap,0
99,656666,656.666,2675,0,gap,0
100,661878,661.878,2685,0,gap,0
101,675832,675.832,2670,0,gap,0
102,681052,681.052,2695,0,gap,0
103,686253,686.253,2628,0,gap,0
104,691465,691.465,2642,0,gap,0
105,696665,696.665,2647,0,gap,0
106,701877,701.877,2651,0,gap,0
107,715844,715.844,2707,0,gap,0
108,721064,721.064,2663,0,gap,0
109,726265,726.265,2686,0,gap,0
110,731482,731.482,2704,0,gap,0
111,736684,736.684,2661,0,gap,0
112,741896,741.896,2656,0,gap,0
113,755844,755.844,2619,0,gap,0
114,761064,761.064,2626,0,gap,0
115,766264,766.264,2663,0,gap,0
116,771476,771.476,2635,0,gap,0
117,776678,776.678,2639,0,gap,0
118,781890,781.89,2688,0,gap,0
119,795844,795.844,2694,0,gap,0
120,801064,801.064,2672,0,gap,0
121,806264,806.264,2669,0,gap,0
122,811476,811.476,2676,0,gap,0
123,816676,816.676,2717,0,gap,0
124,821889,821.889,2666,0,gap,0
125,835844,835.844,2638,0,gap,0
126,841069,841.069,2667,0,gap,0
127,846270,846.27,2690,0,gap,0
128,851482,851.482,2669,0,gap,0
129,856684,856.684,2671,0,gap,0
130,861896,861.896,2703,0,gap,0
131,875844,875.844,2636,0,gap,0
132,881064,881.064,2656,0,gap,0
133,886265,886.265,2621,0,gap,0
134,891477,891.477,2635,0,gap,0
135,896677,896.677,2665,0,gap,0
136,901890,901.89,2641,0,gap,0
137,915848,915.848,2693,0,gap,0
138,921068,921.068,2663,0,gap,0
139,926269,926.269,2686,0,gap,0
140,931481,931.481,2682,0,gap,0
141,936681,936.681,2624,0,gap,0
142,941897,941.897,2655,0,gap,0
143,955844,955.844,2609,0,gap,0
144,961064,961.064,2624,0,gap,0
145,966265,966.265,2687,0,gap,0
146,971477,971.477,2659,0,gap,0
147,976679,976.679,2659,0,gap,0
148,981891,981.891,2678,0,gap,0
149,995844,995.844,2673,0,gap,0
150,1001064,1001.064,2691,0,gap,0
151,1006264,1006.264,2693,0,gap,0
152,1011476,1011.476,2681,0,gap,0
153,1016678,1016.678,2726,0,gap,0
154,1021890,1021.89,2685,0,gap,0
155,1035844,1035.844,2672,0,gap,0
156,1041064,1041.064,2669,0,gap,0
157,1046634,1046.634,2695,0,gap,0
158,1051858,1051.858,2667,0,gap,0
159,1057064,1057.064,2653,0,gap,0
160,1065844,1065.844,2710,0,gap,0
161,1071064,1071.064,2654,0,gap,0
162,1076265,1076.265,2681,0,gap,0
163,1085832,1085.832,2641,0,gap,0
164,1091052,1091.052,2652,0,gap,0
165,1096253,1096.253,2673,0,gap,0
166,1101466,1101.466,3007,1,pulse,1
167,1106666,1106.666,4095,1,pulse,1
168,1115845,1115.845,4095,1,pulse,1
169,1121069,1121.069,4095,1,pulse,1
170,1126273,1126.273,4095,1,pulse,1
171,1135837,1135.837,4095,1,pulse,1
172,1141062,1141.062,4095,1,pulse,1
173,1146266,1146.266,4095,1,pulse,1
174,1155841,1155.841,4095,1,pulse,1
175,1161065,1161.065,4095,1,pulse,1
176,1166270,1166.27,4095,1,pulse,1
177,1175837,1175.837,4095,1,pulse,1
178,1181061,1181.061,4095,1,pulse,1
179,1186266,1186.266,4095,1,pulse,1
180,1195840,1195.84,4095,1,pulse,1
181,1201064,1201.064,4095,1,pulse,1
182,1206269,1206.269,4095,1,pulse,1
183,1215836,1215.836,4095,1,pulse,1
184,1221064,1221.064,4095,1,pulse,1
185,1226270,1226.27,4095,1,pulse,1
186,1235840,1235.84,4095,1,pulse,1
187,1241065,1241.065,4095,1,pulse,1
188,1246270,1246.27,4095,1,pulse,1
189,1255828,1255.828,4095,1,pulse,1
190,1261052,1261.052,4095,1,pulse,1
191,1266257,1266.257,4095,1,pulse,1
192,1271473,1271.473,4095,1,pulse,1
193,1285840,1285.84,4095,1,pulse,1
194,1291064,1291.064,4095,1,pulse,1
195,1296268,1296.268,4095,1,pulse,1
196,1301484,1301.484,4095,1,pulse,1
197,1306690,1306.69,4095,1,pulse,1
198,1315840,1315.84,4095,1,pulse,1
199,1321064,1321.064,4095,1,pulse,1
200,1326273,1326.273,4095,1,pulse,1
201,1335836,1335.836,4095,1,pulse,1
202,1341060,1341.06,4095,1,pulse,1
203,1346266,1346.266,4095,1,pulse,1
204,1355840,1355.84,4095,1,pulse,1
205,1361064,1361.064,4095,1,pulse,1
206,1366268,1366.268,4095,1,pulse,1
207,1375828,1375.828,4095,1,pulse,1
208,1381052,1381.052,4095,1,pulse,1
209,1386256,1386.256,4095,1,pulse,1
210,1391473,1391.473,4095,1,pulse,1
211,1405844,1405.844,4095,1,pulse,1
212,1411068,1411.068,4095,1,pulse,1
213,1416273,1416.273,4095,1,pulse,1
214,1421489,1421.489,4095,1,pulse,1
215,1426695,1426.695,4095,1,pulse,1
216,1435844,1435.844,4095,1,pulse,1
217,1441068,1441.068,4095,1,pulse,1
218,1446273,1446.273,4095,1,pulse,1
219,1455836,1455.836,4095,1,pulse,1
220,1461060,1461.06,4095,1,pulse,1
221,1466265,1466.265,4095,1,pulse,1
222,1475840,1475.84,4095,1,pulse,1
223,1481064,1481.064,4095,1,pulse,1
224,1486269,1486.269,4095,1,pulse,1
225,1495828,1495.828,4095,1,pulse,1
226,1501052,1501.052,4095,1,pulse,1
227,1506575,1506.575,4095,1,pulse,1
228,1511799,1511.799,4095,1,pulse,1
229,1525840,1525.84,4095,1,pulse,1
230,1531064,1531.064,4095,1,pulse,1
231,1536269,1536.269,4095,1,pulse,1
232,1541489,1541.489,4095,1,pulse,1
233,1546696,1546.696,4095,1,pulse,1
234,1555840,1555.84,4095,1,pulse,1
235,1561064,1561.064,4095,1,pulse,1
236,1566269,1566.269,4095,1,pulse,1
237,1575836,1575.836,4095,1,pulse,1
238,1581060,1581.06,4095,1,pulse,1
239,1586265,1586.265,4095,1,pulse,1
240,1595840,1595.84,4095,1,pulse,1
241,1601064,1601.064,4095,0,gap,1
242,1606264,1606.264,2911,0,gap,1
243,1611476,1611.476,2883,0,gap,1
244,1625848,1625.848,2677,0,gap,1
245,1631068,1631.068,2727,0,gap,1
246,1636268,1636.268,2639,0,gap,1
247,1641480,1641.48,2657,0,gap,1
248,1646680,1646.68,2687,0,gap,1
249,1651892,1651.892,2640,0,gap,1
250,1665848,1665.848,2710,0,gap,1
251,1671068,1671.068,2678,0,gap,1
252,1676268,1676.268,2674,0,gap,1
253,1681484,1681.484,2701,0,gap,1
254,1686685,1686.685,2656,0,gap,1
255,1691897,1691.897,2655,0,gap,1
256,1705848,1705.848,2635,0,gap,1
257,1711068,1711.068,2645,0,gap,1
258,1716270,1716.27,2656,0,gap,1
259,1721484,1721.484,2650,0,gap,1
260,1726685,1726.685,2671,0,gap,1
261,1731897,1731.897,2691,0,gap,1
262,1745848,1745.848,2674,0,gap,1
263,1751068,1751.068,2687,0,gap,1
264,1756270,1756.27,2693,0,gap,1
265,1761483,1761.483,2683,0,gap,1
266,1766683,1766.683,2731,0,gap,1
267,1771895,1771.895,2707,0,gap,1
268,1785848,1785.848,2646,0,gap,1
269,1791072,1791.072,2662,0,gap,1
270,1796273,1796.273,2673,0,gap,1
271,1801485,1801.485,2659,0,gap,1
272,1806685,1806.685,2657,0,gap,1
273,1811897,1811.897,2673,0,gap,1
274,1825848,1825.848,2653,0,gap,1
275,1831068,1831.068,2663,0,gap,1
276,1836269,1836.269,2630,0,gap,1
277,1841483,1841.483,2631,0,gap,1
278,1846684,1846.684,2643,0,gap,1
279,1851896,1851.896,2619,0,gap,1
280,1865848,1865.848,2730,0,gap,1
281,1871068,1871.068,2652,0,gap,1
282,1876269,1876.269,2679,0,gap,1
283,1881481,1881.481,2721,0,gap,1
284,1886681,1886.681,2641,0,gap,1
285,1891897,1891.897,2646,0,gap,1
286,1905848,1905.848,2640,0,gap,1
287,1911069,1911.069,2657,0,gap,1
288,1916270,1916.27,2659,0,gap,1
289,1921482,1921.482,2641,0,gap,1
290,1926683,1926.683,2675,0,gap,1
291,1931896,1931.896,2704,0,gap,1
292,1945848,1945.848,2693,0,gap,1
293,1951068,1951.068,2654,0,gap,1
294,1956268,1956.268,2651,0,gap,1
295,1961480,1961.48,2695,0,gap,1
296,1966680,1966.68,2687,0,gap,1
297,1971892,1971.892,2671,0,gap,1
298,1977318,1977.318,2694,0,gap,1
299,1985841,1985.841,2640,0,gap,1
300,1995832,1995.832,2667,0,gap,1
301,2001056,2001.056,2675,0,gap,1
302,2006258,2006.258,2675,0,gap,1
303,2011470,2011.47,2683,0,gap,1
304,2016671,2016.671,2711,0,gap,1
305,2025840,2025.84,2686,0,gap,1
306,2031060,2031.06,2720,0,gap,1
307,2036260,2036.26,2661,0,gap,1
308,2045844,2045.844,2691,0,gap,1
309,2051064,2051.064,2654,0,gap,1
310,2056264,2056.264,2665,0,gap,1
311,2061476,2061.476,2698,0,gap,1
312,2075848,2075.848,2647,0,gap,1
313,2081068,2081.068,2661,0,gap,1
314,2086270,2086.27,2612,0,gap,1
315,2091483,2091.483,2626,0,gap,1
316,2096683,2096.683,2650,0,gap,1
317,2101899,2101.899,2658,1,pulse,2
318,2115849,2115.849,4095,1,pulse,2
319,2121073,2121.073,4095,1,pulse,2
320,2126277,2126.277,4095,1,pulse,2
321,2131493,2131.493,4095,1,pulse,2
322,2136698,2136.698,4095,1,pulse,2
323,2145836,2145.836,4095,1,pulse,2
324,2151060,2151.06,4095,1,pulse,2
325,2156264,2156.264,4095,1,pulse,2
