field,value
command,sensor train_profile 3 1000 500 1023 100 100 5000
metadata.count,3
metadata.duration_ms,500
metadata.duty,1023
metadata.host_capture_finished_perf_counter_s,13607.637809949
metadata.host_capture_finished_wall_time_s,1779487451.383487940
metadata.host_command_sent_perf_counter_s,13604.892699641
metadata.host_command_sent_wall_time_s,1779487448.638378143
metadata.period_ms,1000
metadata.post_ms,100
metadata.pre_ms,100
metadata.sample_us,5000
metadata.samples,408
baseline_adc,2667.5625
fall_time_ms,
peak_adc,4095.0
peak_time_ms,106.823
pulse_count,3
pulse_width_ms,
rise_time_ms,
sample_count,408
sample_interval_avg_ms,6.64794348894349
sample_interval_max_ms,14.371999999999844
sample_interval_min_ms,5.199999999999818
threshold_adc,3381.28125
threshold_crossing_ms,
