tiempo,azul,verde,amarillo,naranja,rojo
0.00,0,0,0,0,0
0.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
6.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
7.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,50,0
8.00,0,0,0,169,0
8.00,0,0,0,303,0
9.00,0,0,0,392,0
9.00,0,0,0,432,0
9.00,0,0,0,576,0
9.00,0,0,0,689,0
9.00,0,0,0,810,0
9.00,0,0,0,943,0
9.00,0,0,0,1008,0
10.00,0,0,0,1088,0
10.00,0,0,0,941,0
10.00,0,0,0,829,0
10.00,0,0,8,688,63
10.00,0,0,12,543,157
10.00,0,0,0,347,394
11.00,0,0,0,227,624
11.00,0,0,0,169,752
11.00,0,0,0,158,816
11.00,0,0,4,139,877
11.00,0,0,1,94,911
11.00,0,0,2,83,910
12.00,0,0,2,87,941
12.00,0,0,0,52,960
12.00,0,0,0,57,960
12.00,0,0,4,59,945
12.00,0,0,10,53,947
12.00,0,0,3,46,957
12.00,0,0,19,48,953
13.00,0,0,29,62,927
13.00,0,0,66,76,881
13.00,0,0,81,81,647
13.00,0,0,289,80,313
13.00,0,0,571,44,108
13.00,1,11,719,9,30
14.00,43,153,642,0,0
14.00,64,399,464,0,0
14.00,80,563,364,0,0
14.00,93,739,179,0,0
14.00,80,817,160,0,0
14.00,92,827,150,0,0
15.00,103,887,160,0,0
15.00,124,858,173,0,0
15.00,112,891,169,0,0
15.00,86,963,155,0,0
15.00,54,993,102,0,0
15.00,27,1014,64,0,0
16.00,10,1115,55,0,0
16.00,0,1237,32,0,0
16.00,0,1413,61,0,0
16.00,0,1363,2,0,0
16.00,0,1584,20,0,0
16.00,0,1472,3,0,0
17.00,0,1436,0,0,0
17.00,0,1614,16,0,0
17.00,0,1739,37,0,0
17.00,0,1744,19,0,0
17.00,0,1735,23,0,0
17.00,0,1730,16,0,0
18.00,0,1665,10,0,0
18.00,44,573,28,0,0
18.00,64,176,0,0,0
19.00,166,26,0,0,0
19.00,185,0,0,0,0
19.00,608,0,11,0,0
19.00,669,0,26,0,0
19.00,790,0,53,0,0
20.00,1062,0,66,0,0
20.00,919,0,53,0,0
20.00,848,0,13,0,0
20.00,960,0,0,0,0
20.00,1088,0,0,0,0
20.00,1124,0,0,0,0
21.00,1186,0,0,0,0
21.00,1200,0,0,0,0
21.00,1191,0,0,0,0
21.00,1203,0,0,0,0
21.00,1194,0,0,0,0
21.00,1196,0,0,0,0
22.00,1195,0,0,0,0
22.00,1178,0,0,0,0
22.00,1168,0,0,0,0
22.00,1185,0,0,0,0
22.00,1166,0,0,0,0
22.00,1179,0,0,0,0
23.00,1077,0,0,0,0
23.00,896,0,0,0,0
23.00,810,0,0,0,0
23.00,835,0,0,0,0
23.00,560,0,0,194,0
24.00,112,0,0,327,0
24.00,80,0,0,495,0
24.00,67,0,0,769,0
24.00,80,0,0,1010,0
24.00,117,0,0,1280,0
25.00,109,0,0,1392,0
25.00,112,0,0,1463,0
25.00,117,0,0,1503,0
25.00,109,0,0,1558,0
25.00,138,0,0,1535,0
25.00,131,0,0,1563,0
26.00,141,0,12,1526,0
26.00,127,0,0,1554,0
26.00,130,0,0,1575,0
26.00,121,0,0,1554,0
26.00,133,0,0,1572,0
27.00,123,0,0,1409,0
27.00,65,0,0,1192,0
27.00,16,0,0,1071,0
27.00,0,0,0,883,0
27.00,0,0,0,451,10
28.00,0,0,0,127,167
28.00,0,0,0,128,384
28.00,0,0,0,176,661
28.00,0,0,8,195,866
28.00,0,0,35,174,982
28.00,0,0,59,154,1094
29.00,0,0,64,152,1235
29.00,0,0,67,182,1410
29.00,0,0,75,251,1453
29.00,0,0,69,229,1583
29.00,0,0,53,208,1653
30.00,0,0,97,250,1386
30.00,0,0,79,177,1253
30.00,0,0,79,142,875
31.00,5,0,240,34,298
31.00,19,288,199,0,0
31.00,21,554,127,0,0
31.00,7,607,46,0,0
31.00,0,624,0,0,0
32.00,35,846,0,0,0
32.00,57,1040,0,0,0
32.00,80,1088,29,0,0
32.00,70,1139,39,0,0
32.00,48,918,60,0,0
33.00,64,566,151,0,0
33.00,80,334,272,0,0
33.00,176,93,592,0,0
33.00,207,4,666,0,0
33.00,215,0,859,48,15
33.00,240,21,1066,73,23
34.00,320,0,1360,73,0
34.00,372,10,1407,57,0
34.00,385,5,1439,59,0
34.00,383,0,1456,71,0
34.00,390,0,1514,79,0
35.00,373,0,1577,112,0
35.00,366,0,1625,128,0
35.00,386,0,1661,128,0
35.00,377,0,1653,130,0
35.00,400,0,1694,146,0
36.00,368,0,1673,137,0
36.00,371,0,1706,160,0
36.00,336,0,1739,199,0
36.00,358,0,1666,177,0
36.00,370,0,1530,111,0
37.00,320,0,1283,69,0
37.00,283,0,1063,49,0
37.00,240,0,875,62,0
37.00,182,0,770,101,0
37.00,149,0,684,139,0
38.00,228,0,594,223,0
38.00,327,0,511,266,0
38.00,376,0,457,237,0
38.00,430,0,384,214,0
38.00,435,0,345,215,0
39.00,477,0,317,240,0
39.00,553,0,262,240,0
39.00,669,0,149,199,0
39.00,785,0,79,176,0
39.00,848,0,75,172,0
39.00,862,0,38,160,0
40.00,814,0,35,189,0
40.00,609,0,1,231,0
40.00,242,0,0,269,0
40.00,75,0,0,368,0
40.00,34,0,0,527,0
40.00,18,0,0,781,0
41.00,0,0,0,912,0
41.00,0,0,0,875,42
41.00,0,0,16,609,80
41.00,0,0,47,272,158
41.00,0,0,96,294,341
41.00,0,0,182,272,482
42.00,53,330,547,0,29
42.00,82,496,624,0,0
42.00,128,466,667,0,0
42.00,176,304,681,0,0
43.00,215,167,576,0,0
43.00,228,85,494,0,0
43.00,272,18,368,0,0
43.00,561,0,277,0,0
43.00,799,0,192,0,0
43.00,927,0,118,0,0
44.00,981,0,128,121,0
44.00,902,0,128,333,0
44.00,486,0,116,530,0
44.00,148,0,129,771,0
44.00,85,0,238,790,8
44.00,50,0,348,561,47
45.00,43,0,453,271,96
45.00,29,0,574,221,149
45.00,37,0,722,198,223
45.00,39,0,829,161,256
45.00,54,0,816,99,204
45.00,93,27,781,41,100
45.00,106,169,730,0,26
46.00,137,260,723,0,0
46.00,154,234,647,0,0
46.00,187,94,587,0,0
46.00,224,40,539,0,0
46.00,474,0,467,0,0
46.00,823,0,334,42,0
47.00,917,0,244,122,0
47.00,1037,0,194,301,0
47.00,843,0,179,474,0
47.00,289,0,170,637,0
47.00,166,0,155,871,0
47.00,119,0,171,961,4
48.00,31,0,227,635,66
48.00,0,0,171,242,135
48.00,0,0,189,232,240
48.00,0,0,273,215,385
48.00,0,0,405,176,386
48.00,0,0,529,92,318
49.00,13,0,457,39,153
49.00,28,125,402,0,37
49.00,49,261,428,0,0
49.00,73,299,494,0,0
49.00,128,223,546,0,0
49.00,175,80,560,0,0
50.00,222,27,528,0,0
50.00,507,0,425,0,0
50.00,759,0,208,0,0
50.00,734,0,187,1,0
50.00,784,0,154,78,0
50.00,725,0,218,195,0
51.00,542,0,339,322,0
51.00,321,0,395,463,0
51.00,68,0,285,571,16
51.00,29,0,144,569,26
51.00,0,0,128,485,46
51.00,25,0,443,234,76
52.00,27,0,528,102,147
52.00,13,31,371,0,55
52.00,18,215,302,0,0
53.00,144,34,301,0,0
53.00,271,0,239,0,0
53.00,654,0,214,0,0
53.00,807,0,200,26,0
53.00,868,0,180,182,0
53.00,804,0,206,394,0
54.00,191,0,363,597,0
