tiempo,azul,verde,amarillo,naranja,rojo
0.00,0,0,0,0,0
0.00,0,0,0,0,0
0.00,0,0,0,0,0
0.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
1.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
2.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
3.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
4.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,0,0,0,0,0
5.00,23,0,0,0,0
5.00,102,0,0,0,0
5.00,183,0,0,46,0
5.00,250,0,0,215,0
6.00,336,0,0,430,0
6.00,347,0,32,539,0
6.00,319,0,103,627,0
6.00,197,0,267,458,0
6.00,69,0,458,267,0
6.00,36,0,668,140,13
7.00,0,17,349,110,80
7.00,0,32,127,32,131
7.00,0,4,74,0,58
7.00,0,0,16,0,40
7.00,0,0,0,0,21
7.00,0,0,0,0,6
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
8.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
9.00,0,0,0,0,0
10.00,0,0,0,0,0
10.00,0,0,0,0,0
11.00,0,53,12,0,23
11.00,0,106,66,0,60
11.00,0,101,89,0,74
11.00,0,127,132,0,60
11.00,0,112,414,1,35
11.00,2,64,704,40,0
11.00,33,0,765,59,0
12.00,57,0,733,84,0
12.00,160,0,464,434,0
12.00,316,0,192,752,0
12.00,448,0,77,722,0
12.00,445,0,16,497,0
12.00,368,0,0,426,0
13.00,291,0,0,305,0
13.00,240,0,0,182,0
13.00,190,0,0,48,0
13.00,112,0,0,0,0
13.00,16,0,0,0,0
13.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
14.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
15.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
16.00,0,0,0,0,0
17.00,0,0,0,0,0
17.00,0,0,0,0,0
17.00,25,0,0,0,0
17.00,92,0,0,32,0
17.00,156,0,0,71,0
17.00,218,0,0,159,0
18.00,292,0,0,290,0
18.00,176,0,96,305,0
18.00,90,0,235,290,0
18.00,15,0,403,149,0
18.00,0,0,334,80,21
18.00,0,3,172,54,33
19.00,0,29,75,0,18
19.00,0,9,43,0,0
19.00,0,0,0,0,0
19.00,0,0,0,0,0
19.00,0,0,0,0,0
19.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
20.00,0,0,0,0,0
21.00,0,0,0,0,0
21.00,0,0,0,0,0
22.00,0,0,0,0,0
22.00,0,0,0,0,0
22.00,0,0,0,0,0
22.00,0,19,0,0,0
22.00,0,48,0,0,0
22.00,0,160,64,0,0
23.00,0,210,99,0,0
23.00,22,105,528,0,0
23.00,66,5,734,15,0
23.00,92,0,744,3,0
23.00,113,0,683,16,0
23.00,325,0,419,17,0
24.00,581,0,169,0,0
24.00,741,0,0,0,0
24.00,759,0,0,0,0
24.00,686,0,0,0,0
24.00,547,0,0,0,0
25.00,306,0,0,0,0
25.00,138,0,0,0,0
25.00,30,0,0,0,0
25.00,0,0,0,0,0
25.00,0,0,0,0,0
25.00,0,0,0,0,0
26.00,0,0,0,0,0
26.00,0,0,0,0,0
26.00,0,0,0,0,0
26.00,0,0,0,0,0
26.00,0,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
27.00,0,0,0,0,0
28.00,0,0,0,0,0
28.00,0,0,0,0,0
28.00,0,0,0,0,0
28.00,0,0,0,0,0
28.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,0,0,0,0,0
29.00,206,0,0,0,0
30.00,394,0,0,30,0
30.00,592,0,0,86,0
30.00,643,0,57,132,0
30.00,432,0,281,113,0
30.00,263,0,605,19,0
31.00,238,65,530,0,0
31.00,107,160,319,0,10
31.00,20,191,208,0,35
31.00,0,284,206,0,18
31.00,0,207,34,0,0
32.00,0,176,0,0,0
32.00,0,114,0,0,0
32.00,0,97,0,0,0
32.00,0,34,0,0,0
32.00,0,0,0,0,0
33.00,0,0,0,0,0
33.00,0,0,0,0,0
33.00,0,0,0,0,0
34.00,0,147,166,0,27
34.00,48,66,274,0,35
34.00,112,7,426,3,36
34.00,149,0,531,29,16
34.00,192,0,607,37,0
35.00,208,0,543,49,0
35.00,402,0,317,82,0
35.00,510,0,144,97,0
35.00,629,0,0,81,0
35.00,621,0,0,43,0
36.00,485,0,0,0,0
36.00,274,0,0,0,0
36.00,51,0,0,0,0
36.00,0,0,0,0,0
36.00,0,0,0,0,0
37.00,0,0,0,0,0
37.00,0,0,0,0,0
37.00,0,0,0,0,0
37.00,0,0,0,0,0
37.00,106,0,0,0,0
37.00,416,0,0,78,0
38.00,379,0,176,176,0
38.00,131,0,446,42,0
38.00,19,0,194,0,63
38.00,0,16,96,0,30
38.00,0,0,15,0,8
39.00,0,0,0,0,0
39.00,0,0,0,0,0
39.00,0,0,0,0,0
39.00,0,0,0,0,0
40.00,0,0,0,0,0
40.00,0,16,0,0,0
40.00,0,69,64,0,0
40.00,11,17,182,0,47
40.00,135,0,509,48,0
41.00,285,0,384,230,0
41.00,358,0,32,287,0
41.00,295,0,0,119,0
41.00,32,0,0,0,0
41.00,0,0,0,0,0
42.00,0,0,0,0,0
42.00,0,0,0,0,0
42.00,0,0,0,0,0
42.00,0,0,0,0,0
42.00,0,0,0,0,0
43.00,0,0,0,0,0
43.00,0,0,0,0,0
43.00,0,0,0,0,0
43.00,80,0,0,0,0
43.00,282,0,0,80,0
43.00,435,0,0,201,0
44.00,304,0,243,307,0
44.00,112,0,501,101,3
44.00,32,0,229,0,73
44.00,0,105,121,0,25
44.00,0,99,48,0,0
44.00,0,70,0,0,0
45.00,0,27,0,0,0
45.00,0,18,0,0,0
45.00,0,4,0,0,0
45.00,0,0,0,0,0
45.00,0,0,0,0,0
46.00,0,20,133,0,236
46.00,0,14,497,0,170
46.00,0,0,679,15,48
46.00,112,0,635,128,0
47.00,509,0,147,291,0
47.00,437,0,0,89,0
47.00,56,0,0,0,0
47.00,0,0,0,0,0
47.00,0,0,0,0,0
47.00,0,0,0,0,0
48.00,0,0,0,0,0
48.00,0,0,0,0,0
48.00,0,0,0,0,0
48.00,2,0,0,0,0
48.00,307,0,0,0,0
48.00,379,0,0,43,0
48.00,321,0,259,130,0
49.00,96,0,423,73,0
49.00,0,0,369,0,0
49.00,0,128,137,0,0
49.00,0,171,0,0,0
49.00,0,144,0,0,0
49.00,0,0,0,0,0
50.00,0,0,0,0,0
50.00,0,0,0,0,0
50.00,0,0,0,0,0
50.00,0,0,0,0,0
50.00,0,0,0,0,0
50.00,0,113,0,0,0
51.00,0,282,0,0,0
51.00,0,346,80,0,0
51.00,0,208,302,0,0
51.00,33,14,438,0,0
51.00,183,0,444,0,0
51.00,398,0,336,0,0
51.00,525,0,224,0,0
52.00,618,0,33,0,0
52.00,599,0,0,0,0
52.00,383,0,0,0,0
52.00,144,0,0,0,0
52.00,59,0,0,0,0
52.00,0,0,0,0,0
53.00,0,0,0,0,0
53.00,0,0,0,0,0
53.00,17,0,0,0,0
53.00,157,0,0,0,0
53.00,496,0,0,92,0
53.00,448,0,315,201,0
54.00,85,0,578,16,0
54.00,7,92,366,0,12
54.00,0,288,73,0,0
54.00,0,65,0,0,0
54.00,0,0,0,0,0
54.00,0,0,0,0,0
55.00,0,0,0,0,0
55.00,0,0,0,0,0
55.00,0,0,0,0,0
