sweep,value,duty,intensity_percent,duration_ms,exposure,detection_events,detected_frames,measured_fps,csv,frames_dir,led_ack
exposure,3.0,6,0.5865102639296188,200,3.0,3,3,29.86,data/webcam/webcam_flash_metrics_20260521_120112.csv,data/webcam/flash_presentation/low_duty_parameters/exposure_3_0,OK train count=3 duration_ms=200 duty=6 period_ms=700
exposure,5.0,6,0.5865102639296188,200,5.0,6,7,29.88,data/webcam/webcam_flash_metrics_20260521_120123.csv,data/webcam/flash_presentation/low_duty_parameters/exposure_5_0,OK train count=3 duration_ms=200 duty=6 period_ms=700
exposure,10.0,6,0.5865102639296188,200,10.0,4,5,29.88,data/webcam/webcam_flash_metrics_20260521_120134.csv,data/webcam/flash_presentation/low_duty_parameters/exposure_10_0,OK train count=3 duration_ms=200 duty=6 period_ms=700
exposure,20.0,6,0.5865102639296188,200,20.0,3,18,29.88,data/webcam/webcam_flash_metrics_20260521_120144.csv,data/webcam/flash_presentation/low_duty_parameters/exposure_20_0,OK train count=3 duration_ms=200 duty=6 period_ms=700
exposure,40.0,6,0.5865102639296188,200,40.0,3,18,29.86,data/webcam/webcam_flash_metrics_20260521_120155.csv,data/webcam/flash_presentation/low_duty_parameters/exposure_40_0,OK train count=3 duration_ms=200 duty=6 period_ms=700
duration_ms,5,6,0.5865102639296188,5,10.0,0,0,29.87,data/webcam/webcam_flash_metrics_20260521_120205.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_5,OK train count=3 duration_ms=5 duty=6 period_ms=700
duration_ms,10,6,0.5865102639296188,10,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_120216.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_10,OK train count=3 duration_ms=10 duty=6 period_ms=700
duration_ms,20,6,0.5865102639296188,20,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_120226.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_20,OK train count=3 duration_ms=20 duty=6 period_ms=700
duration_ms,30,6,0.5865102639296188,30,10.0,1,1,29.88,data/webcam/webcam_flash_metrics_20260521_120237.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_30,OK train count=3 duration_ms=30 duty=6 period_ms=700
duration_ms,40,6,0.5865102639296188,40,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_120247.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_40,OK train count=3 duration_ms=40 duty=6 period_ms=700
duration_ms,50,6,0.5865102639296188,50,10.0,1,1,29.88,data/webcam/webcam_flash_metrics_20260521_120258.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_50,OK train count=3 duration_ms=50 duty=6 period_ms=700
duration_ms,75,6,0.5865102639296188,75,10.0,2,3,29.88,data/webcam/webcam_flash_metrics_20260521_120308.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_75,OK train count=3 duration_ms=75 duty=6 period_ms=700
duration_ms,100,6,0.5865102639296188,100,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_120319.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_100,OK train count=3 duration_ms=100 duty=6 period_ms=700
duration_ms,200,6,0.5865102639296188,200,10.0,3,3,29.88,data/webcam/webcam_flash_metrics_20260521_120329.csv,data/webcam/flash_presentation/low_duty_parameters/duration_ms_200,OK train count=3 duration_ms=200 duty=6 period_ms=700
