sweep,value,duty,duration_ms,exposure,detection_events,detected_frames,measured_fps,csv,led_ack
exposure,1.0,8,50,1.0,2,2,29.86,data/webcam/webcam_flash_metrics_20260521_114453.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
exposure,3.0,8,50,3.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_114504.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
exposure,5.0,8,50,5.0,3,4,29.88,data/webcam/webcam_flash_metrics_20260521_114514.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
exposure,10.0,8,50,10.0,3,4,29.88,data/webcam/webcam_flash_metrics_20260521_114525.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
exposure,20.0,8,50,20.0,3,5,29.88,data/webcam/webcam_flash_metrics_20260521_114535.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
exposure,40.0,8,50,40.0,3,3,29.87,data/webcam/webcam_flash_metrics_20260521_114546.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
duration_ms,5,8,5,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_114556.csv,OK train count=3 duration_ms=5 duty=8 period_ms=700
duration_ms,10,8,10,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_114607.csv,OK train count=3 duration_ms=10 duty=8 period_ms=700
duration_ms,20,8,20,10.0,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_114617.csv,OK train count=3 duration_ms=20 duty=8 period_ms=700
duration_ms,50,8,50,10.0,2,2,29.88,data/webcam/webcam_flash_metrics_20260521_114628.csv,OK train count=3 duration_ms=50 duty=8 period_ms=700
duration_ms,100,8,100,10.0,3,7,29.88,data/webcam/webcam_flash_metrics_20260521_114638.csv,OK train count=3 duration_ms=100 duty=8 period_ms=700
duration_ms,200,8,200,10.0,3,10,29.88,data/webcam/webcam_flash_metrics_20260521_114649.csv,OK train count=3 duration_ms=200 duty=8 period_ms=700
duration_ms,300,8,300,10.0,3,14,29.88,data/webcam/webcam_flash_metrics_20260521_114659.csv,OK train count=3 duration_ms=300 duty=8 period_ms=700
