duty,intensity_percent,detection_events,detected_frames,measured_fps,csv,frames_dir,led_ack
1,0.09775171065493646,0,0,29.86,data/webcam/webcam_flash_metrics_20260521_115919.csv,data/webcam/flash_presentation/intensity_low/duty_0001,OK train count=3 duration_ms=200 duty=1 period_ms=700
2,0.19550342130987292,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_115929.csv,data/webcam/flash_presentation/intensity_low/duty_0002,OK train count=3 duration_ms=200 duty=2 period_ms=700
4,0.39100684261974583,0,0,29.88,data/webcam/webcam_flash_metrics_20260521_115940.csv,data/webcam/flash_presentation/intensity_low/duty_0004,OK train count=3 duration_ms=200 duty=4 period_ms=700
6,0.5865102639296188,3,14,29.88,data/webcam/webcam_flash_metrics_20260521_115950.csv,data/webcam/flash_presentation/intensity_low/duty_0006,OK train count=3 duration_ms=200 duty=6 period_ms=700
8,0.7820136852394917,3,18,29.87,data/webcam/webcam_flash_metrics_20260521_120001.csv,data/webcam/flash_presentation/intensity_low/duty_0008,OK train count=3 duration_ms=200 duty=8 period_ms=700
10,0.9775171065493646,3,18,29.88,data/webcam/webcam_flash_metrics_20260521_120011.csv,data/webcam/flash_presentation/intensity_low/duty_0010,OK train count=3 duration_ms=200 duty=10 period_ms=700
12,1.1730205278592376,3,18,29.88,data/webcam/webcam_flash_metrics_20260521_120022.csv,data/webcam/flash_presentation/intensity_low/duty_0012,OK train count=3 duration_ms=200 duty=12 period_ms=700
16,1.5640273704789833,3,18,29.88,data/webcam/webcam_flash_metrics_20260521_120032.csv,data/webcam/flash_presentation/intensity_low/duty_0016,OK train count=3 duration_ms=200 duty=16 period_ms=700
24,2.346041055718475,3,18,29.88,data/webcam/webcam_flash_metrics_20260521_120043.csv,data/webcam/flash_presentation/intensity_low/duty_0024,OK train count=3 duration_ms=200 duty=24 period_ms=700
32,3.1280547409579667,3,18,29.88,data/webcam/webcam_flash_metrics_20260521_120053.csv,data/webcam/flash_presentation/intensity_low/duty_0032,OK train count=3 duration_ms=200 duty=32 period_ms=700
