duty,intensity_percent,detection_events,detected_frames,measured_fps,csv,frames_dir,led_ack
0,0.0,0,0,30.39,data/webcam/webcam_flash_metrics_20260526_184257.csv,data/webcam/flash_presentation/intensity/duty_0000,OK train count=60 duration_ms=200 duty=0 period_ms=700
1,0.09775171065493646,0,0,29.85,data/webcam/webcam_flash_metrics_20260526_184344.csv,data/webcam/flash_presentation/intensity/duty_0001,OK train count=60 duration_ms=200 duty=1 period_ms=700
2,0.19550342130987292,0,0,29.85,data/webcam/webcam_flash_metrics_20260526_184432.csv,data/webcam/flash_presentation/intensity/duty_0002,OK train count=60 duration_ms=200 duty=2 period_ms=700
3,0.2932551319648094,0,0,29.86,data/webcam/webcam_flash_metrics_20260526_184519.csv,data/webcam/flash_presentation/intensity/duty_0003,OK train count=60 duration_ms=200 duty=3 period_ms=700
4,0.39100684261974583,7,23,29.85,data/webcam/webcam_flash_metrics_20260526_184606.csv,data/webcam/flash_presentation/intensity/duty_0004,OK train count=60 duration_ms=200 duty=4 period_ms=700
5,0.4887585532746823,7,42,29.85,data/webcam/webcam_flash_metrics_20260526_184654.csv,data/webcam/flash_presentation/intensity/duty_0005,OK train count=60 duration_ms=200 duty=5 period_ms=700
6,0.5865102639296188,7,42,29.87,data/webcam/webcam_flash_metrics_20260526_184741.csv,data/webcam/flash_presentation/intensity/duty_0006,OK train count=60 duration_ms=200 duty=6 period_ms=700
7,0.6842619745845552,7,42,29.85,data/webcam/webcam_flash_metrics_20260526_184829.csv,data/webcam/flash_presentation/intensity/duty_0007,OK train count=60 duration_ms=200 duty=7 period_ms=700
8,0.7820136852394917,7,42,29.86,data/webcam/webcam_flash_metrics_20260526_184916.csv,data/webcam/flash_presentation/intensity/duty_0008,OK train count=60 duration_ms=200 duty=8 period_ms=700
10,0.9775171065493646,7,42,29.85,data/webcam/webcam_flash_metrics_20260526_185004.csv,data/webcam/flash_presentation/intensity/duty_0010,OK train count=60 duration_ms=200 duty=10 period_ms=700
12,1.1730205278592376,7,42,29.87,data/webcam/webcam_flash_metrics_20260526_185051.csv,data/webcam/flash_presentation/intensity/duty_0012,OK train count=60 duration_ms=200 duty=12 period_ms=700
16,1.5640273704789833,7,42,29.86,data/webcam/webcam_flash_metrics_20260526_185139.csv,data/webcam/flash_presentation/intensity/duty_0016,OK train count=60 duration_ms=200 duty=16 period_ms=700
24,2.346041055718475,7,42,29.85,data/webcam/webcam_flash_metrics_20260526_185226.csv,data/webcam/flash_presentation/intensity/duty_0024,OK train count=60 duration_ms=200 duty=24 period_ms=700
32,3.1280547409579667,7,42,29.84,data/webcam/webcam_flash_metrics_20260526_185314.csv,data/webcam/flash_presentation/intensity/duty_0032,OK train count=60 duration_ms=200 duty=32 period_ms=700
48,4.69208211143695,7,42,29.85,data/webcam/webcam_flash_metrics_20260526_185401.csv,data/webcam/flash_presentation/intensity/duty_0048,OK train count=60 duration_ms=200 duty=48 period_ms=700
64,6.256109481915933,7,42,29.88,data/webcam/webcam_flash_metrics_20260526_185449.csv,data/webcam/flash_presentation/intensity/duty_0064,OK train count=60 duration_ms=200 duty=64 period_ms=700
128,12.512218963831867,7,42,29.85,data/webcam/webcam_flash_metrics_20260526_185536.csv,data/webcam/flash_presentation/intensity/duty_0128,OK train count=60 duration_ms=200 duty=128 period_ms=700
