duty,replicates,mean_detection_probability,median_detection_probability,detected_runs,expected_total_pulses,detected_total_events,bounded_detected_total,mean_detected_frames
0,3,0.0,0.0,0,180,0,0,0.0
1,3,0.0,0.0,0,180,0,0,0.0
2,3,0.0,0.0,0,180,0,0,0.0
3,3,0.0,0.0,0,180,0,0,0.0
4,3,0.077778,0.066667,3,180,14,14,12.333
5,3,0.116667,0.116667,3,180,21,21,41.667
6,3,0.116667,0.116667,3,180,21,21,41.667
7,3,0.122222,0.116667,3,180,22,22,42.333
8,3,0.133334,0.116667,3,180,24,24,48.0
10,3,0.116667,0.116667,3,180,21,21,42.0
12,3,0.116667,0.116667,3,180,21,21,42.0
16,3,0.116667,0.116667,3,180,21,21,42.333
24,3,0.116667,0.116667,3,180,21,21,42.0
32,3,0.116667,0.116667,3,180,21,21,42.0
48,3,0.116667,0.116667,3,180,21,21,42.0
64,3,0.116667,0.116667,3,180,21,21,42.0
128,3,0.116667,0.116667,3,180,21,21,42.333
