study_family,source_run,duty,intensity_percent,expected_pulses,detection_events,bounded_detected_pulses,detected_frames,detection_probability,detected_any,event_overcount_flag,measured_fps,metrics_csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,0,,60,0,0,0,0.0,false,false,30.39,data/webcam/webcam_flash_metrics_20260526_184257.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,1,0.09775171065493646,60,0,0,0,0.0,false,false,29.85,data/webcam/webcam_flash_metrics_20260526_184344.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,2,0.19550342130987292,60,0,0,0,0.0,false,false,29.85,data/webcam/webcam_flash_metrics_20260526_184432.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,3,0.2932551319648094,60,0,0,0,0.0,false,false,29.86,data/webcam/webcam_flash_metrics_20260526_184519.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,4,0.39100684261974583,60,7,7,23,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_184606.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,5,0.4887585532746823,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_184654.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,6,0.5865102639296188,60,7,7,42,0.116667,true,false,29.87,data/webcam/webcam_flash_metrics_20260526_184741.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,7,0.6842619745845552,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_184829.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,8,0.7820136852394917,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_184916.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,10,0.9775171065493646,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_185004.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,12,1.1730205278592376,60,7,7,42,0.116667,true,false,29.87,data/webcam/webcam_flash_metrics_20260526_185051.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,16,1.5640273704789833,60,7,7,42,0.116667,true,false,29.86,data/webcam/webcam_flash_metrics_20260526_185139.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,24,2.346041055718475,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_185226.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,32,3.1280547409579667,60,7,7,42,0.116667,true,false,29.84,data/webcam/webcam_flash_metrics_20260526_185314.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,48,4.69208211143695,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_185401.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,64,6.256109481915933,60,7,7,42,0.116667,true,false,29.88,data/webcam/webcam_flash_metrics_20260526_185449.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_184256,128,12.512218963831867,60,7,7,42,0.116667,true,false,29.85,data/webcam/webcam_flash_metrics_20260526_185536.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_185645,0,,60,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260526_185645.csv
webcam_intensity_sweep,led_intensity_sweep_20260526_185645,1,0.09775171065493646,60,0,0,0,0.0,false,false,29.86,data/webcam/webcam_flash_metrics_20260526_185733.csv
