duty,duration_ms,replicates,mean_detection_probability,median_detection_probability,detected_total_events,bounded_detected_total,expected_total_pulses
6,5,1,0.0,0.0,0,0,3
6,10,1,0.0,0.0,0,0,3
6,20,1,0.0,0.0,0,0,3
6,30,1,0.333333,0.333333,1,1,3
6,40,1,0.0,0.0,0,0,3
6,50,1,0.333333,0.333333,1,1,3
6,75,1,0.666667,0.666667,2,2,3
6,100,1,0.0,0.0,0,0,3
6,200,1,1.0,1.0,3,3,3
8,5,1,0.0,0.0,0,0,3
8,10,1,0.0,0.0,0,0,3
8,20,1,0.0,0.0,0,0,3
8,50,1,0.666667,0.666667,2,2,3
8,100,1,1.0,1.0,3,3,3
8,200,1,1.0,1.0,3,3,3
8,300,1,1.0,1.0,3,3,3
