study_family,source_run,sweep,value,duty,duration_ms,exposure,expected_pulses,detection_events,bounded_detected_pulses,detected_frames,detection_probability,detected_any,event_overcount_flag,measured_fps,metrics_csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,exposure,3.0,6,200,3.0,3,3,3,3,1.0,true,false,29.86,data/webcam/webcam_flash_metrics_20260521_120112.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,exposure,5.0,6,200,5.0,3,6,3,7,1.0,true,true,29.88,data/webcam/webcam_flash_metrics_20260521_120123.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,exposure,10.0,6,200,10.0,3,4,3,5,1.0,true,true,29.88,data/webcam/webcam_flash_metrics_20260521_120134.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,exposure,20.0,6,200,20.0,3,3,3,18,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120144.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,exposure,40.0,6,200,40.0,3,3,3,18,1.0,true,false,29.86,data/webcam/webcam_flash_metrics_20260521_120155.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,5.0,6,5,10.0,3,0,0,0,0.0,false,false,29.87,data/webcam/webcam_flash_metrics_20260521_120205.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,10.0,6,10,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_120216.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,20.0,6,20,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_120226.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,30.0,6,30,10.0,3,1,1,1,0.333333,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120237.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,40.0,6,40,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_120247.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,50.0,6,50,10.0,3,1,1,1,0.333333,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120258.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,75.0,6,75,10.0,3,2,2,3,0.666667,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120308.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,100.0,6,100,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_120319.csv
webcam_parameter_sweep,flash_parameter_low_duty_20260521,duration_ms,200.0,6,200,10.0,3,3,3,3,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_120329.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,exposure,1.0,8,50,1.0,3,2,2,2,0.666667,true,false,29.86,data/webcam/webcam_flash_metrics_20260521_114453.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,exposure,3.0,8,50,3.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_114504.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,exposure,5.0,8,50,5.0,3,3,3,4,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114514.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,exposure,10.0,8,50,10.0,3,3,3,4,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114525.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,exposure,20.0,8,50,20.0,3,3,3,5,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114535.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,exposure,40.0,8,50,40.0,3,3,3,3,1.0,true,false,29.87,data/webcam/webcam_flash_metrics_20260521_114546.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,5.0,8,5,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_114556.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,10.0,8,10,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_114607.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,20.0,8,20,10.0,3,0,0,0,0.0,false,false,29.88,data/webcam/webcam_flash_metrics_20260521_114617.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,50.0,8,50,10.0,3,2,2,2,0.666667,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114628.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,100.0,8,100,10.0,3,3,3,7,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114638.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,200.0,8,200,10.0,3,3,3,10,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114649.csv
webcam_parameter_sweep,flash_parameter_sweep_20260521_114453,duration_ms,300.0,8,300,10.0,3,3,3,14,1.0,true,false,29.88,data/webcam/webcam_flash_metrics_20260521_114659.csv
